Zip Code,2006-2012 Pills
90001,887500
90002,1598800
90003,85100
90004,2065060
90005,852640
90006,4413801
90007,7736320
90008,3107780
90010,941690
90011,1362350
90012,1842450
90013,1624300
90014,599100
90015,2566390
90016,4986730
90017,3275732
90018,3480
90019,2427830
90020,3056870
90021,81900
90022,4302989
90023,3472860
90024,5365340
90025,6741662
90026,3078000
90027,15403765
90028,5686130
90029,1551300
90031,1316690
90032,192300
90033,8245130
90034,5514410
90035,8152750
90036,7736544
90037,2265805
90038,2940432
90039,2947250
90040,243450
90041,3702140
90042,2534180
90043,1536870
90044,2495760
90045,13420192
90046,5335355
90047,3446820
90048,11398625
90049,3827975
90056,100
90057,3242944
90058,198990
90059,2664210
90061,2109620
90062,1193890
90063,430615
90064,2456265
90065,498584
90066,3124229
90067,1575750
90068,500
90069,5599310
90071,1369700
90073,4100
90077,376990
90089,158540
90094,18515
90095,3773480
90201,4691615
90210,5431568
90211,10354957
90212,2894500
90220,3747280
90221,1163220
90222,522070
90230,4698280
90232,2177530
90240,4576220
90241,7882565
90242,187157905
90245,2935530
90247,7372070
90248,2482780
90249,2001280
90250,11212544
90254,2137110
90255,3795350
90260,4225350
90262,4514585
90265,3269930
90266,4603078
90270,444920
90272,3549740
90274,2745855
90275,1222890
90277,9393450
90278,4494080
90280,4477820
90290,5200
90291,4381430
90292,8415210
90293,459320
90301,8665011
90302,274980
90303,5461324
90304,978630
90305,122900
90401,2209200
90402,418960
90403,5325100
90404,11939720
90405,2992800
90501,6893538
90502,2258000
90503,9975800
90504,1791214
90505,11945191
90509,2506700
90601,3445100
90602,6692170
90603,5602220
90604,856900
90605,3458330
90606,2325940
90620,8906164
90621,1418610
90623,4144070
90630,11814070
90631,11119995
90638,8871397
90640,7762640
90650,9496396
90660,10622190
90670,3425900
90680,4416280
90701,3226490
90702,28300
90703,10155810
90704,559920
90706,14736200
90710,9567450
90712,10445162
90713,9529940
90715,390060
90716,1107180
90717,4851102
90720,8901888
90723,4152354
90731,11093020
90732,8836995
90740,8772820
90742,3000
90744,3654250
90745,5285190
90746,1072748
90748,43560
90755,1515890
90802,12060380
90803,3602930
90804,7701920
90805,5685970
90806,19128085
90807,12173320
90808,5694490
90813,5078795
90814,1175600
90815,9552980
90822,7005
91001,2222530
91003,706180
91006,3900290
91007,5024462
91008,35500
91010,4588020
91011,1685630
91016,18153810
91020,2069125
91024,597890
91030,4067580
91040,1476620
91042,3323770
91101,3492795
91103,2692200
91104,4197670
91105,4218926
91106,4555020
91107,5353550
91108,1013000
91201,1689000
91202,2367015
91203,1069950
91204,2972565
91205,2994830
91206,4994002
91207,29235
91208,1554300
91210,464520
91214,2060517
91301,4462474
91302,4851000
91303,3734840
91304,10312150
91306,3463700
91307,7594693
91311,3590800
91316,7968082
91320,6278702
91321,6658365
91324,8551770
91325,10409270
91326,3192697
91330,17900
91331,5588602
91335,12614250
91340,5349895
91342,7688372
91343,1552805
91344,7775808
91345,3953890
91350,6862600
91351,11308290
91352,3657120
91354,1158660
91355,16180008
91356,11640276
91360,12289378
91361,5191690
91362,3681510
91364,8665520
91367,7960650
91377,24430
91381,1367710
91384,2359160
91387,3839570
91390,736380
91401,8245390
91402,11046450
91403,12471174
91405,9069992
91406,3195512
91411,5151380
91423,6600270
91436,10342641
91501,8000
91502,3670190
91504,7004960
91505,19268230
91506,4419830
91601,2734620
91602,2094304
91604,4979988
91605,399120
91606,4251953
91607,4475799
91701,7632110
91702,7563435
91706,15361890
91709,7142430
91710,13985770
91711,6544960
91722,4851510
91723,4998980
91724,2313770
91730,13935755
91731,1965975
91732,2712090
91733,1197180
91737,2462990
91739,896100
91740,6808810
91741,5814580
91744,4248800
91745,13123300
91746,628900
91748,3966842
91750,4657240
91752,2277880
91754,6329650
91761,13892513
91762,4695340
91763,3609740
91764,4993900
91765,4376485
91766,2730468
91767,8250515
91768,3654630
