Zip Code,2010 Pills
90001,148900
90002,215300
90003,12900
90004,248610
90005,92060
90006,665660
90007,1158400
90008,497100
90010,145360
90011,196600
90012,288480
90013,293960
90014,18800
90015,387270
90016,763160
90017,504160
90018,120
90019,365930
90020,464980
90021,6600
90022,652420
90023,561200
90024,702550
90025,1002520
90026,436680
90027,2205580
90028,822800
90029,157910
90031,186940
90032,29800
90033,1334520
90034,832780
90035,1191840
90036,1221270
90037,332370
90038,372890
90039,353900
90040,56150
90041,563700
90042,362160
90043,226300
90044,378960
90045,1782398
90046,724155
90047,516000
90048,1615450
90049,573580
90056,0
90057,521290
90058,27200
90059,435100
90061,317400
90062,184460
90063,129860
90064,360620
90065,61630
90066,465207
90067,208930
90068,0
90069,754800
90071,210400
90073,0
90077,52700
90089,22320
90094,4040
90095,565150
90201,582140
90210,791102
90211,1417472
90212,396990
90220,559820
90221,186000
90222,84600
90230,670530
90232,277260
90240,651700
90241,1168005
90242,21791650
90245,483850
90247,1134260
90248,253200
90249,235520
90250,1730270
90254,309250
90255,604060
90260,529310
90262,733360
90265,487590
90266,698180
90270,62100
90272,512460
90274,404140
90275,291120
90277,1425350
90278,677180
90280,605610
90290,100
90291,590140
90292,1269180
90293,54080
90301,1294490
90302,21400
90303,763420
90304,152300
90305,0
90401,341720
90402,52000
90403,751035
90404,1755140
90405,420860
90501,1093658
90502,351520
90503,1346520
90504,268550
90505,1789780
90509,278400
90601,519130
90602,1031210
90603,821900
90604,162500
90605,587420
90606,358740
90620,1374560
90621,188960
90623,416670
90630,1966300
90631,1588710
90638,1331940
90640,1136320
90650,1386790
90660,1658170
90670,388430
90680,600600
90701,435620
90702,25900
90703,1524045
90704,79020
90706,1772880
90710,1290970
90712,1549660
90713,1392400
90715,62200
90716,173950
90717,718270
90720,1586650
90723,577500
90731,1844670
90732,1352450
90740,1221270
90742,100
90744,469440
90745,887430
90746,138900
90748,0
90755,183400
90802,1698740
90803,562990
90804,1068570
90805,948660
90806,2829690
90807,1849380
90808,910330
90813,790830
90814,144500
90815,1416660
90822,0
91001,287440
91003,122700
91006,605540
91007,710830
91008,7000
91010,441400
91011,261660
91016,2485300
91020,319400
91024,91500
91030,785240
91040,205450
91042,546830
91101,544850
91103,436100
91104,498580
91105,608740
91106,715770
91107,839580
91108,178200
91201,262050
91202,321480
91203,140860
91204,461250
91205,421110
91206,707460
91207,3075
91208,194140
91210,70530
91214,308100
91301,676220
91302,840900
91303,523160
91304,1676900
91306,343630
91307,1051410
91311,465460
91316,1172850
91320,1029410
91321,845970
91324,1356230
91325,1567930
91326,502560
91330,3100
91331,840895
91335,1982590
91340,383730
91342,1121740
91343,260600
91344,1090760
91345,579620
91350,1049600
91351,1652920
91352,382600
91354,179900
91355,2521140
91356,1561970
91360,1753465
91361,696300
91362,595980
91364,1187950
91367,1091800
91377,800
91381,227900
91384,351020
91387,649500
91390,108400
91401,1138010
91402,1882200
91403,2042340
91405,1278974
91406,293962
91411,731590
91423,787780
