Zip Code,Size AGI,Adjusted Gross Income,,,,,
90001,"$1 under $25,000",183062,,,,,
90001,"$25,000 under $50,000",191039,,,,,
90001,"$50,000 under $75,000",74868,,,,,
90001,"$75,000 under $100,000",25416,,,,,
90001,"$100,000 under $200,000",18062,,,,,
90001,"$200,000 or more",,,,,,
90002,"$1 under $25,000",160209,,,,,
90002,"$25,000 under $50,000",174761,,,,,
90002,"$50,000 under $75,000",67920,,,,,
90002,"$75,000 under $100,000",24023,,,,,
90002,"$100,000 under $200,000",12022,,,,,
90002,"$200,000 or more",,,,,,
90003,"$1 under $25,000",229882,,,,,
90003,"$25,000 under $50,000",228915,,,,,
90003,"$50,000 under $75,000",84239,,,,,
90003,"$75,000 under $100,000",25056,,,,,
90003,"$100,000 under $200,000",13516,,,,,
90003,"$200,000 or more",,,,,,
90004,"$1 under $25,000",181382,,,,,
90004,"$25,000 under $50,000",233615,,,,,
90004,"$50,000 under $75,000",141143,,,,,
90004,"$75,000 under $100,000",81668,,,,,
90004,"$100,000 under $200,000",167849,,,,,
90004,"$200,000 or more",646064,,,,,
90005,"$1 under $25,000",110878,,,,,
90005,"$25,000 under $50,000",130405,,,,,
90005,"$50,000 under $75,000",64843,,,,,
90005,"$75,000 under $100,000",38866,,,,,
90005,"$100,000 under $200,000",56856,,,,,
90005,"$200,000 or more",186204,,,,,
90006,"$1 under $25,000",193055,,,,,
90006,"$25,000 under $50,000",183783,,,,,
90006,"$50,000 under $75,000",66282,,,,,
90006,"$75,000 under $100,000",27279,,,,,
90006,"$100,000 under $200,000",28287,,,,,
90006,"$200,000 or more",16251,,,,,
90007,"$1 under $25,000",101241,,,,,
90007,"$25,000 under $50,000",110135,,,,,
90007,"$50,000 under $75,000",50786,,,,,
90007,"$75,000 under $100,000",19137,,,,,
90007,"$100,000 under $200,000",17098,,,,,
90007,"$200,000 or more",7715,,,,,
90008,"$1 under $25,000",90818,,,,,
90008,"$25,000 under $50,000",140152,,,,,
90008,"$50,000 under $75,000",112544,,,,,
90008,"$75,000 under $100,000",78452,,,,,
90008,"$100,000 under $200,000",130920,,,,,
90008,"$200,000 or more",71280,,,,,
90010,"$1 under $25,000",9570,,,,,
90010,"$25,000 under $50,000",15413,,,,,
90010,"$50,000 under $75,000",15097,,,,,
90010,"$75,000 under $100,000",19515,,,,,
90010,"$100,000 under $200,000",30304,,,,,
90010,"$200,000 or more",167443,,,,,
90011,"$1 under $25,000",350692,,,,,
90011,"$25,000 under $50,000",310164,,,,,
90011,"$50,000 under $75,000",96509,,,,,
90011,"$75,000 under $100,000",30692,,,,,
90011,"$100,000 under $200,000",20857,,,,,
90011,"$200,000 or more",,,,,,
90012,"$1 under $25,000",60422,,,,,
90012,"$25,000 under $50,000",78664,,,,,
90012,"$50,000 under $75,000",67559,,,,,
90012,"$75,000 under $100,000",50961,,,,,
90012,"$100,000 under $200,000",70150,,,,,
90012,"$200,000 or more",54184,,,,,
90013,"$1 under $25,000",20703,,,,,
90013,"$25,000 under $50,000",32697,,,,,
90013,"$50,000 under $75,000",37029,,,,,
90013,"$75,000 under $100,000",29940,,,,,
90013,"$100,000 under $200,000",49302,,,,,
90013,"$200,000 or more",145160,,,,,
90014,"$1 under $25,000",18879,,,,,
90014,"$25,000 under $50,000",30233,,,,,
90014,"$50,000 under $75,000",36506,,,,,
90014,"$75,000 under $100,000",23688,,,,,
90014,"$100,000 under $200,000",36234,,,,,
90014,"$200,000 or more",32743,,,,,
90015,"$1 under $25,000",54514,,,,,
90015,"$25,000 under $50,000",57847,,,,,
90015,"$50,000 under $75,000",33348,,,,,
90015,"$75,000 under $100,000",29283,,,,,
90015,"$100,000 under $200,000",58411,,,,,
90015,"$200,000 or more",103690,,,,,
90016,"$1 under $25,000",146887,,,,,
90016,"$25,000 under $50,000",228839,,,,,
90016,"$50,000 under $75,000",139539,,,,,
90016,"$75,000 under $100,000",84472,,,,,
90016,"$100,000 under $200,000",91581,,,,,
90016,"$200,000 or more",28984,,,,,
90017,"$1 under $25,000",60337,,,,,
90017,"$25,000 under $50,000",58389,,,,,
90017,"$50,000 under $75,000",38353,,,,,
90017,"$75,000 under $100,000",25885,,,,,
90017,"$100,000 under $200,000",50605,,,,,
90017,"$200,000 or more",131889,,,,,
90018,"$1 under $25,000",157216,,,,,
90018,"$25,000 under $50,000",207499,,,,,
90018,"$50,000 under $75,000",107793,,,,,
90018,"$75,000 under $100,000",56322,,,,,
90018,"$100,000 under $200,000",56024,,,,,
90018,"$200,000 or more",19157,,,,,
90019,"$1 under $25,000",178997,,,,,
90019,"$25,000 under $50,000",272593,,,,,
90019,"$50,000 under $75,000",186398,,,,,
90019,"$75,000 under $100,000",117697,,,,,
90019,"$100,000 under $200,000",200964,,,,,
90019,"$200,000 or more",197536,,,,,
90020,"$1 under $25,000",109845,,,,,
90020,"$25,000 under $50,000",159238,,,,,
90020,"$50,000 under $75,000",90770,,,,,
90020,"$75,000 under $100,000",74109,,,,,
90020,"$100,000 under $200,000",56319,,,,,
90020,"$200,000 or more",401671,,,,,
90021,"$1 under $25,000",9281,,,,,
90021,"$25,000 under $50,000",11095,,,,,
90021,"$50,000 under $75,000",6746,,,,,
90021,"$75,000 under $100,000",5251,,,,,
90021,"$100,000 under $200,000",12005,,,,,
90021,"$200,000 or more",43890,,,,,
90022,"$1 under $25,000",208901,,,,,
90022,"$25,000 under $50,000",264714,,,,,
90022,"$50,000 under $75,000",136702,,,,,
90022,"$75,000 under $100,000",56569,,,,,
90022,"$100,000 under $200,000",34804,,,,,
90022,"$200,000 or more",25738,,,,,
90023,"$1 under $25,000",159569,,,,,
90023,"$25,000 under $50,000",169389,,,,,
90023,"$50,000 under $75,000",74383,,,,,
90023,"$75,000 under $100,000",24077,,,,,
90023,"$100,000 under $200,000",28221,,,,,
90023,"$200,000 or more",,,,,,
90024,"$1 under $25,000",50101,,,,,
90024,"$25,000 under $50,000",95066,,,,,
90024,"$50,000 under $75,000",107397,,,,,
90024,"$75,000 under $100,000",106612,,,,,
90024,"$100,000 under $200,000",321515,,,,,
90024,"$200,000 or more",3266771,,,,,
90025,"$1 under $25,000",116449,,,,,
90025,"$25,000 under $50,000",213483,,,,,
90025,"$50,000 under $75,000",228577,,,,,
90025,"$75,000 under $100,000",190684,,,,,
90025,"$100,000 under $200,000",453790,,,,,
90025,"$200,000 or more",1943461,,,,,
90026,"$1 under $25,000",195318,,,,,
90026,"$25,000 under $50,000",294716,,,,,
90026,"$50,000 under $75,000",209273,,,,,
90026,"$75,000 under $100,000",127814,,,,,
90026,"$100,000 under $200,000",210419,,,,,
90026,"$200,000 or more",130746,,,,,
90027,"$1 under $25,000",123376,,,,,
90027,"$25,000 under $50,000",222423,,,,,
90027,"$50,000 under $75,000",191511,,,,,
90027,"$75,000 under $100,000",135454,,,,,
90027,"$100,000 under $200,000",246769,,,,,
90027,"$200,000 or more",483320,,,,,
