Zip Code,1 under 25K,25K under 50K,50K under 75K,75K under 100K,100K under 200K,200K or more
90001,183062.0,191039.0,74868.0,25416.0,18062.0,
90002,160209.0,174761.0,67920.0,24023.0,12022.0,
90003,229882.0,228915.0,84239.0,25056.0,13516.0,
90004,181382.0,233615.0,141143.0,81668.0,167849.0,646064.0
90005,110878.0,130405.0,64843.0,38866.0,56856.0,186204.0
90006,193055.0,183783.0,66282.0,27279.0,28287.0,16251.0
90007,101241.0,110135.0,50786.0,19137.0,17098.0,7715.0
90008,90818.0,140152.0,112544.0,78452.0,130920.0,71280.0
90010,9570.0,15413.0,15097.0,19515.0,30304.0,167443.0
90011,350692.0,310164.0,96509.0,30692.0,20857.0,
90012,60422.0,78664.0,67559.0,50961.0,70150.0,54184.0
90013,20703.0,32697.0,37029.0,29940.0,49302.0,145160.0
90014,18879.0,30233.0,36506.0,23688.0,36234.0,32743.0
90015,54514.0,57847.0,33348.0,29283.0,58411.0,103690.0
90016,146887.0,228839.0,139539.0,84472.0,91581.0,28984.0
90017,60337.0,58389.0,38353.0,25885.0,50605.0,131889.0
90018,157216.0,207499.0,107793.0,56322.0,56024.0,19157.0
90019,178997.0,272593.0,186398.0,117697.0,200964.0,197536.0
90020,109845.0,159238.0,90770.0,74109.0,56319.0,401671.0
90021,9281.0,11095.0,6746.0,5251.0,12005.0,43890.0
90022,208901.0,264714.0,136702.0,56569.0,34804.0,25738.0
90023,159569.0,169389.0,74383.0,24077.0,28221.0,
90024,50101.0,95066.0,107397.0,106612.0,321515.0,3266771.0
90025,116449.0,213483.0,228577.0,190684.0,453790.0,1943461.0
90026,195318.0,294716.0,209273.0,127814.0,210419.0,130746.0
90027,123376.0,222423.0,191511.0,135454.0,246769.0,483320.0
90028,96035.0,139117.0,83202.0,48671.0,66018.0,70284.0
90029,131328.0,158661.0,81543.0,42773.0,52764.0,31041.0
90031,118505.0,148705.0,90081.0,40654.0,52666.0,19676.0
90032,123433.0,187022.0,138466.0,81573.0,90762.0,19698.0
90033,143498.0,147866.0,63500.0,27232.0,41928.0,
90034,144864.0,306056.0,268815.0,180533.0,308188.0,365256.0
90035,55024.0,116230.0,122977.0,105848.0,249064.0,449617.0
90036,72082.0,170485.0,185219.0,160041.0,344641.0,737317.0
90037,205561.0,204073.0,79056.0,27750.0,20659.0,
90038,95458.0,124601.0,63380.0,35489.0,47716.0,43433.0
90039,72755.0,138801.0,130174.0,110954.0,213387.0,199686.0
90040,35272.0,57733.0,35657.0,20082.0,16481.0,18174.0
90041,56090.0,120295.0,114170.0,98312.0,206216.0,93745.0
90042,160977.0,255789.0,196589.0,142080.0,203299.0,55556.0
90043,126093.0,204675.0,161473.0,107714.0,170521.0,68202.0
90044,293126.0,321512.0,145993.0,59199.0,42234.0,8012.0
90045,61224.0,133158.0,169680.0,161710.0,459184.0,517770.0
90046,119825.0,255374.0,247736.0,188963.0,373933.0,828195.0
90047,151159.0,241221.0,181662.0,96543.0,93932.0,13669.0
90048,48980.0,108272.0,118532.0,105087.0,255070.0,560362.0
90049,49439.0,110637.0,138606.0,139915.0,435846.0,4307545.0
90056,16612.0,34860.0,45668.0,40593.0,109674.0,128513.0
90057,118068.0,117932.0,50218.0,25021.0,22886.0,7338.0
90058,12210.0,9858.0,4121.0,3307.0,4223.0,37409.0
