Geography,Total Population,Land Area in Square Miles,Population Per Square Mile (Land Area)
90001,"57,110",3.5,"16,306"
90002,"51,223",3.1,"16,728"
90003,"66,266",3.6,"18,660"
90004,"62,180",3.0,"20,400"
90005,"37,681",1.1,"34,761"
90006,"59,185",1.9,"30,829"
90007,"40,920",2.5,"16,593"
90008,"32,327",3.7,"8,801"
90010,"3,800",0.5,"8,309"
90011,"103,892",4.3,"24,240"
90012,"31,103",3.2,"9,618"
90013,"11,772",0.7,"17,546"
90014,"7,005",0.3,"24,737"
90015,"18,986",1.7,"11,100"
90016,"47,596",3.6,"13,123"
90017,"23,768",0.7,"32,725"
90018,"49,310",2.9,"17,028"
90019,"64,458",3.9,"16,578"
90020,"38,967",1.1,"34,475"
90021,"3,951",2.1,"1,908"
90022,"67,179",4.4,"15,334"
90023,"45,903",4.2,"10,866"
90024,"47,452",2.9,"16,154"
90025,"42,147",2.6,"16,402"
90026,"67,869",4.2,"16,063"
90027,"45,151",8.3,"5,464"
90028,"28,714",1.5,"18,838"
90029,"38,617",1.4,"28,359"
90031,"39,316",3.5,"11,383"
90032,"45,786",4.8,"9,604"
90033,"48,852",3.3,"14,954"
90034,"57,964",3.1,"18,621"
90035,"28,418",2.1,"13,808"
90036,"36,865",2.5,"14,922"
90037,"62,276",2.8,"21,941"
90038,"28,917",1.6,"18,460"
90039,"28,514",3.8,"7,563"
90040,"12,520",5.6,"2,243"
90041,"27,425",3.6,"7,595"
90042,"62,430",4.6,"13,444"
90043,"44,789",4.1,"10,836"
90044,"89,779",5.1,"17,478"
90045,"39,480",10.7,"3,681"
90046,"48,581",5.8,"8,405"
90047,"48,606",4.7,"10,275"
90048,"21,397",1.9,"11,350"
90049,"35,482",15.0,"2,362"
90056,"7,827",1.6,"4,955"
90057,"44,998",0.9,"50,810"
90058,"3,223",5.8,555
90059,"40,952",3.3,"12,359"
90061,"26,872",2.7,"10,094"
90062,"32,821",1.9,"16,973"
90063,"55,758",3.3,"17,038"
90064,"25,403",4.0,"6,350"
90065,"45,527",5.3,"8,625"
90066,"55,277",4.9,"11,231"
90067,"2,424",0.3,"7,387"
90068,"22,286",7.6,"2,925"
90069,"20,483",2.1,"9,688"
90071,15,0.1,122
90073,539,0.3,"1,591"
90077,"9,377",7.3,"1,279"
90079,0,0.0,0
90089,"3,217",0.3,"11,218"
90090,0,0.2,0
90094,"5,464",0.6,"8,942"
90095,3,0.4,8
90201,"101,279",5.9,"17,060"
90210,"21,741",10.1,"2,147"
90211,"8,434",0.7,"12,042"
90212,"11,555",1.0,"12,096"
90220,"49,328",6.9,"7,138"
90221,"53,704",5.3,"10,072"
90222,"31,869",2.6,"12,465"
90230,"31,766",4.5,"7,048"
90232,"15,149",2.1,"7,193"
90240,"25,876",2.9,"8,789"
90241,"42,399",4.9,"8,607"
90242,"43,497",4.6,"9,559"
90245,"16,654",5.5,"3,049"
90247,"47,487",3.8,"12,649"
90248,"9,947",4.7,"2,119"
90249,"26,669",3.0,"8,956"
90250,"93,193",6.7,"13,920"
90254,"19,506",1.4,"13,665"
90255,"75,066",3.7,"20,189"
90260,"34,924",2.7,"13,031"
90262,"69,745",4.8,"14,431"
90263,"1,612",0.2,"7,135"
90265,"18,116",107.8,168
90266,"35,135",3.9,"8,926"
90270,"27,372",1.3,"21,694"
90272,"22,986",22.8,"1,007"
90274,"25,209",12.0,"2,106"
90275,"41,804",13.5,"3,093"
90277,"35,293",3.6,"9,850"
90278,"40,071",3.6,"11,120"
90280,"94,396",7.3,"12,922"
90290,"6,368",20.1,318
90291,"28,341",2.5,"11,359"
90292,"21,576",2.0,"10,583"
90293,"12,132",2.9,"4,235"
90301,"36,568",2.5,"14,760"
90302,"29,415",1.9,"15,537"
90303,"26,176",2.2,"11,799"
90304,"28,210",1.6,"18,007"
90305,"14,853",2.3,"6,404"
90401,"6,722",0.8,"7,917"
90402,"12,250",2.0,"6,113"
90403,"24,525",1.4,"17,180"
90404,"21,360",2.0,"10,723"
90405,"27,186",2.6,"10,272"
90501,"43,180",5.6,"7,678"
90502,"18,010",2.2,"8,059"
90503,"44,383",5.3,"8,379"
90504,"32,102",4.5,"7,213"
90505,"36,678",5.8,"6,330"
90506,0,0.2,0
90601,"31,974",11.3,"2,818"
90602,"25,777",3.7,"6,947"
90603,"20,063",3.3,"6,136"
90604,"39,407",4.3,"9,248"
90605,"40,331",5.7,"7,136"
90606,"32,396",3.8,"8,564"
90620,"45,113",6.4,"7,058"
90621,"35,153",4.1,"8,487"
90623,"15,554",1.8,"8,582"
90630,"47,993",6.1,"7,835"
90631,"67,619",13.9,"4,863"
90638,"49,012",7.9,"6,217"
90640,"62,549",8.5,"7,367"
90650,"105,549",9.8,"10,761"
90660,"62,928",7.7,"8,120"
90670,"14,866",8.5,"1,757"
90680,"29,945",2.7,"11,110"
90701,"16,591",1.6,"10,178"
90703,"49,399",8.8,"5,626"
90704,"4,090",74.8,55
90706,"76,615",6.1,"12,543"
90710,"25,457",2.4,"10,797"
90712,"31,499",4.3,"7,349"
90713,"27,925",3.4,"8,228"
90715,"20,388",1.7,"11,990"
90716,"14,184",0.9,"15,233"
90717,"21,318",2.0,"10,767"
90720,"21,751",6.1,"3,550"
90723,"54,099",4.7,"11,547"
90731,"59,662",9.2,"6,492"
90732,"21,115",3.4,"6,143"
90740,"23,729",8.8,"2,704"
90742,831,0.2,"4,497"
90743,456,0.1,"5,508"
90744,"53,815",8.3,"6,455"
90745,"57,251",8.3,"6,897"
90746,"25,990",5.8,"4,456"
90747,0,0.0,0
90755,"11,074",2.2,"5,081"
90802,"39,347",6.5,"6,069"
90803,"32,031",4.0,"8,013"
90804,"40,311",2.1,"19,061"
90805,"93,524",7.4,"12,692"
90806,"42,399",3.4,"12,327"
90807,"31,481",5.8,"5,391"
90808,"38,232",6.9,"5,568"
90810,"36,735",6.7,"5,486"
90813,"58,911",3.2,"18,360"
90814,"19,131",1.4,"14,122"
90815,"39,733",7.1,"5,579"
90822,117,0.2,720
90831,0,0.0,0
91001,"36,126",8.3,"4,368"
91006,"31,715",6.3,"5,019"
91007,"34,095",5.6,"6,134"
91008,"1,391",2.0,687
91010,"26,074",7.0,"3,704"
91011,"20,280",11.9,"1,711"
91016,"40,598",8.5,"4,784"
91020,"8,415",0.8,"11,185"
91024,"10,917",3.0,"3,698"
91030,"25,616",3.4,"7,511"
91040,"20,372",8.2,"2,484"
91042,"27,585",49.9,553
91046,156,0.0,"15,591"
91101,"20,460",1.3,"15,445"
91103,"27,480",5.4,"5,122"
91104,"36,751",3.8,"9,664"
91105,"11,254",3.7,"3,047"
91106,"24,229",3.0,"8,210"
91107,"32,940",8.2,"4,008"
91108,"13,361",3.8,"3,505"
91201,"22,781",2.4,"9,647"
91202,"22,830",2.0,"11,139"
91203,"13,220",0.8,"16,151"
91204,"16,032",1.1,"14,263"
91205,"37,810",1.9,"19,995"
91206,"33,065",5.9,"5,621"
91207,"10,506",4.5,"2,312"
91208,"16,245",6.9,"2,354"
91210,328,0.0,"7,452"
91214,"30,356",7.5,"4,022"
91301,"25,488",34.1,748
91302,"25,709",26.7,963
91303,"26,855",2.2,"12,413"
91304,"50,231",9.4,"5,341"
91306,"45,061",4.1,"10,889"
91307,"24,474",8.0,"3,042"
91311,"36,557",32.1,"1,140"
91316,"26,898",5.0,"5,372"
91320,"44,274",18.2,"2,426"
91321,"34,882",25.9,"1,348"
91324,"27,669",4.4,"6,301"
91325,"32,417",4.8,"6,724"
91326,"33,708",8.2,"4,131"
91330,"2,702",0.3,"7,931"
91331,"103,689",8.9,"11,713"
91335,"74,363",6.6,"11,328"
91340,"34,188",3.4,"10,112"
91342,"91,725",55.1,"1,665"
91343,"60,254",5.9,"10,193"
91344,"51,747",16.4,"3,153"
91345,"18,496",3.2,"5,705"
91350,"33,348",16.9,"1,968"
91351,"32,362",9.6,"3,381"
91352,"47,807",11.7,"4,097"
91354,"28,722",8.7,"3,292"
91355,"32,605",15.5,"2,107"
91356,"29,458",7.3,"4,016"
91360,"42,402",14.5,"2,919"
91361,"20,438",33.5,610
91362,"36,045",19.6,"1,837"
91364,"25,851",7.6,"3,405"
91367,"39,499",7.4,"5,308"
91371,1,0.2,4
91377,"13,811",5.3,"2,609"
91381,"20,158",37.6,536
91384,"29,855",108.6,275
91387,"40,328",49.5,814
91390,"19,786",143.1,138
91401,"39,285",3.5,"11,377"
91402,"69,817",3.7,"18,733"
91403,"23,484",3.6,"6,467"
91405,"51,145",3.3,"15,457"
91406,"51,558",8.1,"6,340"
91411,"24,628",2.0,"12,059"
91423,"30,991",4.4,"7,103"
91436,"14,372",5.7,"2,523"
91501,"20,849",4.0,"5,255"
91502,"11,371",1.3,"8,521"
91504,"24,939",4.9,"5,053"
91505,"30,778",5.0,"6,106"
91506,"18,904",2.4,"7,726"
91601,"37,180",2.7,"14,028"
91602,"17,473",2.0,"8,535"
91604,"29,034",5.2,"5,636"
91605,"56,343",5.5,"10,312"
91606,"44,958",3.3,"13,491"
91607,"27,927",2.4,"11,448"
91608,0,0.6,0
91701,"38,976",7.3,"5,361"
91702,"59,705",169.4,353
91706,"76,571",13.4,"5,699"
91708,"3,369",9.6,352
91709,"74,796",34.2,"2,188"
91710,"80,358",21.5,"3,736"
91711,"35,705",15.0,"2,379"
91722,"34,409",4.1,"8,330"
91723,"18,275",2.3,"7,877"
91724,"26,184",6.2,"4,200"
91730,"66,925",14.5,"4,624"
91731,"29,591",3.8,"7,758"
91732,"61,386",4.6,"13,301"
91733,"43,896",6.7,"6,570"
91737,"24,740",8.4,"2,953"
91739,"34,794",29.4,"1,184"
91740,"25,356",5.0,"5,094"
91741,"25,824",14.8,"1,743"
91744,"85,040",8.8,"9,675"
91745,"54,013",12.8,"4,217"
91746,"30,485",5.6,"5,473"
91748,"45,406",14.5,"3,138"
91750,"33,249",25.2,"1,318"
91752,"30,047",15.1,"1,992"
91754,"32,742",4.5,"7,224"
91755,"27,496",3.1,"8,847"
91759,476,82.3,6
91761,"56,913",29.2,"1,951"
91762,"55,857",13.6,"4,100"
91763,"36,375",5.2,"7,034"
91764,"54,086",8.0,"6,756"
91765,"46,457",18.9,"2,456"
91766,"71,599",10.2,"7,043"
91767,"48,068",5.6,"8,552"
91768,"34,537",8.6,"3,993"
91770,"62,097",6.4,"9,668"
91773,"33,119",14.3,"2,316"
91775,"23,988",3.1,"7,830"
91776,"38,475",3.4,"11,300"
91780,"34,332",3.8,"8,966"
91784,"25,938",9.1,"2,846"
91786,"51,165",9.0,"5,715"
91789,"43,079",15.6,"2,756"
91790,"44,907",5.8,"7,779"
91791,"32,414",6.6,"4,885"
91792,"30,854",3.8,"8,031"
91801,"52,735",4.4,"12,101"
91803,"30,322",3.3,"9,285"
91901,"17,403",89.3,195
91902,"17,653",8.7,"2,028"
91905,"1,700",65.8,26
91906,"3,627",105.5,34
91910,"75,802",12.2,"6,196"
91911,"82,999",11.7,"7,087"
91913,"40,971",10.2,"4,017"
91914,"15,448",6.3,"2,455"
91915,"24,659",7.6,"3,242"
91916,"1,622",39.8,41
91917,992,36.2,27
91931,592,14.5,41
91932,"25,718",2.5,"10,232"
91934,737,46.7,16
91935,"8,624",96.6,89
91941,"31,779",8.1,"3,942"
91942,"38,069",5.8,"6,524"
91945,"25,460",3.9,"6,484"
91948,78,19.8,4
91950,"60,322",7.6,"7,938"
91962,"1,646",51.6,32
91963,"1,118",33.6,33
91977,"58,368",9.7,"6,039"
91978,"8,896",6.4,"1,390"
91980,165,3.6,46
92003,"4,746",17.3,274
92004,"3,881",693.6,6
92007,"10,429",2.4,"4,267"
92008,"27,649",10.3,"2,682"
92009,"40,747",12.7,"3,202"
92010,"14,382",8.1,"1,780"
92011,"22,405",6.8,"3,295"
92014,"13,154",6.0,"2,182"
92019,"42,598",26.8,"1,587"
92020,"57,767",11.1,"5,188"
92021,"65,068",29.8,"2,181"
92024,"49,121",16.9,"2,911"
92025,"49,978",22.0,"2,268"
92026,"48,922",37.2,"1,315"
92027,"53,881",63.1,854
92028,"46,239",94.4,490
92029,"19,021",23.6,804
92036,"3,440",178.7,19
92037,"46,781",13.1,"3,577"
92040,"41,281",64.2,643
92054,"40,375",11.9,"3,381"
92055,"15,655",98.5,159
92056,"51,835",12.4,"4,176"
92057,"54,096",15.1,"3,585"
92058,"42,436",28.2,"1,504"
92059,"1,618",27.9,58
92060,218,69.6,3
92061,"2,499",39.7,63
92064,"47,904",41.0,"1,170"
92065,"35,414",165.2,214
92066,378,19.8,19
92067,"9,535",22.5,423
92069,"46,369",16.5,"2,818"
92070,"1,245",133.2,9
92071,"53,422",17.4,"3,065"
92075,"12,056",3.5,"3,402"
92078,"42,906",16.7,"2,569"
92081,"27,404",8.9,"3,095"
92082,"19,037",122.9,155
92083,"36,975",5.6,"6,637"
92084,"47,654",26.2,"1,821"
92086,"1,573",220.4,7
92091,"1,048",0.7,"1,599"
92101,"37,095",4.7,"7,867"
92102,"43,267",4.6,"9,347"
92103,"31,066",3.8,"8,245"
92104,"44,414",3.8,"11,720"
92105,"69,813",5.6,"12,534"
92106,"19,330",5.6,"3,426"
92107,"28,651",3.1,"9,106"
92108,"18,858",4.3,"4,402"
92109,"45,787",7.6,"6,028"
92110,"25,341",4.9,"5,222"
92111,"45,096",8.5,"5,331"
92113,"56,066",5.3,"10,640"
92114,"65,433",8.2,"7,943"
92115,"58,560",6.5,"9,003"
92116,"31,680",3.5,"9,136"
92117,"51,332",8.8,"5,842"
92118,"23,575",7.8,"3,042"
92119,"23,057",6.9,"3,366"
92120,"26,317",6.7,"3,954"
92121,"4,179",12.3,341
92122,"43,728",15.9,"2,745"
92123,"26,823",8.2,"3,285"
92124,"30,443",10.5,"2,904"
92126,"73,343",12.7,"5,788"
92127,"39,337",22.1,"1,783"
92128,"47,490",11.2,"4,253"
92129,"51,536",14.1,"3,662"
92130,"48,940",18.4,"2,654"
92131,"32,787",25.1,"1,306"
92132,0,0.0,0
92134,198,0.2,"1,069"
92135,571,0.5,"1,194"
92139,"35,125",3.6,"9,686"
92140,"3,435",0.6,"5,376"
92145,"1,449",3.3,433
92147,559,0.1,"5,796"
92154,"79,708",37.0,"2,157"
92155,550,0.2,"2,469"
92173,"29,429",5.1,"5,817"
92201,"61,827",22.7,"2,729"
92203,"25,605",17.5,"1,462"
92210,"4,677",13.1,358
92211,"24,294",15.1,"1,614"
92220,"31,638",124.2,255
92222,45,1.6,28
92223,"43,605",43.4,"1,005"
92225,"24,310",599.1,41
92227,"26,234",540.9,49
92230,"2,550",15.1,168
92231,"39,073",57.1,684
92233,"8,099",150.7,54
92234,"51,151",15.7,"3,251"
92236,"41,083",21.9,"1,877"
92239,223,143.4,2
92240,"34,722",36.6,949
92241,"8,803",138.1,64
92242,"1,539",31.3,49
92243,"48,030",110.3,436
92249,"7,334",21.5,342
92250,"8,285",415.0,20
92251,"21,583",199.5,108
92252,"9,647",89.9,107
92253,"37,262",35.0,"1,066"
92254,"12,768",46.7,273
92256,"3,588",78.0,46
92257,"2,326",743.9,3
92258,861,10.6,81
92259,390,324.1,1
92260,"31,753",28.4,"1,118"
92262,"26,179",36.6,714
92264,"19,383",52.3,371
92266,234,325.9,1
92267,126,16.3,8
92268,574,80.8,7
92270,"17,220",26.7,646
92273,"1,823",7.0,262
92274,"19,801",178.9,111
92275,"1,506",62.4,24
92276,"7,585",29.3,259
92277,"23,911","1,395.0",17
92278,"3,846",0.8,"4,804"
92280,14,166.1,0
92281,"2,432",14.3,171
92282,"1,239",71.1,17
92283,"3,158",743.6,4
92284,"25,095",110.2,228
92285,"2,632",171.0,15
92301,"32,725",170.5,192
92304,17,41.2,0
92305,535,100.0,5
92307,"37,630",169.9,222
92308,"39,837",93.2,427
92309,763,160.2,5
92310,"8,845",3.1,"2,871"
92311,"31,894",248.4,128
92313,"12,025",3.5,"3,448"
92314,"10,162",30.8,330
92315,"5,094",12.7,401
92316,"30,830",11.0,"2,805"
92320,"7,788",10.7,728
92321,"1,522",6.5,234
92322,"1,257",3.0,420
92324,"56,505",29.5,"1,915"
92325,"9,391",10.1,931
92327,632,28.2,22
92328,445,701.1,1
92332,65,894.7,0
92333,472,4.2,113
92335,"95,397",17.3,"5,506"
92336,"88,419",24.9,"3,555"
92337,"37,849",13.9,"2,718"
92338,12,241.3,0
92339,885,10.6,84
92341,410,7.1,58
92342,"6,379",105.5,60
92344,"20,769",38.5,539
92345,"78,715",82.0,960
92346,"54,923",25.4,"2,161"
92347,"1,692",146.6,12
92352,"8,004",9.6,830
92354,"21,559",4.9,"4,417"
92356,"6,455",393.8,16
92358,707,19.8,36
92359,"8,103",16.7,486
92363,"5,321",198.2,27
92364,90,514.2,0
92365,"2,637",172.6,15
92368,"1,113",27.9,40
92371,"16,763",139.7,120
92372,"6,220",27.9,223
92373,"33,423",40.7,821
92374,"40,267",18.7,"2,150"
92376,"81,516",13.5,"6,031"
92377,"19,989",10.2,"1,958"
92378,183,0.8,221
92382,"5,268",15.1,349
92384,36,140.0,0
92385,313,8.4,37
92386,"2,270",1.9,"1,184"
92389,156,137.7,1
92391,"2,534",2.3,"1,085"
92392,"54,858",37.3,"1,470"
92394,"33,237",27.3,"1,218"
92395,"42,400",17.1,"2,479"
92397,"4,894",10.3,475
92398,"1,379",28.0,49
92399,"52,606",53.0,992
92401,"1,932",0.9,"2,235"
92404,"58,271",28.6,"2,040"
92405,"28,873",4.7,"6,113"
92407,"56,689",62.9,901
92408,"15,271",10.6,"1,438"
92410,"49,410",8.2,"6,011"
92411,"26,214",4.1,"6,407"
92501,"20,970",5.7,"3,678"
92503,"84,519",29.9,"2,830"
92504,"53,778",23.4,"2,298"
92505,"47,672",12.2,"3,900"
92506,"44,001",16.2,"2,716"
92507,"58,002",20.2,"2,870"
92508,"35,000",10.7,"3,262"
92509,"75,196",31.1,"2,418"
92518,"1,162",11.9,98
92530,"50,216",53.9,932
92532,"18,644",18.1,"1,031"
92536,"3,810",124.8,31
92539,"4,734",131.3,36
92543,"33,555",17.7,"1,899"
92544,"44,734",135.7,330
92545,"39,457",32.1,"1,228"
92548,"6,643",9.8,676
92549,"3,926",27.5,143
92551,"30,815",5.9,"5,247"
92553,"73,722",10.1,"7,277"
92555,"39,076",80.7,484
92557,"50,320",18.8,"2,676"
92561,"1,661",158.2,11
92562,"62,079",109.4,568
92563,"53,892",20.3,"2,650"
92567,"9,459",29.5,321
92570,"53,697",97.3,552
92571,"52,516",22.6,"2,328"
92582,"15,649",18.5,846
92583,"30,236",28.4,"1,063"
92584,"43,400",29.8,"1,457"
92585,"17,797",20.3,877
92586,"19,815",7.1,"2,806"
92587,"16,675",7.9,"2,110"
92590,"3,660",53.4,68
92591,"38,272",16.5,"2,324"
92592,"72,492",97.2,746
92595,"29,851",21.1,"1,418"
92596,"23,172",61.2,379
92602,"22,871",10.4,"2,190"
92603,"20,184",13.3,"1,523"
92604,"26,853",3.4,"7,960"
92606,"21,495",4.8,"4,434"
92610,"11,248",9.8,"1,147"
92612,"27,522",6.1,"4,526"
92614,"24,748",4.4,"5,599"
92617,"14,044",2.4,"5,841"
92618,"16,366",21.2,773
92620,"38,486",7.0,"5,466"
92624,"7,248",1.4,"5,277"
92625,"12,478",2.6,"4,888"
92626,"49,341",9.6,"5,128"
92627,"61,510",6.3,"9,688"
92629,"25,756",5.1,"5,056"
92630,"59,182",9.5,"6,214"
92637,"16,012",3.5,"4,570"
92646,"55,224",8.0,"6,863"
