BUYER_ZIP,TRANSACTION_DATE,DOSAGE_UNIT,Ingredient_Name
91911,11032009,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91911,12092009,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91911,3172010,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91911,4082010,200.0,OXYCODONE HYDROCHLORIDE
91911,10122010,100.0,OXYCODONE HYDROCHLORIDE
91911,8162011,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91911,4052012,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,3062006,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,6262006,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,8072006,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,8292006,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,9052006,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,9192006,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,10032006,600.0,OXYCODONE HYDROCHLORIDE
91942,10042006,100.0,OXYCODONE HYDROCHLORIDE
91942,10052006,100.0,OXYCODONE HYDROCHLORIDE
91942,10122006,100.0,OXYCODONE HYDROCHLORIDE
91942,10242006,200.0,OXYCODONE HYDROCHLORIDE
91942,12282006,600.0,OXYCODONE HYDROCHLORIDE
91942,1172007,100.0,OXYCODONE HYDROCHLORIDE
91942,2192007,100.0,OXYCODONE HYDROCHLORIDE
91942,2262007,100.0,OXYCODONE HYDROCHLORIDE
91942,3262007,200.0,OXYCODONE HYDROCHLORIDE
91942,5012007,1000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,7182007,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,9192007,300.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,12112007,100.0,OXYCODONE HYDROCHLORIDE
91942,12212007,300.0,OXYCODONE HYDROCHLORIDE
91942,1142008,100.0,OXYCODONE HYDROCHLORIDE
91942,1302008,100.0,OXYCODONE HYDROCHLORIDE
91942,2112008,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,6032008,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,6042008,300.0,OXYCODONE HYDROCHLORIDE
91942,6062008,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,8082008,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,8212008,200.0,OXYCODONE HYDROCHLORIDE
91942,8262008,100.0,OXYCODONE HYDROCHLORIDE
91942,9092008,600.0,OXYCODONE HYDROCHLORIDE
91942,12022008,100.0,OXYCODONE HYDROCHLORIDE
91942,12102008,400.0,OXYCODONE HYDROCHLORIDE
91942,12102008,200.0,OXYCODONE HYDROCHLORIDE
91942,12182008,100.0,OXYCODONE HYDROCHLORIDE
91942,12302008,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,12312008,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,1152009,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,2062009,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,2192009,100.0,OXYCODONE HYDROCHLORIDE
91942,3032009,200.0,OXYCODONE HYDROCHLORIDE
91942,3052009,1000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,3202009,300.0,OXYCODONE HYDROCHLORIDE
91942,4162009,400.0,OXYCODONE HYDROCHLORIDE
91942,5072009,700.0,OXYCODONE HYDROCHLORIDE
91942,6032009,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,6092009,300.0,OXYCODONE HYDROCHLORIDE
91942,6192009,200.0,OXYCODONE HYDROCHLORIDE
91942,6242009,300.0,OXYCODONE HYDROCHLORIDE
91942,7022009,100.0,OXYCODONE HYDROCHLORIDE
91942,8102009,1500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,9182009,200.0,OXYCODONE HYDROCHLORIDE
91942,10052009,300.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,10132009,200.0,OXYCODONE HYDROCHLORIDE
91942,10192009,400.0,OXYCODONE HYDROCHLORIDE
91942,10302009,100.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,11022009,100.0,OXYCODONE HYDROCHLORIDE
91942,11032009,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,11162009,100.0,OXYCODONE HYDROCHLORIDE
91942,11192009,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,11232009,300.0,OXYCODONE HYDROCHLORIDE
91942,12072009,300.0,OXYCODONE HYDROCHLORIDE
91942,12092009,400.0,OXYCODONE HYDROCHLORIDE
91942,12222009,200.0,OXYCODONE HYDROCHLORIDE
91942,2012010,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,2082010,100.0,OXYCODONE HYDROCHLORIDE
91942,2162010,200.0,OXYCODONE HYDROCHLORIDE
91942,3252010,200.0,OXYCODONE HYDROCHLORIDE
91942,5112010,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,5202010,200.0,OXYCODONE HYDROCHLORIDE
91942,5262010,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,5282010,300.0,OXYCODONE HYDROCHLORIDE
91942,6252010,1000.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,6302010,100.0,OXYCODONE HYDROCHLORIDE
91942,7212010,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,7262010,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,8062010,200.0,OXYCODONE HYDROCHLORIDE
91942,10082010,100.0,OXYCODONE HYDROCHLORIDE
91942,11112010,500.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,11262010,100.0,OXYCODONE HYDROCHLORIDE
91942,11302010,200.0,HYDROCODONE BITARTRATE HEMIPENTAHYDRATE
91942,12012010,300.0,OXYCODONE HYDROCHLORIDE
91942,12022010,100.0,OXYCODONE HYDROCHLORIDE
91942,12292010,200.0,OXYCODONE HYDROCHLORIDE
