Zip Code,Pills
94550,368045810
90242,187157905
92010,74056390
95350,42161712
95825,41336891
95355,39931344
95926,37066200
96001,34265364
95823,34035590
93534,32954470
95661,32123586
93277,31967758
95966,31191755
95210,28866410
95834,28384020
93720,27569670
92021,27343700
95991,27253925
95370,27051420
95351,26809615
93257,26738420
95603,26513860
93454,25961944
95630,25816080
92307,25681704
95240,25482370
92324,25148920
93003,24860548
96002,24229850
93726,24129560
92708,23945880
94538,23682262
92404,23637760
95969,23623610
95667,23502240
92345,23452155
94587,23386960
92880,23293960
95501,23062050
92553,23027620
93230,22814574
91786,22277404
93301,21916782
95422,21504120
95945,21472510
93308,21469910
92395,21357390
96003,21271520
92262,21105850
93065,21079805
95821,20862082
95670,20822026
93274,20677208
94590,20623314
95758,20520590
94533,20418410
95356,20349726
92103,20230165
96007,20195010
94080,20117430
92335,19944810
96080,19623140
92705,19394951
94531,19386750
91505,19268230
94114,19243840
90806,19128085
92506,18968110
95901,18698410
95621,18685980
95207,18479890
95380,18406840
95051,18394230
93612,18367160
96130,18360010
91016,18153810
93309,18079489
92392,17973760
92284,17747690
94558,17715095
95482,17712995
92543,17441500
95340,17240320
95205,17087380
94598,17069810
94115,17008310
95816,16974870
92648,16936887
94611,16900836
93536,16812273
95453,16795540
95608,16789954
93710,16708084
94596,16627601
94553,16532515
95928,16469730
93727,16295010
91942,16293688
93611,16196445
93030,16187752
91355,16180008
95687,16118040
95204,16072180
95531,16011500
93901,15900925
93306,15836275
92373,15719810
92025,15719019
95401,15458960
90027,15403765
91706,15361890
95993,15181390
93551,15143783
95695,15112444
92083,15002355
92626,14796165
92120,14775413
90706,14736200
93436,14668700
95376,14666820
92020,14637968
94546,14617825
94565,14606300
92201,14589150
95361,14458280
92071,14452369
92024,14327275
92530,14213820
92562,14166650
92111,14091950
94928,14076530
93711,14056870
92123,14015393
94545,13987285
91710,13985770
95307,13951230
91730,13935755
95678,13906806
93446,13898180
91761,13892513
95336,13888940
92399,13796410
95688,13665990
93940,13555550
94509,13512230
95405,13469665
90045,13420192
92647,13412305
92835,13359450
95822,13352240
95691,13135715
91745,13123300
91910,12842102
92243,12660910
92804,12648414
92683,12617056
91335,12614250
95301,12551270
92691,12488520
92660,12482032
91403,12471174
95815,12451008
94520,12446954
94583,12434194
94063,12401040
92840,12379355
93555,12322390
92069,12319615
91360,12289378
95820,12261770
96150,12249480
92591,12237135
94903,12218678
95403,12186400
90807,12173320
93422,12172560
93722,12158170
92507,12142900
92128,12121663
93906,12114230
90802,12060380
92544,11988730
92807,11960716
90505,11945191
90404,11939720
93637,11919715
90630,11814070
95242,11810470
92376,11745625
95648,11737646
95540,11681990
95476,11672180
91356,11640276
93420,11528840
94588,11507050
92374,11414770
92220,11400860
90048,11398625
94110,11356556
95819,11344172
91351,11308290
95642,11230030
90250,11212544
95382,11194930
92121,11166595
93010,11158204
90631,11119995
90731,11093020
95628,11088420
95062,11060080
96097,11059265
92677,11050864
91402,11046450
93313,10988430
94015,10924084
94513,10908820
93312,10902265
94609,10837330
95624,10791446
93552,10778590
92646,10752580
94954,10740800
94102,10669570
93311,10652463
92545,10647500
93105,10632930
90660,10622190
93644,10605880
95843,10571030
92879,10532715
90712,10445162
91325,10409270
94501,10380310
90211,10354957
91436,10342641
91304,10312150
95610,10307230
92311,10298410
92586,10282940
92801,10253188
92056,10252487
95677,10236220
95817,10213820
92407,10183290
90703,10155810
92505,10105096
95008,10090900
93535,10089920
92234,10082350
92110,10064805
92583,10055955
94806,10023355
92503,10002906
93635,9979110
90503,9975800
95503,9936600
92704,9932222
95337,9796860
92037,9696537
95060,9616840
95833,9604870
90710,9567450
91790,9557106
90815,9552980
92054,9549682
90713,9529940
94109,9526832
90650,9496396
92882,9490870
93291,9481944
92260,9453110
92346,9416440
90277,9393450
95660,9378400
95747,9315810
92354,9277230
92780,9260818
92154,9254690
94041,9223230
93304,9220235
92126,9194700
92117,9118210
94040,9112650
91405,9069992
92027,9064340
92630,9038200
95128,8994840
95437,8964680
92408,8952440
95020,8949090
90620,8906164
90720,8901888
90638,8871397
93662,8847400
90732,8836995
95961,8816030
90740,8772820
93444,8677680
95010,8668360
91364,8665520
90301,8665011
94801,8639570
94578,8638440
92504,8618890
95076,8616895
91911,8593800
91324,8551770
95019,8524710
92870,8453740
95023,8448960
95032,8432995
95682,8422279
90292,8415210
92253,8411892
95119,8398710
93561,8374580
92592,8372170
92211,8337410
93292,8324790
94087,8254370
91767,8250515
91401,8245390
90033,8245130
92270,8240632
92604,8161641
90035,8152750
94066,8136010
95124,8124627
94608,8120506
93063,8115380
94901,8113850
92649,8098580
92065,8085130
93955,8054750
93117,8006660
91941,7969640
91316,7968082
92627,7962550
91367,7960650
92115,7954440
94564,7952105
94118,7931950
93907,7925510
92595,7911940
95490,7899720
92584,7892100
90241,7882565
93101,7878852
91950,7876670
92026,7869480
94941,7817420
95035,7800595
94945,7780320
91344,7775808
90640,7762640
95811,7757645
90036,7736544
90007,7736320
92040,7728920
92101,7715070
92028,7708550
93401,7703645
90804,7701920
92315,7693200
91342,7688372
93705,7644900
92868,7643636
94523,7639636
91701,7632110
92225,7625510
91307,7594693
91702,7563435
94544,7557480
92806,7548100
94103,7497840
95521,7487860
95824,7472460
93703,7461320
96021,7441420
94589,7414850
92104,7408380
90247,7372070
95765,7366700
93033,7254735
92563,7250770
93060,7235490
95949,7220766
95519,7220210
94619,7215810
94577,7200270
92821,7179250
92008,7156610
94579,7151130
91709,7142430
92653,7140782
95472,7125446
92240,7114860
93036,7104730
94566,7062610
95409,7058710
92064,7026205
95831,7007020
91773,7005284
91504,7004960
93215,6995664
92692,6985532
92336,6971430
90501,6893538
91350,6862600
91740,6808810
92308,6796100
92673,6774562
95965,6771910
94510,6760112
95123,6757035
90025,6741662
94804,6707990
92509,6704070
90602,6692170
93023,6673160
94541,6661040
91321,6658365
94952,6632010
91423,6600270
92869,6579250
94559,6563200
93618,6548890
92618,6548725
91711,6544960
92886,6538494
94591,6513130
95118,6414700
92571,6413230
92203,6403580
94601,6392870
93455,6377660
93245,6348660
91754,6329650
92009,6281720
92227,6279320
91320,6278702
94530,6274820
93268,6255610
95367,6205910
95963,6205100
94070,6199790
92675,6167755
96093,6099130
95835,6089210
93238,6065000
92557,6046008
92411,6019170
92223,6007300
95003,5979090
95826,5860410
95037,5836920
93305,5823910
91741,5814580
92833,5791140
94112,5738220
92501,5731950
95616,5717600
92860,5715850
91977,5704890
93631,5704300
90808,5694490
90028,5686130
90805,5685970
95492,5674490
94521,5669690
95662,5665245
95363,5618790
95762,5614750
95841,5612100
90603,5602220
90069,5599310
91331,5588602
94561,5586050
93405,5584280
95126,5582120
93560,5559430
92084,5534720
96013,5517870
90034,5514410
96067,5498400
93240,5466550
90303,5461324
92865,5450090
95066,5440700
90210,5431568
92555,5420940
91801,5391430
92843,5386815
95357,5378830
90024,5365340
92078,5364659
91107,5353550
91340,5349895
91945,5347690
96161,5344550
90046,5335355
90403,5325100
92109,5306290
94117,5290250
90745,5285190
95828,5279270
95948,5278980
91902,5276990
93933,5242630
92058,5237420
92131,5236244
92108,5228265
93402,5209430
91361,5191690
93654,5183250
92113,5177220
93514,5173500
95050,5172754
93657,5155210
94401,5151800
91411,5151380
94536,5140410
94010,5132352
92867,5111320
95842,5093944
90813,5078795
93550,5038450
95632,5034330
91007,5024462
94122,5024310
95404,5022055
93706,5010035
94025,5005810
91723,4998980
91206,4994002
91764,4993900
92057,4987860
90016,4986730
91604,4979988
95954,4977160
95252,4973900
92656,4964875
