Zip Code,Transactions
95350,67935
90242,61370
95355,54514
93003,51060
95630,50943
92021,49944
92307,47821
93065,46860
95370,45992
93720,45902
95926,45547
93277,44715
92708,44710
96001,44692
95823,44617
94538,43443
95825,43027
95991,42627
93454,42540
95603,42377
93534,41907
91786,41376
92262,40922
93308,39345
95661,38719
95758,38646
95501,38354
95667,38340
93257,38195
91355,37772
92345,37695
91505,37203
92395,36780
95351,36496
92103,36240
95670,36024
95210,35738
94114,35625
95207,35278
93901,35190
92024,35090
95966,34903
94550,34469
92677,34468
93551,34002
94080,33969
93230,33864
93301,33813
95821,33812
96003,33700
93274,33688
92083,33297
95380,33178
95482,33101
92506,32889
93726,32721
93612,32610
90505,32566
95340,32131
95687,31984
92404,31930
92648,31746
93030,31693
92553,31517
91360,31435
92025,31174
92683,31099
94583,31001
90806,30811
95376,30744
90048,30712
90631,30682
91910,30656
95621,30583
95993,30564
94533,30548
94928,30518
95901,30462
92660,30400
96080,30365
92562,30049
94509,29976
92835,29845
92691,29725
91942,29698
91710,29650
93536,29573
92071,29510
92705,29472
95945,29440
92335,29326
93711,29228
95678,29022
94558,28984
96007,28628
91730,28569
95336,28524
95969,28369
92530,28235
90027,27997
92392,27846
92646,27824
93436,27772
94115,27704
93710,27619
95422,27575
93309,27474
92284,27232
94565,27208
95204,27058
96002,27024
92626,26810
93611,26705
94611,26636
93105,26540
93727,26539
95242,26424
92123,26323
93446,26294
93306,26196
93906,26163
96150,26065
92543,26049
92647,25978
95608,25951
92804,25888
95816,25779
92201,25723
95624,25614
95405,25580
92020,25474
94598,25347
92128,25282
95301,25263
95822,25238
92591,25115
94546,24939
92373,24917
92879,24900
95531,24872
93420,24853
95356,24849
92243,24733
92801,24619
90211,24506
95928,23966
92037,23906
94501,23882
90404,23863
94587,23801
95691,23722
94513,23703
92056,23699
91016,23633
95205,23537
93940,23494
93312,23488
92110,23408
95307,23395
92111,23356
90250,23320
96130,23264
95642,23156
92260,23135
93010,23106
94531,23013
93555,22911
95051,22905
93637,22904
94609,22870
90277,22866
91307,22847
93635,22823
93722,22806
94596,22787
95062,22513
92376,22419
90706,22413
90630,22370
92653,22339
91911,22296
90807,22222
95020,22192
92882,22124
95124,22099
94040,22028
95403,21996
95361,21905
91706,21856
94553,21812
95240,21804
94110,21771
92253,21745
92069,21727
92324,21723
90732,21706
90731,21698
92311,21682
91335,21661
90802,21614
91356,21524
94087,21496
95695,21270
94063,21228
92630,21118
93313,21116
90650,21095
91344,21036
95453,21003
93552,20960
92780,20871
92840,20839
90620,20823
92870,20793
91325,20713
95008,20604
90712,20568
96097,20540
92120,20469
92503,20462
92054,20459
94588,20446
94015,20379
92592,20156
94102,20132
91405,20104
92234,20089
95747,20089
90036,20002
92101,19978
94109,19975
92399,19937
90292,19895
93311,19870
91402,19817
90045,19798
92583,19771
91316,19736
92544,19705
90815,19700
90713,19660
94941,19634
95628,19589
92545,19574
95382,19544
92704,19520
91767,19452
95060,19432
92675,19395
91709,19237
91790,19224
91364,19171
92064,19131
94520,19096
91740,19023
93304,18967
92563,18939
95610,18887
92270,18803
90028,18763
95819,18696
92027,18661
91403,18589
92692,18558
91320,18528
95648,18504
92336,18503
95401,18437
90247,18360
94577,18280
93117,18270
92346,18177
94806,18138
90025,18127
91436,18120
90808,18110
95834,18041
92126,17973
95118,17926
91324,17923
94578,17847
92115,17807
95023,17738
92807,17735
93644,17618
91401,17617
92673,17546
92374,17503
94523,17470
95476,17410
90301,17385
90638,17380
95035,17379
92821,17371
95843,17292
93422,17252
93955,17186
91702,17159
94545,17129
90035,17107
94590,17073
92507,17063
91773,17060
92604,17036
90804,17023
91745,16938
92886,16932
95833,16912
90640,16791
95032,16760
90069,16756
93907,16668
95076,16641
95765,16608
92407,16603
90241,16469
90503,16360
90740,16321
94103,16290
93291,16265
94903,16229
91351,16201
94118,16149
90660,16147
95540,16086
94954,16057
94564,15992
92649,15936
94544,15902
91950,15901
94541,15808
94901,15806
93444,15783
90403,15753
94112,15743
92627,15740
92869,15707
93101,15692
95682,15686
91350,15644
92586,15549
92117,15408
93036,15353
94117,15323
90046,15267
95688,15220
92026,15219
95337,15211
92843,15142
92154,15138
92028,15055
91701,15006
94566,14985
93535,14979
93063,14956
95019,14938
94066,14886
95037,14856
91367,14856
