Zip Code,Population,Male,Female,Median age (years),Male Median age (years),Female Median age (years)
89010,31,18,13,26.5,24.5,26.5
89019,69,39,30,38.3,38.5,38
89060,30,15,15,44,38.5,48.5
89061,51,23,28,47.5,40.5,50
89439,80,41,39,57.5,57.5,57.5
90001,57110,28468,28642,26.6,26.1,27.1
90002,51223,24876,26347,25.5,24.6,26.5
90003,66266,32631,33635,26.3,25.5,27.1
90004,62180,31302,30878,34.8,33.7,36
90005,37681,19299,18382,33.9,32.6,35.6
90006,59185,30254,28931,32.4,31.6,33.3
90007,40920,20915,20005,24,23.9,24.2
90008,32327,14477,17850,39.7,36.5,42.1
90010,3800,1874,1926,37.8,37.5,38.2
90011,103892,52794,51098,26.2,26,26.5
90012,31103,19493,11610,36.3,35.2,38.8
90013,11772,7629,4143,44.6,45.7,41.5
90014,7005,4471,2534,44.8,45.6,41.7
90015,18986,9833,9153,31.3,31.7,30.8
90016,47596,22778,24818,33.9,31.8,35.8
90017,23768,12818,10950,29.4,29.6,29.2
90018,49310,23770,25540,33.2,31.2,35.3
90019,64458,31442,33016,35.8,34.4,37.3
90020,38967,19381,19586,34.6,34,35.2
90021,3951,2790,1161,44.3,46,38.3
90022,67179,33216,33963,29.8,28.6,31
90023,45903,23037,22866,28.4,27.7,29.1
90024,47452,22248,25204,23.6,24.1,23.1
90025,42147,20859,21288,34.7,34.2,35.2
90026,67869,34515,33354,34,33.6,34.4
90027,45151,22362,22789,38.3,38.1,38.6
90028,28714,16056,12658,34,34,33.9
90029,38617,19575,19042,34.6,33.3,36.2
90031,39316,19546,19770,33.5,32.3,34.6
90032,45786,22564,23222,32.4,31.3,33.5
90033,48852,24425,24427,29.2,28,30.5
90034,57964,28828,29136,32.8,32.3,33.3
90035,28418,13326,15092,37.5,36.7,38.3
90036,36865,17914,18951,33.9,34.6,33.3
90037,62276,31187,31089,28.8,28,29.7
90038,28917,15383,13534,33.1,32.6,33.8
90039,28514,14383,14131,38.8,38.5,39.1
90040,12520,6129,6391,31.2,29.7,32.7
90041,27425,13212,14213,39,37.3,40.4
90042,62430,30836,31594,33.6,32.7,34.4
90043,44789,20561,24228,38.7,35.6,40.8
90044,89779,43128,46651,28.6,27.2,29.9
90045,39480,18958,20522,35.6,34.9,36.3
90046,48581,25854,22727,38.5,39.2,37.5
90047,48606,22129,26477,36.2,32.7,38.8
90048,21397,10132,11265,39.2,39.3,39.1
90049,35482,16359,19123,41.3,41.4,41.1
90056,7827,3436,4391,48.4,46.7,49.5
90057,44998,24300,20698,31.2,30.4,32.4
90058,3223,1555,1668,26,23.7,28.2
90059,40952,19623,21329,25.7,24.3,27
90061,26872,13049,13823,28.4,27,29.8
90062,32821,15720,17101,31.8,29.9,33.7
90063,55758,27843,27915,29,28.3,29.8
90064,25403,12297,13106,40,38.8,41.3
90065,45527,22873,22654,36.1,35.3,36.8
90066,55277,27714,27563,37.3,36.3,38.4
90067,2424,1074,1350,65.3,64.7,65.9
90068,22286,12018,10268,39.4,40.2,38.3
90069,20483,12153,8330,41.5,42.3,40
90071,15,13,2,45.5,45.5,36.5
90073,539,506,33,56.9,56.9,56.5
90077,9377,4594,4783,47.9,48,47.7
90079,0,0,0,0,0,0
90089,3217,1436,1781,19.3,19.3,19.2
90090,0,0,0,0,0,0
90094,5464,2559,2905,33.7,34,33.3
90095,3,2,1,52.5,38.5,52.5
90201,101279,50658,50621,27.8,27.1,28.4
90210,21741,10292,11449,47.5,47.9,47.1
