Zip Code,Population Density
89010,2
89019,0
89060,4
89061,71
89439,11
90001,16306
90002,16728
90003,18660
90004,20400
90005,34761
90006,30829
90007,16593
90008,8801
90010,8309
90011,24240
90012,9618
90013,17546
90014,24737
90015,11100
90016,13123
90017,32725
90018,17028
90019,16578
90020,34475
90021,1908
90022,15334
90023,10866
90024,16154
90025,16402
90026,16063
90027,5464
90028,18838
90029,28359
90031,11383
90032,9604
90033,14954
90034,18621
90035,13808
90036,14922
90037,21941
90038,18460
90039,7563
90040,2243
90041,7595
90042,13444
90043,10836
90044,17478
90045,3681
90046,8405
90047,10275
90048,11350
90049,2362
90056,4955
90057,50810
90058,555
90059,12359
90061,10094
90062,16973
90063,17038
90064,6350
90065,8625
90066,11231
90067,7387
90068,2925
90069,9688
90071,122
90073,1591
90077,1279
90079,0
90089,11218
90090,0
90094,8942
90095,8
90201,17060
90210,2147
90211,12042
90212,12096
90220,7138
90221,10072
90222,12465
90230,7048
90232,7193
90240,8789
90241,8607
90242,9559
90245,3049
90247,12649
90248,2119
90249,8956
90250,13920
90254,13665
90255,20189
90260,13031
90262,14431
90263,7135
90265,168
90266,8926
90270,21694
90272,1007
90274,2106
90275,3093
90277,9850
90278,11120
90280,12922
90290,318
90291,11359
90292,10583
90293,4235
90301,14760
90302,15537
90303,11799
90304,18007
90305,6404
90401,7917
90402,6113
90403,17180
90404,10723
90405,10272
90501,7678
90502,8059
90503,8379
90504,7213
90505,6330
90506,0
90601,2818
90602,6947
90603,6136
90604,9248
90605,7136
90606,8564
90620,7058
90621,8487
90623,8582
90630,7835
90631,4863
90638,6217
90640,7367
90650,10761
90660,8120
90670,1757
90680,11110
90701,10178
90703,5626
90704,55
90706,12543
90710,10797
90712,7349
90713,8228
90715,11990
90716,15233
90717,10767
90720,3550
90723,11547
90731,6492
90732,6143
90740,2704
90742,4497
90743,5508
90744,6455
90745,6897
90746,4456
90747,0
90755,5081
90802,6069
90803,8013
90804,19061
90805,12692
90806,12327
90807,5391
90808,5568
90810,5486
90813,18360
90814,14122
90815,5579
90822,720
90831,0
91001,4368
91006,5019
91007,6134
91008,687
91010,3704
91011,1711
91016,4784
91020,11185
91024,3698
91030,7511
91040,2484
91042,553
91046,15591
91101,15445
91103,5122
91104,9664
91105,3047
91106,8210
91107,4008
91108,3505
91201,9647
91202,11139
91203,16151
91204,14263
91205,19995
91206,5621
91207,2312
91208,2354
91210,7452
91214,4022
91301,748
91302,963
91303,12413
91304,5341
91306,10889
91307,3042
91311,1140
91316,5372
91320,2426
91321,1348
91324,6301
91325,6724
91326,4131
91330,7931
91331,11713
91335,11328
91340,10112
91342,1665
91343,10193
91344,3153
91345,5705
91350,1968
91351,3381
91352,4097
91354,3292
91355,2107
91356,4016
91360,2919
91361,610
91362,1837
91364,3405
91367,5308
91371,4
91377,2609
91381,536
91384,275
91387,814
91390,138
91401,11377
91402,18733
91403,6467
91405,15457
91406,6340
91411,12059
91423,7103
91436,2523
91501,5255
91502,8521
91504,5053
91505,6106
91506,7726
91601,14028
91602,8535
91604,5636
91605,10312
91606,13491
91607,11448
91608,0
91701,5361
91702,353
91706,5699
91708,352
91709,2188
91710,3736
91711,2379
91722,8330
91723,7877
91724,4200
91730,4624
91731,7758
91732,13301
91733,6570
91737,2953
91739,1184
91740,5094
91741,1743
91744,9675
91745,4217
91746,5473
91748,3138
91750,1318
91752,1992
91754,7224
91755,8847
91759,6
91761,1951
91762,4100
91763,7034
91764,6756
91765,2456
91766,7043
91767,8552
91768,3993
91770,9668
91773,2316
91775,7830
91776,11300
91780,8966
91784,2846
91786,5715
91789,2756
91790,7779
91791,4885
91792,8031
91801,12101
91803,9285
91901,195
91902,2028
91905,26
91906,34
91910,6196
91911,7087
91913,4017
91914,2455
91915,3242
91916,41
91917,27
91931,41
91932,10232
91934,16
91935,89
91941,3942
91942,6524
91945,6484
91948,4
91950,7938
91962,32
91963,33
91977,6039
91978,1390
91980,46
92003,274
92004,6
92007,4267
92008,2682
