Alameda Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
94501,1.49,0.04,10.71
94502,0,0,0
94536,0,0,6.94
94538,1.57,0.04,11.21
94539,0,0,12.75
94541,3.53,0.43,15.2
94542,0,0,48.58
94544,1.65,0.04,10.62
94545,0,0,15.09
94546,2.13,0.05,14.46
94550,1.63,0.04,13.43
94551,2.11,0.05,23.88
94552,0,0,0
94555,0,0,0
94560,6.09,1.26,22.39
94566,1.68,0.04,17.81
94568,0,0,24.66
94577,0,0,9.79
94578,2.13,0.05,18.27
94579,0,0,22.08
94580,6.17,0.73,26.51
94586,0,0,0
94587,1.45,0.04,9.93
94588,0,0,0
94601,1.37,0.03,15.64
94602,3.62,0.09,25.79
94603,0,0,24.9
94605,2.2,0.06,15.5
94606,0,0,14.75
94607,0,0,23.32
94608,0,0,25.25
94609,3.95,0.1,43.34
94610,0,0,31.62
94611,3.96,0.44,24.99
94612,6.94,0.18,96.21
94613,0,0,0
94618,5.44,0.14,49.86
94619,3.46,0.09,27.16
94621,0,0,26.63
94702,4.29,0.11,46.4
94703,3.39,0.09,36.08
94704,0,0,157.55
94705,0,0,56.01
94706,13.07,1.49,52.78
94707,0,0,0
94709,0,0,0
94710,0,0,109.44
94720,0,0,0
95377,6.01,0.71,57.11
95391,0,0,0
Alameda,1.87,1.26,2.72
California,4.02,3.82,4.22
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
