Butte Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
95914,0,0,1655.12
95916,0,0,805.19
95917,0,0,0
95926,0.92,0.02,18.41
95928,8.59,1.04,31.14
95938,0,0,0
95941,0,0,1871.98
95942,0,0,0
95948,0,0,48.94
95954,0,0,51.19
95965,6.61,0.8,36.32
95966,11.28,2.64,36.11
95968,0,0,0
95969,15.24,4.06,45.56
95973,5.34,0.61,23.27
Butte,6.8,3.86,11.68
California,4.02,3.82,4.22
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
