Contra Costa Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
94505,0,0,0
94506,0,0,0
94507,0,0,90.68
94509,5.97,1.57,17.23
94513,1.96,0.05,12.71
94514,0,0,658.2
94517,0,0,0
94518,0,0,17.62
94519,12.22,1.48,46.85
94520,3.09,0.08,24.84
94521,0,0,11.2
94523,3.66,0.09,21.59
94525,0,0,0
94526,6.85,0.17,41.55
94528,0,0,0
94530,0,0,0
94531,6.75,0.17,37.61
94547,0,0,0
94548,0,0,0
94549,0,0,28.44
94553,5.92,1.11,19.87
94556,0,0,85.93
94561,4.85,0.59,29.5
94563,0,0,0
94564,7.17,0.18,41.67
94565,2.07,0.25,11.05
94569,0,0,0
94572,10.33,0.26,75.85
94582,0,0,0
94583,0,0,20.49
94595,0,0,88.53
94596,0,0,29.11
94597,6.01,0.15,41.57
94598,0,0,28.45
94708,0,0,76.16
94801,11.02,2.27,41.2
94803,9.6,1.84,33.88
94804,4.85,0.56,21.68
94805,0,0,42.56
94806,0,0,9.2
California,4.02,3.82,4.22
Contra Costa,2.64,1.77,3.85
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
