Kings Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
93202,0,0,228.84
93204,4.67,0.12,143.48
93212,3.58,0.09,55.43
93230,4.14,0.85,13.75
93239,0,0,0
93245,3.4,0.09,29.68
93266,0,0,0
93451,0,0,164.55
California,4.02,3.82,4.22
Kings,3.79,1.51,9.41
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
