Lassen Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
00012,0,0,0
00019,0,0,0
96056,0,0,0
96109,38.57,0.98,516.35
96113,0,0,0
96117,0,0,0
96119,0,0,0
96121,118.18,2.99,3379.97
96123,0,0,0
96128,0,0,0
96130,26.23,10.52,66.95
96132,0,0,0
96136,0,0,0
California,4.02,3.82,4.22
Lassen,30.07,15.48,56.68
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
