Madera Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
00020,0,0,0
93601,0,0,467.99
93604,0,0,0
93610,8.8,1.03,44.6
93614,19.51,2.03,87.26
93626,0,0,0
93636,0,0,49.73
93637,12.58,3.39,34.07
93638,2.57,0.07,20.01
93643,23.49,0.59,251.3
93644,0,0,0
93645,0,0,0
93669,0,0,0
California,4.02,3.82,4.22
Madera,7,3.4,13.13
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
