Marin Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
94901,9.84,3.11,27.51
94903,9.73,1.18,37.61
94904,7.14,0.18,84.24
94920,0,0,0
94924,0,0,471.6
94925,0,0,96.17
94929,0,0,0
94930,5.44,0.14,89.9
94933,0,0,0
94937,117.38,2.97,1418
94938,0,0,0
94939,8.7,0.22,131.04
94940,0,0,0
94941,10.11,2.7,44.41
94945,12.52,2.49,48.52
94946,0,0,0
94947,6.17,0.16,34.39
94949,3.93,0.1,38.33
94952,10.63,2.18,32.08
94956,0,0,0
94960,14.24,0.36,82.81
94963,221.22,5.6,3083.07
94964,0,0,6581.99
94965,0,0,0
94970,0,0,0
94971,0,0,0
94973,0,0,0
California,4.02,3.82,4.22
Marin,7.53,4.57,12.11
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
