Merced Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
93620,0,0,0
93635,3,0.08,21.23
95301,2.65,0.07,18.64
95303,0,0,0
95315,9.48,0.24,85
95317,0,0,0
95322,11.84,0.3,73.69
95324,0,0,0
95333,0,0,0
95334,0,0,0
95340,15.52,5.02,38.72
95341,4.17,0.11,31.44
95348,0,0,20.04
95365,0,0,0
95369,0,0,0
95374,0,0,0
95388,0,0,0
California,4.02,3.82,4.22
Merced,4.29,3.11,8.04
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
