Orange Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
90620,2.23,0.06,14.15
90621,11.31,3.05,34.52
90623,0,0,0
90630,1.54,0.04,12.95
90631,4.04,0.83,13.07
90638,0,0,10.24
90680,3.37,0.09,22.44
90720,6.27,0.16,38.45
90740,0,0,33.96
90742,0,0,0
90743,0,0,0
92530,1.92,0.05,19.66
92602,0,0,0
92603,0,0,0
92604,5.01,0.13,28.69
92606,3.86,0.1,46.86
92610,10.77,0.27,183.23
92612,3.43,0.09,36.44
92614,6.31,0.76,38.14
92617,0,0,0
92618,0,0,0
92620,9.04,1.84,31
92624,15.29,0.39,99.42
92625,0,0,59.38
92626,3.33,0.37,15.76
92627,12.06,4.84,28.01
92629,27.42,10.41,62.07
92630,7.48,2.42,20.13
92637,5.02,0.13,2435.06
92646,8.61,2.73,22.38
92647,1.55,0.04,11.08
92648,5.65,1.14,20.23
92649,3.09,0.08,22.15
92651,15.71,5,50.92
92653,3.7,0.09,24.94
92655,35.82,7.36,111.36
92656,4.51,0.53,29.53
92657,0,0,0
92660,9.45,2.57,30.54
92661,0,0,0
92662,0,0,0
92663,10.08,1.17,50.38
92672,14.19,4.48,35.77
92673,30.5,11.59,67.73
92675,21.74,8.23,47.76
92676,62.42,1.58,781.52
92677,23.31,12.43,40.73
92679,8.76,1.06,46.13
92683,3.94,0.8,11.82
92688,9.19,2.4,32.67
92691,13.72,4.95,31.09
92692,14.74,5.58,34.07
92694,0,0,184.55
92697,0,0,0
92701,10.38,3.64,32.05
92703,6.38,1.69,20.12
92704,1.25,0.03,12.76
92705,4.69,0.51,18.76
92706,3.02,0.08,23.51
92707,4.12,0.81,21.07
92708,4.86,0.85,17.09
92780,13.06,5.59,27.99
92782,3.88,0.1,63.83
92801,13.1,5.25,28.82
92802,2.61,0.07,18.5
92804,10.66,4.87,21.1
92805,7.68,2.44,22.83
92806,5.68,0.68,23.17
92807,0,0,13.61
92808,3.68,0.09,40.42
92821,2.03,0.05,16.32
92823,0,0,0
92831,0,0,0
92832,12.07,2.46,40.8
92833,5.96,1.23,19.21
92835,3.11,0.08,28.26
92840,7.91,2.08,21.87
92841,5.9,0.71,23.34
92843,0,0,11.51
92844,10.83,2.23,41.82
92845,9.22,0.23,53.04
92861,11.18,0.28,197.27
92862,0,0,0
92865,9.89,1.16,40.17
92866,6.14,0.16,44.17
92867,0,0,11.03
92868,4.15,0.11,32.82
92869,2.48,0.06,16.28
92870,3.94,0.46,14.99
92886,6.18,1.16,22.11
92887,9.3,1.08,47.03
California,4.02,3.82,4.22
Orange,6.71,5.83,7.69
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
