Placer Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
95602,0,0,42.2
95603,5.85,0.15,32.61
95631,8.06,0.2,127.84
95648,2.78,0.07,18.08
95650,0,0,53.49
95658,0,0,0
95661,2.78,0.07,20.73
95663,0,0,0
95677,2.82,0.07,25.36
95678,4.37,0.53,20.14
95681,0,0,0
95701,0,0,0
95703,0,0,0
95713,0,0,61.81
95714,0,0,0
95715,0,0,0
95717,0,0,0
95722,0,0,0
95724,0,0,0
95746,0,0,0
95747,2.13,0.05,14.96
95765,3.6,0.09,23.13
96140,0,0,0
96141,0,0,0
96142,0,0,0
96143,0,0,0
96145,0,0,259.04
96146,0,0,0
96148,0,0,0
California,4.02,3.82,4.22
Placer,2.58,1.3,4.91
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
