San Bernardino Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
91701,3.4,0.09,19.62
91708,0,0,1906.97
91709,0,0,11.63
91710,3.46,0.71,14.04
91730,1.52,0.04,14.16
91737,5.59,0.14,37.68
91739,0,0,44.01
91759,0,0,0
91761,1.47,0.04,20.55
91762,1.5,0.04,14.51
91763,2.99,0.08,22.55
91764,0,0,17.05
91766,1.36,0.03,14.5
91784,0,0,24.77
91786,3.79,0.45,15.8
92242,0,0,0
92252,6.2,0.16,67.09
92256,0,0,0
92267,0,0,15097.05
92277,0,0,0
92278,0,0,0
92280,0,0,0
92284,4.23,0.11,29.44
92285,15.39,0.39,286.56
92301,3.79,0.1,48.35
92304,0,0,0
92305,0,0,0
92307,3.99,0.48,20.51
92308,4.49,0.49,20.74
92309,0,0,0
92310,0,0,0
92311,0,0,16.63
92313,0,0,0
92314,13.77,0.35,87.95
92315,0,0,113.51
92316,0,0,36.91
92317,0,0,0
92321,0,0,0
92322,0,0,0
92324,1.76,0.04,15.34
92325,9.27,0.23,145.03
92327,0,0,0
92332,0,0,0
92335,1.25,0.03,11.27
92336,0,0,14.56
92337,0,0,39.45
92338,0,0,0
92339,0,0,0
92342,14.25,0.36,117.29
92344,0,0,0
92345,2.35,0.28,10.37
92346,1.89,0.05,14.17
92347,45.71,1.16,568.87
92350,0,0,0
92352,0,0,0
92354,0,0,25.27
92356,0,0,0
92358,0,0,0
92359,0,0,0
92363,0,0,0
92364,0,0,0
92365,0,0,0
92368,0,0,0
92371,4.22,0.11,49.02
92372,0,0,0
92374,2.59,0.07,17.11
92376,1.35,0.03,12.47
92377,0,0,46.89
92382,23.25,0.59,247.16
92385,0,0,0
92392,4.24,0.51,21.49
92394,3.6,0.09,49.06
92395,4.49,0.54,19.22
92397,0,0,0
92399,6.29,1.28,19.25
92401,0,0,0
92404,1.8,0.05,13.14
92405,3.48,0.09,33.21
92407,5.86,0.59,28.79
92408,0,0,50.55
92410,5.19,0.63,24.81
92411,0,0,0
93555,2.15,0.05,20.02
93562,0,0,0
California,4.02,3.82,4.22
San Bernardino,2.26,1.67,3.04
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
