San Joaquin Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
95202,53.66,14.42,159.33
95203,6.35,0.16,49.74
95204,17.52,5.33,45.73
95205,12.41,3.37,36.09
95206,6.61,1.78,21.16
95207,6.77,1.31,21.94
95209,4.26,0.5,20.61
95210,4.7,0.57,20.86
95211,0,0,0
95212,0,0,23.84
95215,35.97,15.31,74.17
95219,11.12,2.28,37.11
95220,0,0,0
95231,0,0,0
95236,0,0,0
95237,0,0,171.56
95240,12.47,4.55,28.86
95242,16.17,4.15,46
95258,0,0,155.17
95304,10.69,1.29,58.62
95320,15.69,1.71,65.3
95330,0,0,0
95336,11.07,3.54,27.78
95337,5.81,0.7,30.35
95366,0,0,30.3
95376,11.53,4.22,29.19
95377,6.01,0.71,57.11
95391,0,0,0
California,4.02,3.82,4.22
San Joaquin,9.41,7.28,12.07
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
