Santa Clara Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
93635,3,0.08,21.23
94022,0,0,54.98
94024,0,0,0
94035,0,0,0
94040,0,0,16.98
94041,0,0,0
94043,2.21,0.06,26.11
94085,0,0,45.9
94086,1.19,0.03,16.12
94087,0,0,11.78
94089,5.25,0.13,40.21
94301,4.36,0.11,43.99
94304,0,0,336.98
94305,0,0,171.59
94306,3.11,0.08,28.21
95002,0,0,357.56
95008,3.56,0.43,16.29
95013,0,0,0
95014,0,0,10.79
95020,1.64,0.04,13.3
95030,0,0,0
95032,0,0,29.76
95033,5.35,0.14,83.46
95035,5.39,1.45,17.63
95037,1.72,0.04,16.26
95046,0,0,0
95050,5.66,0.68,24.43
95051,0,0,9.84
95053,0,0,0
95054,0,0,40.88
95070,4.17,0.5,46.97
95110,5.61,0.14,57.27
95111,3.95,0.48,20.47
95112,2.82,0.31,16.01
95113,0,0,0
95116,4.4,0.53,17.89
95117,0,0,20.45
95118,3.13,0.08,19.26
95119,0,0,0
95120,0,0,0
95121,6.69,0.75,26.68
95122,4.31,0.52,21.67
95123,1.38,0.03,12.12
95124,5.26,0.58,20.78
95125,1.62,0.04,13.02
95126,7.61,0.89,35.4
95127,1.49,0.04,11.12
95128,3.55,0.09,23.25
95129,0,0,13.85
95130,0,0,34.28
95131,0,0,28.37
95132,0,0,13.15
95133,0,0,0
95134,0,0,211.89
95135,0,0,0
95136,2.2,0.06,17.93
95138,0,0,63.29
95139,0,0,0
95140,0,0,0
95141,0,0,0
95148,0,0,15.59
95192,0,0,0
California,4.02,3.82,4.22
Santa Clara,2,1.43,2.76
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
