Sierra Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
00033,0,0,0
00065,0,0,0
95910,0,0,0
95922,0,0,0
95936,0,0,0
95944,0,0,0
95960,0,0,0
96118,91.08,2.31,588.26
96124,0,0,0
96125,0,0,26756.33
96126,0,0,0
California,4.02,3.82,4.22
Sierra,59.7,65.07,318.03
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
