Solano Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
94510,4.29,0.11,26.97
94512,0,0,8918.78
94533,3.26,0.39,12.38
94534,8.94,1.8,27.99
94535,0,0,0
94571,0,0,0
94585,4.41,0.11,32.83
94589,2.29,0.06,19.59
94590,5.56,0.61,23.85
94591,0,0,9.32
94592,0,0,0
95616,4.06,0.1,25.19
95618,11.03,2.25,42.44
95620,10.56,1.28,45.97
95687,3.45,0.42,13.39
95688,8.84,1.77,27.85
95690,0,0,189.91
95694,0,0,59.64
California,4.02,3.82,4.22
Solano,4.38,2.54,7.12
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
