Zip Code,Death Rate
94501,1.49
94502,0
94536,0
94538,1.57
94539,0
94541,3.53
94542,0
94544,1.65
94545,0
94546,2.13
94550,1.63
94551,2.11
94552,0
94555,0
94560,6.09
94566,1.68
94568,0
94577,0
94578,2.13
94579,0
94580,6.17
94586,0
94587,1.45
94588,0
94601,1.37
94602,3.62
94603,0
94605,2.2
94606,0
94607,0
94608,0
94609,3.95
94610,0
94611,3.96
94612,6.94
94613,0
94618,5.44
94619,3.46
94621,0
94702,4.29
94703,3.39
94704,0
94705,0
94706,13.07
94707,0
94709,0
94710,0
94720,0
95377,6.01
95391,0
44,0
96120,0
95629,0
95640,0
95642,0
95665,60.76
95666,8.65
95669,0
95685,0
95689,0
95914,0
95916,0
95917,0
95926,0.92
95928,8.59
95938,0
95941,0
95942,0
95948,0
95954,0
95965,6.61
95966,11.28
95968,0
95969,15.24
95973,5.34
95222,0
95223,0
95228,0
95232,0
95245,0
95246,0
95247,16.21
95249,18.78
95251,195.54
95252,24
95255,0
95257,0
95423,44.24
95912,0
95932,0
95955,0
95970,0
95979,0
95987,0
94505,0
94506,0
94507,0
94509,5.97
94513,1.96
94514,0
94517,0
94518,0
94519,12.22
94520,3.09
94521,0
94523,3.66
94525,0
94526,6.85
94528,0
94530,0
94531,6.75
94547,0
94548,0
94549,0
94553,5.92
94556,0
94561,4.85
94563,0
94564,7.17
94565,2.07
94569,0
94572,10.33
94582,0
94583,0
94595,0
94596,0
94597,6.01
94598,0
94708,0
94801,11.02
94803,9.6
94804,4.85
94805,0
94806,0
49,0
95531,6.46
95543,0
95548,0
95567,0
51,0
52,0
95614,0
95619,0
95623,0
95633,0
95634,0
95635,0
95636,0
95651,0
95664,0
95667,5.1
95672,0
95682,0
95684,0
95709,36.43
95720,0
95721,0
95726,0
95735,0
95762,9.85
96150,4.23
17,0
93210,7.65
93234,0
93242,0
93602,0
93608,0
93609,0
93611,4.59
93612,9.46
93616,0
93619,3.84
93621,0
93622,0
93625,14.03
93627,0
93628,0
93630,0
93633,0
93640,0
93641,0
93648,0
93650,0
93651,0
93652,0
93654,0
93656,0
93657,5.66
93660,0
93662,8.25
93664,0
93667,0
93668,0
93675,45.8
93701,20.72
93702,2.72
93703,11.56
93704,5.22
93705,13.61
93706,0
93710,26.18
93711,16.07
93720,12.17
93721,0
93722,6.98
93723,10.67
93725,4.43
93726,6.34
93727,14.23
93728,17.6
93730,10.56
93741,0
95043,0
47,0
95920,0
95939,0
95943,0
95951,0
