Zip Code,Size AGI,Returns,Joint Returns,AGI,Unemployment Returns,Unemployment Amount,Taxable Income Returns,Taxable Income Amount
90001,1 under 25K,13145,2056,183062,1422,9850,4530,22269
90001,25K under 50K,5539,1944,191039,752,5992,5056,72767
90001,50K under 75K,1251,624,74868,174,1308,1244,41865
90001,75K under 100K,299,184,25416,52,393,297,15881
90001,100K under 200K,108,69,18062,0,0,107,13353
90001,200K or more,0,0,0,0,0,0,0
90002,1 under 25K,11581,1462,160209,1252,8346,3974,20446
90002,25K under 50K,5037,1486,174761,572,4731,4612,70377
90002,50K under 75K,1131,521,67920,150,1141,1126,37184
90002,75K under 100K,283,161,24023,36,286,283,15365
90002,100K under 200K,94,52,12022,0,0,94,8552
90002,200K or more,0,0,0,0,0,0,0
90003,1 under 25K,16671,2058,229882,1702,11179,5630,28820
90003,25K under 50K,6677,1961,228915,676,5734,6085,91122
90003,50K under 75K,1416,632,84239,167,1262,1407,46859
90003,75K under 100K,296,151,25056,48,503,294,15856
90003,100K under 200K,100,50,13516,0,0,99,9643
90003,200K or more,0,0,0,0,0,0,0
90004,1 under 25K,13964,2211,181382,1248,10120,5931,35403
90004,25K under 50K,6675,1854,233615,767,7144,6365,117805
90004,50K under 75K,2328,869,141143,241,2110,2287,92302
90004,75K under 100K,950,439,81668,128,1047,935,55769
90004,100K under 200K,1232,705,167849,135,1131,1214,114934
90004,200K or more,952,682,646064,44,368,949,497827
90005,1 under 25K,8425,1510,110878,612,4649,3271,18708
90005,25K under 50K,3752,1098,130405,327,2994,3583,65059
90005,50K under 75K,1070,393,64843,107,996,1051,42462
90005,75K under 100K,452,182,38866,48,411,446,27429
90005,100K under 200K,430,242,56856,63,556,423,39455
90005,200K or more,237,178,186204,0,0,235,148653
90006,1 under 25K,14470,2564,193055,1150,8167,5381,29121
90006,25K under 50K,5416,1802,183783,458,3890,5090,82409
90006,50K under 75K,1111,490,66282,103,765,1108,42228
90006,75K under 100K,320,154,27279,43,352,319,18245
90006,100K under 200K,221,137,28287,0,0,221,19607
90006,200K or more,40,29,16251,0,0,40,11739
90007,1 under 25K,8106,927,101241,702,4765,3291,19206
90007,25K under 50K,3206,788,110135,322,2508,3065,53601
90007,50K under 75K,840,334,50786,86,737,833,31909
90007,75K under 100K,225,126,19137,24,190,225,12804
90007,100K under 200K,135,90,17098,0,0,134,12420
90007,200K or more,27,0,7715,0,0,27,6254
90008,1 under 25K,7015,422,90818,826,6262,2767,16430
90008,25K under 50K,3869,512,140152,430,4524,3714,73705
90008,50K under 75K,1840,371,112544,135,1215,1808,67469
90008,75K under 100K,906,298,78452,72,652,904,49514
90008,100K under 200K,989,519,130920,103,1036,988,87432
90008,200K or more,234,159,71280,0,0,234,53514
90010,1 under 25K,838,136,9570,58,663,329,2127
90010,25K under 50K,422,117,15413,40,379,393,8024
90010,50K under 75K,243,73,15097,0,0,226,9191
90010,75K under 100K,221,52,19515,22,168,220,13334
90010,100K under 200K,222,111,30304,0,0,216,19742
90010,200K or more,228,134,167443,0,0,224,130479
90011,1 under 25K,24777,4124,350692,2177,14433,7694,37708
90011,25K under 50K,9135,3216,310164,962,7620,8123,111282
90011,50K under 75K,1625,817,96509,185,1384,1617,53952
90011,75K under 100K,363,221,30692,43,282,363,19319
90011,100K under 200K,132,93,20857,0,0,131,14594
90011,200K or more,0,0,0,0,0,0,0
90012,1 under 25K,4786,1089,60422,548,3816,1936,11963
90012,25K under 50K,2201,582,78664,270,2246,2114,43997
90012,50K under 75K,1104,242,67559,91,790,1099,48459
90012,75K under 100K,590,157,50961,54,545,587,38233
90012,100K under 200K,518,222,70150,47,369,515,53399
90012,200K or more,149,75,54184,0,0,148,43279
90013,1 under 25K,1766,90,20703,198,1637,838,5757
90013,25K under 50K,905,87,32697,97,906,892,20442
90013,50K under 75K,605,50,37029,49,386,603,26721
90013,75K under 100K,348,49,29940,33,241,348,22312
90013,100K under 200K,367,121,49302,32,216,363,37357
90013,200K or more,209,55,145160,0,0,209,131705
90014,1 under 25K,1610,127,18879,161,1291,710,4678
90014,25K under 50K,832,94,30233,96,843,810,18664
90014,50K under 75K,588,53,36506,53,392,584,23991
90014,75K under 100K,278,47,23688,21,156,278,17346
90014,100K under 200K,282,84,36234,37,309,281,27735
90014,200K or more,64,26,32743,0,0,62,26065
90015,1 under 25K,4181,550,54514,371,2756,1565,8605
90015,25K under 50K,1671,396,57847,174,1537,1573,27789
90015,50K under 75K,549,145,33348,57,383,545,21673
90015,75K under 100K,340,80,29283,31,280,340,20923
90015,100K under 200K,426,146,58411,41,290,426,43093
90015,200K or more,202,97,103690,0,0,202,83048
90016,1 under 25K,10775,1336,146887,1242,9727,4581,26891
90016,25K under 50K,6426,1546,228839,666,6356,6069,107377
90016,50K under 75K,2308,740,139539,204,1738,2284,83344
90016,75K under 100K,990,436,84472,93,910,989,54290
90016,100K under 200K,712,433,91581,78,644,712,63425
90016,200K or more,95,62,28984,0,0,95,22189
90017,1 under 25K,4669,630,60337,374,2787,1726,9684
90017,25K under 50K,1697,414,58389,163,1564,1589,29464
90017,50K under 75K,633,131,38353,40,370,625,26948
90017,75K under 100K,300,59,25885,26,168,298,19025
90017,100K under 200K,372,137,50605,32,225,368,38297
90017,200K or more,210,120,131889,0,0,207,101230
90018,1 under 25K,11786,1480,157216,1204,8867,4720,26982
90018,25K under 50K,5884,1397,207499,639,5859,5559,98297
90018,50K under 75K,1794,633,107793,182,1517,1771,63802
90018,75K under 100K,663,310,56322,64,478,661,35748
90018,100K under 200K,428,263,56024,48,451,425,38671
90018,200K or more,66,47,19157,0,0,66,14400
90019,1 under 25K,13721,2025,178997,1354,11058,5706,33431
90019,25K under 50K,7642,1867,272593,906,8526,7213,138435
90019,50K under 75K,3073,869,186398,310,2725,3040,122057
90019,75K under 100K,1366,495,117697,173,1365,1355,80424
90019,100K under 200K,1497,839,200964,229,1905,1494,141813
90019,200K or more,489,318,197536,67,520,485,150209
90020,1 under 25K,8573,1617,109845,668,5377,3617,22010
90020,25K under 50K,4493,1368,159238,420,4044,4327,83724
90020,50K under 75K,1498,579,90770,123,1260,1484,60775
90020,75K under 100K,840,283,74109,47,369,830,56306
90020,100K under 200K,436,239,56319,43,324,432,40296
90020,200K or more,300,234,401671,0,0,296,288747
90021,1 under 25K,700,61,9281,64,621,313,2044
90021,25K under 50K,319,50,11095,38,307,303,5960
90021,50K under 75K,112,31,6746,25,214,108,4394
90021,75K under 100K,62,0,5251,0,0,61,3661
90021,100K under 200K,87,28,12005,0,0,85,8837
90021,200K or more,56,28,43890,0,0,56,37035
90022,1 under 25K,14975,2724,208901,1796,12787,5522,28991
90022,25K under 50K,7597,2642,264714,1006,8446,6904,108658
90022,50K under 75K,2268,1168,136702,286,2391,2258,78364
90022,75K under 100K,669,420,56569,78,563,667,35659
90022,100K under 200K,287,230,34804,30,261,286,24333
90022,200K or more,29,0,25738,0,0,29,18730
90023,1 under 25K,11015,1910,159569,1059,7562,4282,23710
90023,25K under 50K,4953,1761,169389,567,4603,4430,65909
90023,50K under 75K,1243,637,74383,165,1325,1238,43043
90023,75K under 100K,285,184,24077,48,305,285,15680
90023,100K under 200K,149,103,28221,0,0,149,21110
90023,200K or more,0,0,0,0,0,0,0
90024,1 under 25K,4672,346,50101,291,3177,2181,14677
90024,25K under 50K,2594,366,95066,231,2615,2416,55912
90024,50K under 75K,1739,375,107397,143,1497,1671,70998
90024,75K under 100K,1228,389,106612,81,732,1198,72443
90024,100K under 200K,2293,1083,321515,146,1475,2243,223770
90024,200K or more,2637,1708,3266771,71,661,2610,2637757
90025,1 under 25K,8497,804,116449,681,7235,4694,38737
90025,25K under 50K,5847,851,213483,676,7119,5564,128675
90025,50K under 75K,3712,735,228577,349,3428,3648,161734
90025,75K under 100K,2206,660,190684,207,1762,2183,138211
90025,100K under 200K,3309,1573,453790,301,2478,3279,331175
90025,200K or more,1997,1326,1943461,113,935,1985,1533255
90026,1 under 25K,14935,1968,195318,1850,15468,6750,41368
90026,25K under 50K,8293,1867,294716,1186,10258,7967,159096
90026,50K under 75K,3436,982,209273,486,3873,3414,141185
90026,75K under 100K,1491,545,127814,210,1651,1488,89872
90026,100K under 200K,1589,776,210419,278,2029,1588,153003
90026,200K or more,398,233,130746,44,351,398,102576
90027,1 under 25K,10028,1352,123376,1170,10845,4791,31977
