Zip Code,Tax Returns,AGI thousands
90001,20342.00,492447.00
90002,18126.00,438935.00
90003,25160.00,581608.00
90004,26101.00,1451721.00
90005,14366.00,588052.00
90006,21578.00,514937.00
90007,12539.00,306112.00
90008,14853.00,624166.00
90010,2174.00,257342.00
90011,36032.00,808914.00
90012,9348.00,381940.00
90013,4200.00,314831.00
90014,3654.00,178283.00
90015,7369.00,337093.00
90016,21306.00,720302.00
90017,7881.00,365458.00
90018,20621.00,604011.00
90019,27788.00,1154185.00
90020,16140.00,891952.00
90021,1336.00,88268.00
90022,25825.00,727428.00
90023,17645.00,455639.00
90024,15163.00,3947462.00
90025,25568.00,3146444.00
90026,30142.00,1168286.00
90027,23657.00,1402853.00
90028,14186.00,503327.00
90029,16709.00,498110.00
90031,15508.00,470287.00
90032,18500.00,640954.00
90033,16153.00,424024.00
90034,29234.00,1573712.00
90035,13829.00,1098760.00
90036,19013.00,1669785.00
90037,22940.00,537099.00
90038,12677.00,410077.00
90039,14843.00,865757.00
90040,5183.00,183399.00
90041,12628.00,688828.00
90042,25942.00,1014290.00
90043,20679.00,838678.00
90044,34234.00,870076.00
90045,17956.00,1502726.00
90046,27242.00,2014026.00
90047,22959.00,778186.00
90048,12996.00,1196303.00
90049,18491.00,5181988.00
90056,4669.00,375920.00
90057,13691.00,341463.00
90058,1379.00,71128.00
90059,15329.00,382055.00
90061,10876.00,289247.00
90062,13241.00,363155.00
90063,19880.00,544174.00
90064,13933.00,2116991.00
90065,20377.00,947590.00
90066,27926.00,1857844.00
90067,3123.00,2446768.00
90068,12175.00,1197512.00
90069,14201.00,1941256.00
90077,4072.00,1416035.00
90094,2771.00,313626.00
90201,35658.00,951994.00
90210,9739.00,5294682.00
90211,5244.00,708776.00
90212,7717.00,2786867.00
90220,20696.00,662331.00
90221,20918.00,561403.00
90222,12402.00,333503.00
90230,15400.00,1042021.00
90232,8243.00,1161570.00
90240,11061.00,601966.00
90241,18904.00,872586.00
90242,17767.00,726095.00
90245,9463.00,884649.00
90247,21452.00,796540.00
90248,5090.00,319903.00
90249,12912.00,540072.00
90250,40881.00,1557785.00
90254,10884.00,1363328.00
90255,29354.00,804876.00
90260,14882.00,560939.00
90262,26033.00,736430.00
90265,7327.00,1794223.00
90266,17001.00,3931021.00
90270,10280.00,271040.00
90272,10531.00,3680882.00
90274,12423.00,3334323.00
90275,18784.00,2601799.00
90277,19341.00,1920926.00
90278,19602.00,1658246.00
90280,37970.00,1162081.00
90290,2971.00,410602.00
90291,14875.00,1225278.00
90292,12655.00,1399629.00
90293,6962.00,670836.00
90301,15676.00,485441.00
90302,13333.00,486287.00
90303,10924.00,349247.00
90304,11281.00,299743.00
90305,8147.00,381380.00
90401,3995.00,735292.00
90402,5541.00,1869235.00
90403,14085.00,1503300.00
90404,11041.00,944501.00
90405,15074.00,1549529.00
90501,18961.00,1009763.00
90502,8311.00,422276.00
90503,20351.00,1490176.00
90504,15480.00,888083.00
90505,17165.00,1361194.00
90601,13975.00,779689.00
90602,9980.00,447213.00
90603,9021.00,621403.00
90604,16624.00,782935.00
90605,17128.00,835793.00
90606,13724.00,537548.00
90620,20432.00,1019363.00
90621,14403.00,619992.00
90623,7092.00,472545.00
90630,22555.00,1485267.00
90631,29318.00,1651171.00
90638,20724.00,1199805.00
90640,26970.00,1079631.00
90650,43208.00,1673809.00
90660,26987.00,1008155.00
90670,6983.00,367087.00
90680,12567.00,465342.00
90701,7066.00,294666.00
90703,23446.00,1667468.00
90706,31444.00,1245189.00
90710,11239.00,538616.00
90712,14686.00,898169.00
90713,13182.00,831144.00
90715,8779.00,389176.00
90716,5790.00,161530.00
90717,9978.00,520028.00
90720,10480.00,952636.00
90723,21612.00,693931.00
90731,24462.00,1146532.00
90732,9973.00,749749.00
90740,13102.00,1004705.00
90744,20737.00,666795.00
90745,25835.00,1151189.00
90746,13042.00,663499.00
90755,5340.00,334409.00
90802,19039.00,865170.00
90803,17715.00,1722520.00
90804,17122.00,614354.00
90805,37711.00,1229720.00
90806,17456.00,604359.00
90807,15943.00,1079826.00
90808,18765.00,1371424.00
90810,15629.00,570183.00
90813,20291.00,503482.00
90814,9806.00,622431.00
90815,18519.00,1354043.00
91001,17061.00,1314269.00
91006,14519.00,1359703.00
91007,14118.00,1037778.00
91008,545.00,113798.00
91010,11484.00,548276.00
91011,9218.00,2086302.00
91016,18274.00,1103314.00
91020,3457.00,191202.00
91024,5310.00,540719.00
91030,11946.00,1193420.00
91040,9444.00,579776.00
91042,11961.00,595366.00
91101,9755.00,704001.00
91103,11617.00,761206.00
91104,16206.00,963944.00
91105,6238.00,1105170.00
91106,11615.00,1277880.00
91107,15917.00,1438149.00
91108,6281.00,1443323.00
91201,10162.00,487591.00
91202,10330.00,682107.00
91203,6574.00,357460.00
91204,6621.00,234595.00
91205,15840.00,574642.00
91206,14644.00,891978.00
91207,4856.00,499178.00
91208,7551.00,731680.00
91210,187.00,23612.00
91214,13490.00,1033094.00
91301,12207.00,1289363.00
91302,11643.00,2696358.00
91303,11421.00,414343.00
91304,21334.00,1130725.00
91306,19697.00,850291.00
91307,11233.00,954981.00
91311,17422.00,1344084.00
91316,13499.00,1639302.00
91320,20235.00,1826884.00
91321,14437.00,809952.00
91324,12126.00,727352.00
91325,14257.00,858425.00
91326,15113.00,1351157.00
91331,39358.00,1193295.00
91335,31576.00,1225998.00
91340,13586.00,445440.00
91342,37681.00,1569934.00
91343,23547.00,1015546.00
91344,23529.00,1551473.00
91345,8050.00,340070.00
91350,14655.00,1054878.00
91351,14602.00,753666.00
91352,19422.00,730804.00
91354,12030.00,1055398.00
91355,14888.00,1219953.00
91356,13554.00,1425406.00
91360,19571.00,1445520.00
91361,10036.00,1517036.00
91362,17414.00,2232012.00
91364,12858.00,1696144.00
91367,19424.00,1693245.00
91377,6533.00,685633.00
91381,7980.00,884990.00
91384,9652.00,680511.00
91387,17410.00,1213595.00
91390,8107.00,672191.00
91401,17651.00,865065.00
91402,25447.00,777965.00
91403,13298.00,1701461.00
91405,20668.00,669765.00
91406,22311.00,956830.00
91411,10202.00,456002.00
91423,16747.00,1548949.00
91436,8885.00,3284814.00
91501,9541.00,567902.00
91502,5338.00,230552.00
91504,12078.00,813970.00
91505,16343.00,1135836.00
91506,9450.00,586423.00
91601,18191.00,747696.00
91602,10608.00,762044.00
91604,15617.00,1608307.00
91605,22660.00,736334.00
91606,19104.00,652571.00
91607,14324.00,835136.00
91701,18253.00,1139206.00
91702,23595.00,902671.00
91706,31128.00,1011768.00
91708,2861.00,183668.00
91709,32354.00,2462137.00
91710,30916.00,1506983.00
91711,15344.00,1340001.00
91722,15940.00,707828.00
91723,8038.00,366269.00
91724,11650.00,703898.00
91730,28320.00,1399888.00
91731,11439.00,370462.00
91732,23846.00,730227.00
91733,17040.00,495054.00
91737,10776.00,861806.00
91739,14030.00,1068628.00
91740,11594.00,643317.00
91741,11886.00,993491.00
91744,34105.00,1124988.00
91745,24314.00,1378667.00
91746,12631.00,439528.00
91748,20437.00,1009025.00
91750,15703.00,1103741.00
91752,11881.00,524433.00
91754,16498.00,815335.00
91755,12421.00,507980.00
91761,24253.00,1037310.00
91762,24018.00,872806.00
91763,15225.00,536023.00
91764,21627.00,730262.00
91765,21579.00,1632902.00
91766,26635.00,936109.00
91767,19022.00,687123.00
91768,12399.00,435751.00
91770,27139.00,1061481.00
91773,15899.00,1058428.00
91775,10667.00,713469.00
91776,17564.00,630854.00
91780,16137.00,829085.00
91784,12154.00,1085392.00
91786,21900.00,971703.00
91789,19623.00,1386154.00
91790,19089.00,867328.00
91791,14323.00,876342.00
91792,13333.00,612499.00
91801,23876.00,1054172.00
91803,13812.00,582988.00
91901,6754.00,526905.00
91902,8400.00,615917.00
91905,591.00,26259.00
91906,1292.00,61149.00
91910,33998.00,1611709.00
91911,36723.00,1416028.00
91913,16555.00,1071095.00
91914,6159.00,554129.00
91915,10029.00,705799.00
91916,869.00,55888.00
91917,389.00,15219.00
91932,11440.00,430955.00
91934,272.00,8584.00
91935,4067.00,336891.00
91941,14841.00,1010425.00
91942,18295.00,904339.00
91945,11139.00,464306.00
91950,23331.00,741939.00
91962,898.00,57242.00
91963,542.00,17096.00
91977,25088.00,1102758.00
91978,4157.00,208488.00
91980,980.00,23523.00
92003,2574.00,179246.00
92004,1399.00,61672.00
92007,5864.00,573775.00
92008,13511.00,995461.00
92009,18560.00,2095139.00
92010,6737.00,495599.00
92011,10232.00,1084381.00
92014,7291.00,1374584.00
92019,18847.00,1231675.00
92020,23107.00,1117501.00
92021,27636.00,1245759.00
92024,23923.00,2477506.00
92025,18640.00,957102.00
92026,21309.00,1170914.00
92027,22364.00,1041233.00
92028,19500.00,1180168.00
92029,8584.00,705356.00
92036,1582.00,81492.00
92037,18408.00,3353974.00
92040,18434.00,998413.00
92054,17664.00,792961.00
92056,24542.00,1315334.00
92057,24173.00,1256692.00
92058,15259.00,590724.00
92059,739.00,80031.00
92061,1334.00,103731.00
92064,21371.00,2050869.00
