Zip Code,Returns,AIG,,
90001,"20,342","492,447",,
90001,13145,183062,,
90001,5539,191039,,
90001,1251,74868,,
90001,299,25416,,
90001,108,18062,,
90001,**,**,,
90002,"18,126","438,935",,
90002,11581,160209,,
90002,5037,174761,,
90002,1131,67920,,
90002,283,24023,,
90002,94,12022,,
90002,**,**,,
90003,"25,160","581,608",,
90003,16671,229882,,
90003,6677,228915,,
90003,1416,84239,,
90003,296,25056,,
90003,100,13516,,
90003,**,**,,
90004,"26,101","1,451,721",,
90004,13964,181382,,
90004,6675,233615,,
90004,2328,141143,,
90004,950,81668,,
90004,1232,167849,,
90004,952,646064,,
90005,"14,366","588,052",,
90005,8425,110878,,
90005,3752,130405,,
90005,1070,64843,,
90005,452,38866,,
90005,430,56856,,
90005,237,186204,,
90006,"21,578","514,937",,
90006,14470,193055,,
90006,5416,183783,,
90006,1111,66282,,
90006,320,27279,,
90006,221,28287,,
90006,40,16251,,
90007,"12,539","306,112",,
90007,8106,101241,,
90007,3206,110135,,
90007,840,50786,,
90007,225,19137,,
90007,135,17098,,
90007,27,7715,,
90008,"14,853","624,166",,
90008,7015,90818,,
90008,3869,140152,,
90008,1840,112544,,
90008,906,78452,,
90008,989,130920,,
90008,234,71280,,
90010,"2,174","257,342",,
90010,838,9570,,
90010,422,15413,,
90010,243,15097,,
90010,221,19515,,
90010,222,30304,,
90010,228,167443,,
90011,"36,032","808,914",,
90011,24777,350692,,
90011,9135,310164,,
90011,1625,96509,,
90011,363,30692,,
90011,132,20857,,
90011,**,**,,
90012,"9,348","381,940",,
90012,4786,60422,,
90012,2201,78664,,
90012,1104,67559,,
90012,590,50961,,
90012,518,70150,,
90012,149,54184,,
90013,"4,200","314,831",,
90013,1766,20703,,
90013,905,32697,,
90013,605,37029,,
90013,348,29940,,
90013,367,49302,,
90013,209,145160,,
90014,"3,654","178,283",,
90014,1610,18879,,
90014,832,30233,,
90014,588,36506,,
90014,278,23688,,
90014,282,36234,,
90014,64,32743,,
90015,"7,369","337,093",,
90015,4181,54514,,
90015,1671,57847,,
90015,549,33348,,
90015,340,29283,,
90015,426,58411,,
90015,202,103690,,
90016,"21,306","720,302",,
90016,10775,146887,,
90016,6426,228839,,
90016,2308,139539,,
90016,990,84472,,
90016,712,91581,,
90016,95,28984,,
90017,"7,881","365,458",,
90017,4669,60337,,
90017,1697,58389,,
90017,633,38353,,
90017,300,25885,,
90017,372,50605,,
90017,210,131889,,
90018,"20,621","604,011",,
90018,11786,157216,,
90018,5884,207499,,
90018,1794,107793,,
90018,663,56322,,
90018,428,56024,,
90018,66,19157,,
90019,"27,788","1,154,185",,
90019,13721,178997,,
90019,7642,272593,,
90019,3073,186398,,
90019,1366,117697,,
90019,1497,200964,,
90019,489,197536,,
90020,"16,140","891,952",,
90020,8573,109845,,
90020,4493,159238,,
90020,1498,90770,,
90020,840,74109,,
90020,436,56319,,
90020,300,401671,,
90021,"1,336","88,268",,
90021,700,9281,,
90021,319,11095,,
90021,112,6746,,
90021,62,5251,,
90021,87,12005,,
90021,56,43890,,
90022,"25,825","727,428",,
90022,14975,208901,,
90022,7597,264714,,
90022,2268,136702,,
90022,669,56569,,
90022,287,34804,,
90022,29,25738,,
90023,"17,645","455,639",,
90023,11015,159569,,
90023,4953,169389,,
90023,1243,74383,,
90023,285,24077,,
90023,149,28221,,
90023,**,**,,
90024,"15,163","3,947,462",,
90024,4672,50101,,
90024,2594,95066,,
90024,1739,107397,,
90024,1228,106612,,
90024,2293,321515,,
90024,2637,3266771,,
90025,"25,568","3,146,444",,
90025,8497,116449,,
90025,5847,213483,,
90025,3712,228577,,
90025,2206,190684,,
90025,3309,453790,,
90025,1997,1943461,,
90026,"30,142","1,168,286",,
90026,14935,195318,,
90026,8293,294716,,
90026,3436,209273,,
90026,1491,127814,,
90026,1589,210419,,
90026,398,130746,,
90027,"23,657","1,402,853",,
90027,10028,123376,,
90027,6130,222423,,
90027,3134,191511,,
90027,1572,135454,,
90027,1803,246769,,
90027,990,483320,,
90028,"14,186","503,327",,
90028,7667,96035,,
90028,3925,139117,,
90028,1369,83202,,
90028,568,48671,,
90028,502,66018,,
90028,155,70284,,
90029,"16,709","498,110",,
90029,9821,131328,,
90029,4550,158661,,
90029,1351,81543,,
90029,501,42773,,
90029,403,52764,,
90029,83,31041,,
90031,"15,508","470,287",,
90031,8839,118505,,
90031,4251,148705,,
90031,1484,90081,,
90031,475,40654,,
90031,414,52666,,
90031,45,19676,,
90032,"18,500","640,954",,
90032,9253,123433,,
90032,5254,187022,,
90032,2280,138466,,
90032,948,81573,,
90032,715,90762,,
90032,50,19698,,
90033,"16,153","424,024",,
90033,10330,143498,,
90033,4258,147866,,
90033,1062,63500,,
90033,319,27232,,
90033,184,41928,,
90033,**,**,,
90034,"29,234","1,573,712",,
90034,11224,144864,,
90034,8394,306056,,
90034,4387,268815,,
90034,2106,180533,,
90034,2297,308188,,
90034,826,365256,,
90035,"13,829","1,098,760",,
90035,4627,55024,,
90035,3186,116230,,
90035,2002,122977,,
90035,1227,105848,,
90035,1798,249064,,
90035,989,449617,,
90036,"19,013","1,669,785",,
90036,5853,72082,,
90036,4642,170485,,
90036,3015,185219,,
90036,1842,160041,,
90036,2526,344641,,
90036,1135,737317,,
90037,"22,940","537,099",,
90037,15191,205561,,
90037,5955,204073,,
90037,1333,79056,,
90037,328,27750,,
90037,133,20659,,
90037,**,**,,
90038,"12,677","410,077",,
90038,7175,95458,,
90038,3574,124601,,
90038,1050,63380,,
90038,410,35489,,
90038,363,47716,,
90038,105,43433,,
90039,"14,843","865,757",,
90039,5531,72755,,
90039,3810,138801,,
90039,2132,130174,,
90039,1288,110954,,
90039,1572,213387,,
90039,510,199686,,
90040,"5,183","183,399",,
90040,2566,35272,,
90040,1623,57733,,
90040,595,35657,,
90040,235,20082,,
90040,129,16481,,
90040,35,18174,,
90041,"12,628","688,828",,
90041,4526,56090,,
90041,3302,120295,,
90041,1860,114170,,
90041,1142,98312,,
90041,1521,206216,,
90041,277,93745,,
90042,"25,942","1,014,290",,
90042,12142,160977,,
90042,7189,255789,,
90042,3219,196589,,
90042,1654,142080,,
90042,1552,203299,,
90042,186,55556,,
90043,"20,679","838,678",,
90043,9553,126093,,
90043,5676,204675,,
90043,2656,161473,,
90043,1255,107714,,
90043,1295,170521,,
90043,244,68202,,
90044,"34,234","870,076",,
90044,21493,293126,,
90044,9244,321512,,
90044,2440,145993,,
90044,696,59199,,
90044,340,42234,,
90044,21,8012,,
90045,"17,956","1,502,726",,
90045,5126,61224,,
90045,3612,133158,,
90045,2744,169680,,
90045,1866,161710,,
90045,3306,459184,,
90045,1302,517770,,
90046,"27,242","2,014,026",,
90046,9662,119825,,
90046,6996,255374,,
90046,4045,247736,,
90046,2195,188963,,
90046,2746,373933,,
90046,1598,828195,,
90047,"22,959","778,186",,
90047,11354,151159,,
90047,6704,241221,,
90047,2985,181662,,
90047,1126,96543,,
90047,742,93932,,
90047,48,13669,,
90048,"12,996","1,196,303",,
90048,3974,48980,,
90048,2947,108272,,
90048,1925,118532,,
90048,1215,105087,,
90048,1838,255070,,
90048,1097,560362,,
90049,"18,491","5,181,988",,
90049,4496,49439,,
90049,2988,110637,,
90049,2238,138606,,
90049,1620,139915,,
90049,3088,435846,,
90049,4061,4307545,,
90056,"4,669","375,920",,
90056,1370,16612,,
90056,952,34860,,
90056,742,45668,,
90056,472,40593,,
90056,797,109674,,
90056,336,128513,,
90057,"13,691","341,463",,
90057,8934,118068,,
90057,3423,117932,,
90057,841,50218,,
90057,294,25021,,
90057,175,22886,,
90057,24,7338,,
90058,"1,379","71,128",,
90058,915,12210,,
90058,288,9858,,
90058,67,4121,,
90058,38,3307,,
90058,32,4223,,
90058,39,37409,,
90059,"15,329","382,055",,
90059,9726,132265,,
90059,4081,142435,,
90059,1106,66386,,
90059,290,24681,,
90059,126,16288,,
90059,**,**,,
90061,"10,876","289,247",,
90061,6706,93730,,
90061,2955,102924,,
90061,830,49288,,
90061,253,21431,,
90061,132,21874,,
90061,**,**,,
90062,"13,241","363,155",,
90062,7634,103712,,
90062,3905,137515,,
90062,1192,71518,,
90062,356,30166,,
90062,154,20244,,
90062,**,**,,
90063,"19,880","544,174",,
90063,11635,164503,,
90063,5837,203443,,
90063,1717,102754,,
90063,501,42346,,
90063,190,31128,,
90063,**,**,,
90064,"13,933","2,116,991",,
90064,4029,46143,,
90064,2582,94572,,
90064,1818,112280,,
90064,1172,101754,,
90064,2313,325475,,
90064,2019,1436767,,
90065,"20,377","947,590",,
90065,8987,119955,,
90065,5330,189825,,
90065,2505,153229,,
90065,1365,117677,,
90065,1793,241038,,
90065,397,125866,,
90066,"27,926","1,857,844",,
90066,10018,124887,,
90066,6707,244148,,
90066,3875,238949,,
90066,2423,208715,,
90066,3444,474291,,
90066,1459,566854,,
90067,"3,123","2,446,768",,
90067,642,6388,,
90067,370,13604,,
90067,241,15217,,
90067,206,18006,,
90067,557,80081,,
90067,1107,2313472,,
90068,"12,175","1,197,512",,
90068,3700,44547,,
90068,2669,97960,,
90068,1654,101675,,
90068,1137,99091,,
90068,1794,249216,,
90068,1221,605023,,
90069,"14,201","1,941,256",,
90069,4127,49894,,
90069,3059,113992,,
90069,2160,132965,,
90069,1429,123437,,
90069,2085,285770,,
90069,1341,1235198,,
90077,"4,072","1,416,035",,
90077,990,9774,,
90077,484,17725,,
90077,336,20877,,
90077,282,24688,,
90077,721,104992,,
90077,1259,1237979,,
90094,"2,771","313,626",,
90094,538,6654,,
90094,477,17703,,
90094,377,23598,,
90094,338,29273,,
90094,666,94968,,
90094,375,141430,,
90201,"35,658","951,994",,
90201,21013,299934,,
90201,10724,373542,,
90201,2869,171548,,
90201,718,60869,,
90201,308,37065,,
90201,26,9036,,
90210,"9,739","5,294,682",,
90210,2559,26223,,
90210,1380,50750,,
90210,829,50983,,
90210,647,56340,,
90210,1393,200141,,
90210,2931,4910245,,
90211,"5,244","708,776",,
90211,1745,19604,,
90211,1062,39084,,
90211,678,41675,,
90211,456,39618,,
90211,704,97220,,
90211,599,471575,,
90212,"7,717","2,786,867",,
90212,2293,24445,,
90212,1302,47750,,
90212,943,58713,,
90212,644,55622,,
90212,1084,152443,,
90212,1451,2447894,,
90220,"20,696","662,331",,
90220,11271,155287,,
90220,6010,214660,,
90220,2197,132544,,
90220,741,63176,,
90220,441,54694,,
90220,36,41970,,
90221,"20,918","561,403",,
90221,12534,174094,,
90221,5964,208577,,
90221,1669,100337,,
90221,495,42041,,
90221,256,36354,,
90221,**,**,,
90222,"12,402","333,503",,
90222,7386,101705,,
90222,3510,123369,,
90222,1035,61894,,
90222,333,28478,,
90222,138,18057,,
90222,**,**,,
90230,"15,400","1,042,021",,
90230,4983,61445,,
90230,3346,121795,,
90230,2471,153381,,
90230,1529,132118,,
90230,2419,328731,,
90230,652,244551,,
90232,"8,243","1,161,570",,
90232,2707,33503,,
90232,1997,72587,,
90232,1230,75847,,
90232,776,67123,,
90232,1104,151803,,
90232,429,760707,,
90240,"11,061","601,966",,
90240,4363,56579,,
90240,2654,95714,,
90240,1581,97675,,
90240,945,81848,,
90240,1257,168184,,
90240,261,101966,,
90241,"18,904","872,586",,
90241,8024,107010,,
90241,5147,186540,,
90241,2628,160824,,
90241,1379,118608,,
90241,1499,198001,,
90241,227,101603,,
90242,"17,767","726,095",,
90242,7697,103378,,
90242,5044,181614,,
90242,2536,154776,,
90242,1288,110879,,
90242,1113,143172,,
90242,89,32276,,
90245,"9,463","884,649",,
90245,2449,28572,,
90245,1778,66309,,
90245,1563,96978,,
90245,1185,102778,,
90245,1788,248125,,
90245,700,341887,,
90247,"21,452","796,540",,
90247,9897,136712,,
90247,6387,229182,,
90247,2834,172354,,
90247,1280,109418,,
90247,973,124502,,
90247,81,24372,,
90248,"5,090","319,903",,
90248,2003,26887,,
90248,1356,48649,,
90248,726,44443,,
90248,424,36554,,
90248,452,59604,,
90248,129,103766,,
90249,"12,912","540,072",,
90249,5697,75504,,
90249,3399,123338,,
90249,1773,108840,,
90249,985,85060,,
90249,983,126507,,
90249,75,20823,,
90250,"40,881","1,557,785",,
90250,18824,259484,,
90250,12571,447545,,
90250,4938,300656,,
90250,2198,188603,,
90250,2073,272481,,
90250,277,89016,,
90254,"10,884","1,363,328",,
90254,2325,27767,,
90254,1975,74005,,
90254,1772,110475,,
90254,1262,109500,,
90254,2150,299784,,
90254,1400,741797,,
90255,"29,354","804,876",,
90255,17439,249259,,
90255,8554,296345,,
90255,2285,136916,,
90255,739,62834,,
90255,306,37309,,
90255,31,22213,,
90260,"14,882","560,939",,
90260,6983,94445,,
90260,4391,157116,,
90260,1846,111824,,
90260,859,73544,,
90260,745,95686,,
90260,58,28324,,
90262,"26,033","736,430",,
90262,14760,207272,,
90262,7738,270667,,
90262,2373,143188,,
90262,808,68690,,
90262,354,46613,,
90262,**,**,,
90265,"7,327","1,794,223",,
90265,2230,23371,,
90265,1139,41691,,
90265,760,46860,,
90265,578,50323,,
90265,1177,169021,,
90265,1443,1462957,,
90266,"17,001","3,931,021",,
90266,3765,39057,,
90266,2218,82911,,
90266,1933,119695,,
90266,1467,127470,,
90266,3446,493273,,
90266,4172,3068615,,
90270,"10,280","271,040",,
90270,6074,88554,,
90270,3123,108226,,
90270,811,48463,,
90270,196,16524,,
90270,76,9273,,
90270,**,**,,
90272,"10,531","3,680,882",,
90272,2620,25201,,
90272,1204,44304,,
90272,912,56550,,
90272,781,67867,,
90272,1845,264163,,
90272,3169,3222797,,
90274,"12,423","3,334,323",,
90274,2910,28895,,
90274,1379,50780,,
90274,1147,71125,,
90274,957,83547,,
90274,2590,372439,,
90274,3440,2727537,,
90275,"18,784","2,601,799",,
90275,4457,46684,,
90275,2496,92352,,
90275,2152,134205,,
90275,1843,160502,,
90275,4534,650546,,
90275,3302,1517510,,
90277,"19,341","1,920,926",,
90277,4731,56642,,
90277,3502,130148,,
90277,3186,198082,,
90277,2251,194784,,
90277,3785,526738,,
90277,1886,814532,,
90278,"19,602","1,658,246",,
90278,4979,61015,,
90278,3659,135793,,
90278,2833,175875,,
90278,2233,193392,,
90278,4292,601548,,
90278,1606,490623,,
90280,"37,970","1,162,081",,
90280,20333,284184,,
90280,11560,408784,,
90280,3985,241064,,
90280,1374,117234,,
90280,678,82908,,
90280,40,27907,,
90290,"2,971","410,602",,
90290,971,10758,,
90290,471,17385,,
90290,358,21978,,
90290,269,23361,,
90290,527,73556,,
90290,375,263564,,
90291,"14,875","1,225,278",,
90291,4989,62940,,
90291,3404,124514,,
90291,2084,128090,,
90291,1325,114815,,
90291,1970,270273,,
90291,1103,524646,,
90292,"12,655","1,399,629",,
90292,2923,35228,,
90292,2268,84664,,
90292,1981,123207,,
90292,1550,134010,,
90292,2609,360950,,
90292,1324,661570,,
90293,"6,962","670,836",,
90293,1491,18744,,
90293,1423,52999,,
90293,1307,81158,,
90293,864,74502,,
90293,1335,180700,,
90293,542,262733,,
90301,"15,676","485,441",,
90301,8064,111099,,
90301,5094,181440,,
90301,1681,100957,,
90301,498,42386,,
90301,316,39754,,
90301,23,9805,,
90302,"13,333","486,287",,
90302,6404,86078,,
90302,4110,147439,,
90302,1726,104175,,
90302,582,49782,,
90302,456,59429,,
90302,55,39384,,
90303,"10,924","349,247",,
90303,5661,78744,,
90303,3317,117201,,
90303,1165,70430,,
90303,471,40378,,
90303,286,36120,,
90303,24,6374,,
90304,"11,281","299,743",,
90304,6788,96012,,
90304,3291,114831,,
90304,814,48377,,
90304,261,22298,,
90304,127,18225,,
90304,**,**,,
90305,"8,147","381,380",,
90305,3106,39453,,
90305,2045,75410,,
90305,1395,85410,,
90305,779,66741,,
90305,772,100630,,
90305,50,13736,,
90401,"3,995","735,292",,
90401,1223,14477,,
90401,840,31261,,
90401,613,37731,,
90401,357,30718,,
90401,575,80399,,
90401,387,540706,,
90402,"5,541","1,869,235",,
90402,1450,14654,,
90402,722,26742,,
90402,518,32135,,
90402,377,32675,,
90402,831,118488,,
90402,1643,1644541,,
90403,"14,085","1,503,300",,
90403,3719,44338,,
90403,2815,104721,,
90403,2156,133349,,
90403,1555,134543,,
90403,2423,334905,,
90403,1417,751444,,
90404,"11,041","944,501",,
90404,4036,49826,,
90404,2735,99732,,
90404,1617,99207,,
90404,911,78779,,
90404,1218,166095,,
90404,524,450862,,
90405,"15,074","1,549,529",,
90405,4546,53922,,
90405,3099,113845,,
90405,2135,131145,,
90405,1441,124443,,
90405,2338,323675,,
90405,1515,802499,,
90501,"18,961","1,009,763",,
90501,7440,97996,,
90501,4794,172329,,
90501,2543,156142,,
90501,1603,138743,,
90501,2136,286120,,
90501,445,158433,,
90502,"8,311","422,276",,
90502,3049,38637,,
90502,2114,77328,,
90502,1331,81930,,
90502,789,68336,,
90502,941,122276,,
90502,87,33769,,
90503,"20,351","1,490,176",,
90503,5760,68965,,
90503,4082,150828,,
90503,3131,193331,,
90503,2317,201135,,
90503,3989,549997,,
90503,1072,325920,,
90504,"15,480","888,083",,
90504,5321,65611,,
90504,3421,124922,,
90504,2411,148847,,
90504,1655,143499,,
90504,2392,318797,,
90504,280,86407,,
90505,"17,165","1,361,194",,
90505,5144,60400,,
90505,3267,120512,,
90505,2429,150550,,
90505,1833,159143,,
90505,3384,470868,,
90505,1108,399721,,
90601,"13,975","779,689",,
90601,4888,64153,,
90601,3519,127582,,
90601,2196,135479,,
90601,1373,118952,,
90601,1671,224352,,
90601,328,109171,,
90602,"9,980","447,213",,
90602,4344,60164,,
90602,2787,99979,,
90602,1245,75878,,
90602,644,55397,,
90602,814,110009,,
90602,146,45786,,
90603,"9,021","621,403",,
90603,2798,34441,,
90603,1815,66358,,
90603,1393,86983,,
90603,1064,91977,,
90603,1642,219806,,
90603,309,121838,,
90604,"16,624","782,935",,
90604,6393,85816,,
90604,4303,154904,,
90604,2467,151407,,
90604,1627,140512,,
90604,1743,223285,,
90604,91,27011,,
90605,"17,128","835,793",,
90605,7315,98135,,
90605,4549,162940,,
90605,2340,143287,,
90605,1332,114549,,
90605,1295,169540,,
90605,297,147342,,
90606,"13,724","537,548",,
90606,5867,80905,,
90606,4056,145131,,
90606,2034,124502,,
90606,982,84601,,
90606,755,94542,,
90606,30,7867,,
90620,"20,432","1,019,363",,
90620,7792,99010,,
90620,4935,178605,,
90620,3112,191334,,
90620,2091,180839,,
90620,2279,296280,,
90620,223,73295,,
90621,"14,403","619,992",,
90621,6689,90485,,
90621,3914,140016,,
90621,1764,107275,,
90621,828,71167,,
90621,1023,136190,,
90621,185,74859,,
90623,"7,092","472,545",,
90623,2305,28256,,
90623,1449,52769,,
90623,1011,62468,,
90623,765,66752,,
90623,1310,179381,,
90623,252,82919,,
90630,"22,555","1,485,267",,
90630,7280,88809,,
90630,4784,175106,,
90630,3378,209143,,
90630,2437,211380,,
90630,3819,516763,,
90630,857,284066,,
90631,"29,318","1,651,171",,
90631,11491,153291,,
90631,7404,266982,,
90631,4035,248417,,
90631,2414,208614,,
90631,3160,422598,,
90631,814,351269,,
90638,"20,724","1,199,805",,
90638,7182,88470,,
90638,4637,168172,,
90638,3052,188945,,
90638,2279,197672,,
90638,3126,411477,,
90638,448,145069,,
90640,"26,970","1,079,631",,
90640,12279,166841,,
90640,7562,269909,,
90640,3595,219214,,
90640,1744,149576,,
90640,1571,203945,,
90640,219,70146,,
90650,"43,208","1,673,809",,
90650,18770,255606,,
90650,12621,453296,,
90650,6349,387327,,
90650,3140,270627,,
90650,2223,276737,,
90650,105,30216,,
90660,"26,987","1,008,155",,
90660,12076,164964,,
90660,8162,291594,,
90660,3690,224075,,
90660,1730,148588,,
90660,1277,159586,,
90660,52,19348,,
90670,"6,983","367,087",,
90670,2807,37780,,
90670,1963,71146,,
90670,1049,64263,,
90670,587,50475,,
90670,502,63629,,
90670,75,79794,,
90680,"12,567","465,342",,
90680,6005,81685,,
90680,3425,122302,,
90680,1670,101988,,
90680,817,70080,,
90680,617,78099,,
90680,33,11188,,
90701,"7,066","294,666",,
90701,3188,42388,,
90701,1882,67098,,
90701,999,61354,,
90701,474,40961,,
90701,463,59771,,
90701,60,23094,,
90703,"23,446","1,667,468",,
90703,7292,85785,,
90703,4778,174734,,
90703,3350,207316,,
90703,2538,220107,,
90703,4446,612865,,
90703,1042,366661,,
90706,"31,444","1,245,189",,
90706,13851,187080,,
90706,9202,331946,,
90706,4268,260005,,
90706,2111,181202,,
90706,1869,240722,,
90706,143,44234,,
90710,"11,239","538,616",,
90710,4631,62196,,
90710,2815,101591,,
90710,1479,90900,,
90710,964,83399,,
90710,1210,160285,,
90710,140,40245,,
90712,"14,686","898,169",,
90712,4561,58241,,
90712,3064,112771,,
90712,2416,150106,,
90712,1890,163791,,
90712,2484,325346,,
90712,271,87914,,
90713,"13,182","831,144",,
90713,3852,48443,,
90713,2560,94051,,
90713,2155,134445,,
90713,1817,157847,,
90713,2577,339064,,
90713,221,57294,,
90715,"8,779","389,176",,
90715,3514,46575,,
90715,2282,82331,,
90715,1411,86884,,
90715,808,69678,,
90715,712,91221,,
90715,52,12487,,
90716,"5,790","161,530",,
90716,3251,44663,,
90716,1777,62458,,
90716,544,32531,,
90716,134,11546,,
90716,84,10332,,
90716,**,**,,
90717,"9,978","520,028",,
90717,3720,48047,,
90717,2421,87816,,
90717,1562,95562,,
90717,902,77883,,
90717,1211,160697,,
90717,162,50023,,
90720,"10,480","952,636",,
90720,3144,36052,,
90720,1906,70084,,
90720,1467,90868,,
90720,999,86452,,
90720,2097,293886,,
90720,867,375294,,
90723,"21,612","693,931",,
90723,11229,158073,,
90723,6631,234448,,
90723,2424,146598,,
90723,827,70662,,
90723,461,57517,,
90723,40,26633,,
90731,"24,462","1,146,532",,
90731,10410,136345,,
90731,6052,217337,,
90731,3277,201623,,
90731,2012,173909,,
90731,2381,316113,,
90731,330,101205,,
90732,"9,973","749,749",,
90732,2602,31406,,
90732,1860,68515,,
90732,1692,105360,,
90732,1277,110448,,
90732,2107,290689,,
90732,435,143331,,
90740,"13,102","1,004,705",,
90740,4375,52798,,
90740,2613,96201,,
90740,1877,115458,,
90740,1236,107077,,
90740,2149,300486,,
90740,852,332685,,
90744,"20,737","666,795",,
90744,11301,157041,,
90744,5723,200387,,
90744,2004,121648,,
90744,893,76948,,
90744,777,99070,,
90744,39,11701,,
90745,"25,835","1,151,189",,
90745,10596,139809,,
90745,7148,257851,,
90745,3618,222060,,
90745,2140,184522,,
90745,2175,280849,,
90745,158,66098,,
90746,"13,042","663,499",,
90746,4706,62295,,
90746,3212,117249,,
90746,2177,133378,,
90746,1304,112429,,
90746,1482,195005,,
90746,161,43143,,
90755,"5,340","334,409",,
90755,1833,24910,,
90755,1320,48065,,
90755,861,53365,,
90755,521,44917,,
90755,630,84254,,
90755,175,78898,,
90802,"19,039","865,170",,
90802,8154,110685,,
90802,5341,192453,,
90802,2637,161798,,
90802,1346,115273,,
90802,1234,161649,,
90802,327,123312,,
90803,"17,715","1,722,520",,
90803,4536,56507,,
90803,3654,135871,,
90803,3067,190302,,
90803,2004,173192,,
90803,2896,398722,,
90803,1558,767926,,
90804,"17,122","614,354",,
90804,8311,111483,,
90804,5086,180258,,
90804,2069,125894,,
90804,881,75604,,
90804,668,86169,,
90804,107,34946,,
90805,"37,711","1,229,720",,
90805,19343,263517,,
90805,10961,386929,,
90805,4402,267295,,
90805,1856,159122,,
