Zip Code,Tax Returns,AGI thousands
90001,20342,492447
90002,18126,438935
90003,25160,581608
90004,26101,1451721
90005,14366,588052
90006,21578,514937
90007,12539,306112
90008,14853,624166
90010,2174,257342
90011,36032,808914
90012,9348,381940
90013,4200,314831
90014,3654,178283
90015,7369,337093
90016,21306,720302
90017,7881,365458
90018,20621,604011
90019,27788,1154185
90020,16140,891952
90021,1336,88268
90022,25825,727428
90023,17645,455639
90024,15163,3947462
90025,25568,3146444
90026,30142,1168286
90027,23657,1402853
90028,14186,503327
90029,16709,498110
90031,15508,470287
90032,18500,640954
90033,16153,424024
90034,29234,1573712
90035,13829,1098760
90036,19013,1669785
90037,22940,537099
90038,12677,410077
90039,14843,865757
90040,5183,183399
90041,12628,688828
90042,25942,1014290
90043,20679,838678
90044,34234,870076
90045,17956,1502726
90046,27242,2014026
90047,22959,778186
90048,12996,1196303
90049,18491,5181988
90056,4669,375920
90057,13691,341463
90058,1379,71128
90059,15329,382055
90061,10876,289247
90062,13241,363155
90063,19880,544174
90064,13933,2116991
90065,20377,947590
90066,27926,1857844
90067,3123,2446768
90068,12175,1197512
90069,14201,1941256
90077,4072,1416035
90094,2771,313626
90201,35658,951994
90210,9739,5294682
90211,5244,708776
90212,7717,2786867
90220,20696,662331
90221,20918,561403
90222,12402,333503
90230,15400,1042021
90232,8243,1161570
90240,11061,601966
90241,18904,872586
90242,17767,726095
90245,9463,884649
90247,21452,796540
90248,5090,319903
90249,12912,540072
90250,40881,1557785
90254,10884,1363328
90255,29354,804876
90260,14882,560939
90262,26033,736430
90265,7327,1794223
90266,17001,3931021
90270,10280,271040
90272,10531,3680882
90274,12423,3334323
90275,18784,2601799
90277,19341,1920926
90278,19602,1658246
90280,37970,1162081
90290,2971,410602
90291,14875,1225278
90292,12655,1399629
90293,6962,670836
90301,15676,485441
90302,13333,486287
90303,10924,349247
90304,11281,299743
90305,8147,381380
90401,3995,735292
90402,5541,1869235
90403,14085,1503300
90404,11041,944501
90405,15074,1549529
90501,18961,1009763
90502,8311,422276
90503,20351,1490176
90504,15480,888083
90505,17165,1361194
90601,13975,779689
90602,9980,447213
90603,9021,621403
90604,16624,782935
90605,17128,835793
90606,13724,537548
90620,20432,1019363
90621,14403,619992
90623,7092,472545
90630,22555,1485267
90631,29318,1651171
90638,20724,1199805
90640,26970,1079631
90650,43208,1673809
90660,26987,1008155
90670,6983,367087
90680,12567,465342
90701,7066,294666
90703,23446,1667468
90706,31444,1245189
90710,11239,538616
90712,14686,898169
90713,13182,831144
90715,8779,389176
90716,5790,161530
90717,9978,520028
90720,10480,952636
90723,21612,693931
90731,24462,1146532
90732,9973,749749
90740,13102,1004705
90744,20737,666795
90745,25835,1151189
90746,13042,663499
90755,5340,334409
90802,19039,865170
90803,17715,1722520
90804,17122,614354
90805,37711,1229720
90806,17456,604359
90807,15943,1079826
90808,18765,1371424
90810,15629,570183
90813,20291,503482
90814,9806,622431
90815,18519,1354043
91001,17061,1314269
91006,14519,1359703
91007,14118,1037778
91008,545,113798
91010,11484,548276
91011,9218,2086302
91016,18274,1103314
91020,3457,191202
91024,5310,540719
91030,11946,1193420
91040,9444,579776
91042,11961,595366
91101,9755,704001
91103,11617,761206
91104,16206,963944
91105,6238,1105170
91106,11615,1277880
91107,15917,1438149
91108,6281,1443323
91201,10162,487591
91202,10330,682107
91203,6574,357460
91204,6621,234595
91205,15840,574642
91206,14644,891978
91207,4856,499178
91208,7551,731680
91210,187,23612
91214,13490,1033094
91301,12207,1289363
91302,11643,2696358
91303,11421,414343
91304,21334,1130725
91306,19697,850291
91307,11233,954981
91311,17422,1344084
91316,13499,1639302
91320,20235,1826884
91321,14437,809952
91324,12126,727352
91325,14257,858425
91326,15113,1351157
91331,39358,1193295
91335,31576,1225998
91340,13586,445440
91342,37681,1569934
91343,23547,1015546
91344,23529,1551473
91345,8050,340070
91350,14655,1054878
91351,14602,753666
91352,19422,730804
91354,12030,1055398
91355,14888,1219953
91356,13554,1425406
91360,19571,1445520
91361,10036,1517036
91362,17414,2232012
91364,12858,1696144
91367,19424,1693245
91377,6533,685633
91381,7980,884990
91384,9652,680511
91387,17410,1213595
91390,8107,672191
91401,17651,865065
91402,25447,777965
91403,13298,1701461
91405,20668,669765
91406,22311,956830
91411,10202,456002
91423,16747,1548949
91436,8885,3284814
91501,9541,567902
91502,5338,230552
91504,12078,813970
91505,16343,1135836
91506,9450,586423
91601,18191,747696
91602,10608,762044
91604,15617,1608307
91605,22660,736334
91606,19104,652571
91607,14324,835136
91701,18253,1139206
91702,23595,902671
91706,31128,1011768
91708,2861,183668
91709,32354,2462137
91710,30916,1506983
91711,15344,1340001
91722,15940,707828
91723,8038,366269
91724,11650,703898
91730,28320,1399888
91731,11439,370462
91732,23846,730227
91733,17040,495054
91737,10776,861806
91739,14030,1068628
91740,11594,643317
91741,11886,993491
91744,34105,1124988
91745,24314,1378667
91746,12631,439528
91748,20437,1009025
91750,15703,1103741
91752,11881,524433
91754,16498,815335
91755,12421,507980
91761,24253,1037310
91762,24018,872806
91763,15225,536023
91764,21627,730262
91765,21579,1632902
91766,26635,936109
91767,19022,687123
91768,12399,435751
91770,27139,1061481
91773,15899,1058428
91775,10667,713469
91776,17564,630854
91780,16137,829085
91784,12154,1085392
91786,21900,971703
91789,19623,1386154
91790,19089,867328
91791,14323,876342
91792,13333,612499
91801,23876,1054172
91803,13812,582988
91901,6754,526905
91902,8400,615917
91905,591,26259
91906,1292,61149
91910,33998,1611709
91911,36723,1416028
91913,16555,1071095
91914,6159,554129
91915,10029,705799
91916,869,55888
91917,389,15219
91932,11440,430955
91934,272,8584
91935,4067,336891
91941,14841,1010425
91942,18295,904339
91945,11139,464306
91950,23331,741939
91962,898,57242
91963,542,17096
91977,25088,1102758
91978,4157,208488
91980,980,23523
92003,2574,179246
92004,1399,61672
92007,5864,573775
92008,13511,995461
92009,18560,2095139
92010,6737,495599
92011,10232,1084381
92014,7291,1374584
92019,18847,1231675
92020,23107,1117501
92021,27636,1245759
92024,23923,2477506
92025,18640,957102
92026,21309,1170914
92027,22364,1041233
92028,19500,1180168
92029,8584,705356
92036,1582,81492
92037,18408,3353974
92040,18434,998413
92054,17664,792961
92056,24542,1315334
92057,24173,1256692
92058,15259,590724
92059,739,80031
92061,1334,103731
92064,21371,2050869
92065,15648,1020068
92066,122,7252
92069,18668,943767
92070,555,22740
92071,24116,1372288
92075,6641,787424
92078,17841,1258056
92081,12644,731257
92082,8273,538037
92083,15191,535405
92084,19627,940099
92086,563,26137
92091,521,159082
92101,18177,1396608
92102,18186,589553
92103,18951,1441733
92104,23543,1041585
92105,26270,750311
92106,9091,885389
92107,14874,957401
92108,11103,624763
92109,25099,1471882
92110,12044,693664
92111,21021,1010719
92113,18240,471171
92114,28153,1089093
92115,23719,1035793
92116,18000,913981
92117,25633,1416716
92118,7846,815246
92119,11406,722452
92120,13577,956061
92121,2314,296516
92122,18717,1423055
92123,13242,791299
92124,12763,884542
92126,33074,1832812
92127,15891,1887938
92128,22331,1836521
92129,22802,1910732
92130,20425,3295764
92131,15349,1791686
92139,15624,665089
92154,36256,1445658
92173,19660,531524
92201,22431,805827
92203,9841,594928
92210,1858,377652
92211,11038,730219
92220,12472,559818
92223,17752,964012
92225,5356,216343
92227,9610,429486
92230,910,26429
92231,23982,610219
92233,1350,51700
92234,20034,739817
92236,18606,491535
92240,13566,389233
92241,2425,79354
92242,444,15142
92243,17960,723845
92249,2968,98575
92250,3235,143634
92251,6625,361044
92252,3490,126991
92253,14549,1113640
92254,8769,196462
92256,1448,58394
92257,581,16173
92260,13096,743495
92262,11685,558155
92264,8901,485910
92270,7723,810171
92274,9945,255251
92276,2979,100345
92277,8703,332926
92281,933,30155
92282,305,10316
92283,1144,34431
92284,8766,356435
92285,685,19430
92301,10629,314133
92305,263,13868
92307,15179,734985
92308,14484,645199
92309,323,8010
92310,2890,106910
92311,11313,459146
92313,5390,281269
92314,3338,142162
92315,3487,170048
92316,11919,382468
92320,3384,159817
92324,22721,811581
92327,222,8985
92328,223,7520
92335,35859,1051696
92336,35466,1788988
92337,14958,657980
92339,442,25962
92342,2610,143061
92344,7564,392156
92345,27825,1020245
92346,22473,1277254
92347,482,18119
92354,8941,520279
92356,1947,63416
92358,327,14130
92359,3491,158429
92363,1898,73278
92365,737,28553
92368,309,10134
92371,3407,143338
92372,1881,91642
92373,15108,1216806
92374,16548,887113
92376,30836,978361
92377,9420,429796
92392,20081,828178
92394,10733,397866
92395,15228,820131
92397,2293,143365
92399,21142,1202337
92401,714,15844
92404,21586,713513
92405,10918,333224
92407,20727,833646
92408,5008,156355
92410,16594,395442
92411,9268,225172
92501,8016,321875
92503,33346,1463196
92504,21181,926496
92505,18297,720184
92506,19563,1471874
92507,18822,714600
92508,13298,873499
92509,28370,1060770
92518,590,42863
92530,18051,721228
92532,6889,386613
92536,1394,67516
92539,1531,56576
92543,11163,334384
92544,16306,720055
92545,15015,614230
92548,2208,69900
92551,11758,427671
92553,26525,836418
92555,14680,740832
92557,20219,887319
92561,523,35168
92562,24669,1691220
92563,22152,1261137
92567,3449,151585
92570,17759,601935
92571,18511,654385
92582,5392,230837
92583,10290,355203
92584,15721,857701
92585,7312,340501
92586,9164,352954
92587,6708,403690
92590,1710,142162
92591,15881,943869
92592,28158,2072660
92595,12437,608502
92596,8558,501165
92602,9263,887692
92603,8543,1875994
92604,12279,924315
92606,8879,735635
92610,4702,456435
92612,10771,989318
92614,11333,1186431
92617,3237,283459
92618,8896,961594
92620,17367,1786515
92624,3602,274673
92625,6798,1605589
92626,23182,1477381
92627,28284,1376679
92629,13747,1378201
92630,28289,1842183
92637,9581,446466
92646,27267,2050509
92647,26278,1536288
92648,22684,2292516
92649,16779,1615282
92651,12004,2964214
92653,14302,1407794
92655,3383,107962
92656,22780,1907880
92657,4416,1980492
92660,16731,3635327
92661,1947,321489
92662,1524,190623
92663,11027,1396328
92672,17416,1299066
92673,12277,1508265
92675,15397,1503181
92676,909,73767
92677,29636,3163371
92679,13581,2259407
92683,39298,1715190
92688,19594,1566798
92691,22200,1555283
92692,22109,1968497
92694,8492,1128022
92701,19430,544657
92703,25149,697070
92704,37299,1251203
92705,20073,1978433
92706,15060,665605
92707,26422,884917
92708,26057,1748688
92780,24874,1216828
92782,10772,1220976
92801,27124,950138
92802,16834,642825
92804,34429,1306972
92805,27820,1044765
92806,16780,786962
92807,17138,1456834
92808,8863,854007
92821,16964,1119334
92823,1542,135273
92831,14360,863087
92832,10075,436483
92833,21331,1204267
92835,11158,1039978
92840,22697,887660
92841,13731,559364
92843,18081,598914
92844,9739,335052
92845,7836,516976
92860,10569,665717
92861,2771,495737
92865,9107,526603
92866,7217,345821
92867,19682,1447562
92868,10226,457330
92869,17418,1349756
92870,23213,1412972
92879,19393,888700
92880,23281,1497996
92881,11741,842132
92882,27227,1457575
92883,11696,846997
92886,21227,2171256
92887,9481,1038422
93001,15103,831190
93003,23090,1451349
93004,12874,793535
93010,19811,1491327
93012,15554,1397791
93013,7471,493691
93015,7131,310198
93021,16468,1251712
93022,2909,172698
93023,8881,632536
93030,26765,1117966
93033,41780,1278755
93035,12760,823061
93036,17287,795140
93041,9280,380127
93060,14251,593163
93063,25084,1662047
93065,32737,2328459
93066,1632,161440
93101,14129,787154
93103,8400,523312
93105,12068,1065903
93108,4760,1226382
93109,4986,495171
93110,7343,745360
93111,8697,740734
93117,15751,953589
93202,1526,49399
93203,9733,229087
93204,4075,100383
93205,676,21558
93206,920,33458
