Zip Code,2006-2012 Transactions,2010 Population
95350,67935,51046
90242,61370,43497
95355,54514,58311
93003,51060,50474
95630,50943,72180
92021,49944,65068
92307,47821,37630
93065,46860,72508
95370,45992,26803
93720,45902,45191
95926,45547,37725
93277,44715,50607
92708,44710,56004
96001,44692,33865
95823,44617,73985
94538,43443,61148
95825,43027,31084
95991,42627,40593
93454,42540,36448
95603,42377,27844
93534,41907,39341
91786,41376,51165
92262,40922,26179
93308,39345,52447
95661,38719,29791
95758,38646,60435
95501,38354,23976
95667,38340,36726
93257,38195,75004
91355,37772,32605
92345,37695,78715
91505,37203,30778
92395,36780,42400
95351,36496,46458
92103,36240,31066
95670,36024,52973
95210,35738,39009
94114,35625,31124
95207,35278,47965
93901,35190,26863
92024,35090,49121
95966,34903,30643
94550,34469,46896
92677,34468,63297
93551,34002,50798
94080,33969,63975
93230,33864,65264
93301,33813,12248
95821,33812,33550
96003,33700,44461
93274,33688,69721
92083,33297,36975
95380,33178,41201
95482,33101,31808
92506,32889,44001
93726,32721,40705
93612,32610,35351
90505,32566,36678
95340,32131,33931
95687,31984,65096
92404,31930,58271
92648,31746,45317
93030,31693,59372
92553,31517,73722
91360,31435,42402
92025,31174,49978
92683,31099,89747
94583,31001,34859
90806,30811,42399
95376,30744,49859
90048,30712,21397
90631,30682,67619
91910,30656,75802
95621,30583,39819
95993,30564,36067
94533,30548,69277
94928,30518,43170
95901,30462,31314
92660,30400,34797
96080,30365,28764
92562,30049,62079
94509,29976,62439
92835,29845,24010
92691,29725,47582
91942,29698,38069
91710,29650,80358
93536,29573,70918
92071,29510,53422
92705,29472,44706
95945,29440,25199
92335,29326,95397
93711,29228,36731
95678,29022,41192
94558,28984,66830
96007,28628,22841
91730,28569,66925
95336,28524,42675
95969,28369,27549
92530,28235,50216
90027,27997,45151
92392,27846,54858
92646,27824,55224
93436,27772,54017
94115,27704,33021
93710,27619,30202
95422,27575,15585
93309,27474,58409
92284,27232,25095
94565,27208,84641
95204,27058,27786
96002,27024,33298
92626,26810,49341
93611,26705,45614
94611,26636,36565
93105,26540,24815
93727,26539,71820
95242,26424,25393
92123,26323,26823
93446,26294,43714
93306,26196,64587
93906,26163,59461
96150,26065,29792
92543,26049,33555
92647,25978,57245
95608,25951,59418
92804,25888,85914
95816,25779,15579
92201,25723,61827
95624,25614,61989
95405,25580,21399
92020,25474,57767
94598,25347,25818
92128,25282,47490
95301,25263,37073
95822,25238,42347
92591,25115,38272
94546,24939,42209
92373,24917,33423
92879,24900,46745
95531,24872,24528
93420,24853,28413
95356,24849,30918
92243,24733,48030
92801,24619,62068
90211,24506,8434
95928,23966,36511
92037,23906,46781
94501,23882,60212
90404,23863,21360
94587,23801,69516
95691,23722,34737
94513,23703,54605
92056,23699,51835
91016,23633,40598
95205,23537,38069
93940,23494,31615
93312,23488,56741
92110,23408,25341
95307,23395,42753
92111,23356,45096
90250,23320,93193
96130,23264,23150
95642,23156,7164
92260,23135,31753
93010,23106,42901
94531,23013,40290
93555,22911,32560
95051,22905,54327
93637,22904,37743
94609,22870,20596
90277,22866,35293
91307,22847,24474
93635,22823,38776
93722,22806,76448
94596,22787,20037
95062,22513,36079
92376,22419,81516
90706,22413,76615
90630,22370,47993
92653,22339,29291
91911,22296,82999
90807,22222,31481
95020,22192,57349
92882,22124,67917
95124,22099,47082
94040,22028,32996
95403,21996,45164
95361,21905,31610
91706,21856,76571
94553,21812,47065
95240,21804,47172
94110,21771,69333
92253,21745,37262
92069,21727,46369
92324,21723,56505
90732,21706,21115
90731,21698,59662
92311,21682,31894
91335,21661,74363
90802,21614,39347
91356,21524,29458
94087,21496,54293
95695,21270,37946
94063,21228,30949
92630,21118,59182
93313,21116,43553
90650,21095,105549
91344,21036,51747
95453,21003,11256
93552,20960,38158
92780,20871,57741
92840,20839,54083
90620,20823,45113
92870,20793,52033
91325,20713,32417
95008,20604,45260
90712,20568,31499
96097,20540,10031
92120,20469,26317
92503,20462,84519
92054,20459,40375
94588,20446,30842
94015,20379,60927
92592,20156,72492
94102,20132,31176
91405,20104,51145
92234,20089,51151
95747,20089,51870
90036,20002,36865
92101,19978,37095
94109,19975,55984
92399,19937,52606
90292,19895,21576
93311,19870,40829
91402,19817,69817
90045,19798,39480
92583,19771,30236
91316,19736,26898
92544,19705,44734
90815,19700,39733
90713,19660,27925
94941,19634,30496
95628,19589,40196
92545,19574,39457
95382,19544,36176
92704,19520,88123
91767,19452,48068
95060,19432,46377
92675,19395,34731
91709,19237,74796
91790,19224,44907
91364,19171,25851
92064,19131,47904
94520,19096,37208
91740,19023,25356
93304,18967,48731
92563,18939,53892
95610,18887,44147
92270,18803,17220
90028,18763,28714
95819,18696,17141
92027,18661,53881
91403,18589,23484
92692,18558,47222
91320,18528,44274
95648,18504,47354
92336,18503,88419
95401,18437,36981
90247,18360,47487
94577,18280,45560
93117,18270,53217
92346,18177,54923
94806,18138,59861
90025,18127,42147
91436,18120,14372
90808,18110,38232
95834,18041,25899
92126,17973,73343
95118,17926,31932
91324,17923,27669
94578,17847,38558
92115,17807,58560
95023,17738,48841
92807,17735,36171
93644,17618,8637
91401,17617,39285
92673,17546,29309
92374,17503,40267
94523,17470,33569
95476,17410,35394
90301,17385,36568
90638,17380,49012
95035,17379,66943
92821,17371,35533
95843,17292,45048
93422,17252,31375
93955,17186,33359
91702,17159,59705
94545,17129,29707
90035,17107,28418
94590,17073,35420
92507,17063,58002
91773,17060,33119
92604,17036,26853
90804,17023,40311
91745,16938,54013
92886,16932,46564
95833,16912,37293
90640,16791,62549
95032,16760,25089
90069,16756,20483
93907,16668,21726
95076,16641,82474
95765,16608,33974
92407,16603,56689
90241,16469,42399
90503,16360,44383
90740,16321,23729
94103,16290,27170
93291,16265,52849
94903,16229,29040
91351,16201,32362
94118,16149,38319
90660,16147,62928
95540,16086,13657
94954,16057,37365
94564,15992,18287
92649,15936,32463
94544,15902,73026
91950,15901,60322
94541,15808,61635
94901,15806,41157
93444,15783,19244
90403,15753,24525
94112,15743,79407
92627,15740,61510
92869,15707,37184
93101,15692,31683
95682,15686,29114
91350,15644,33348
92586,15549,19815
92117,15408,51332
93036,15353,41691
94117,15323,39169
90046,15267,48581
95688,15220,34379
92026,15219,48922
95337,15211,31557
92843,15142,45214
92154,15138,79708
92028,15055,46239
91701,15006,38976
94566,14985,40884
93535,14979,72046
93063,14956,54366
95019,14938,7727
94066,14886,41130
95037,14856,45579
91367,14856,39499
93455,14853,41684
95949,14714,19741
93662,14665,30237
92010,14647,14382
92865,14639,19704
93561,14578,34630
90602,14489,25777
92009,14412,40747
91761,14349,56913
90501,14251,43180
93401,14098,28033
93023,14097,20589
92833,14086,51767
94591,14051,53042
92354,14025,21559
92104,14016,44414
95817,13946,13534
94945,13870,17167
91604,13859,29034
91321,13845,34882
94010,13825,40737
93292,13816,39032
91206,13805,33065
91801,13767,52735
95835,13736,35936
90278,13697,40071
95492,13676,28532
90034,13634,57964
95815,13617,24680
94070,13617,29166
91754,13601,32742
95437,13592,14799
93033,13588,82728
95119,13582,9970
92505,13541,47672
92656,13527,49046
92584,13518,43400
95490,13472,13264
92220,13436,31638
91506,13428,18904
91941,13383,31779
95123,13313,62228
95126,13285,31049
92203,13265,25605
95831,13257,41321
92240,13250,34722
92211,13197,24294
90210,13166,21741
95521,13144,20199
95050,13129,35923
95003,13111,23974
91107,13042,32940
94025,12972,40526
93060,12955,32811
92806,12894,37173
94122,12889,56023
95677,12859,23333
92227,12856,26234
92408,12801,15271
94521,12788,41249
93245,12785,37412
92057,12782,54096
91977,12715,58368
92618,12709,16366
91741,12701,25824
92109,12693,45787
92040,12668,41281
92595,12663,29851
95762,12653,38797
92571,12650,52516
91423,12633,30991
94530,12627,23877
92308,12607,39837
92868,12573,25404
