Fresno Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
00017,0,0,0
93210,7.65,0.93,58.47
93234,0,0,0
93242,0,0,0
93602,0,0,0
93608,0,0,0
93609,0,0,0
93611,4.59,0.54,19.47
93612,9.46,1.89,29.79
93616,0,0,0
93619,3.84,0.1,26.5
93621,0,0,0
93622,0,0,0
93625,14.03,0.36,96.83
93627,0,0,0
93628,0,0,0
93630,0,0,0
93633,0,0,0
93640,0,0,0
93641,0,0,0
93648,0,0,0
93650,0,0,0
93651,0,0,0
93652,0,0,0
93654,0,0,17.32
93656,0,0,0
93657,5.66,0.68,23.1
93660,0,0,0
93662,8.25,1,30.87
93664,0,0,0
93667,0,0,0
93668,0,0,0
93675,45.8,4.47,256.23
93701,20.72,2.51,141.77
93702,2.72,0.07,19.79
93703,11.56,2.37,38.53
93704,5.22,0.63,26.32
93705,13.61,3.65,36.21
93706,0,0,14.65
93710,26.18,9.45,61.15
93711,16.07,6.13,38.43
93720,12.17,4.36,28.45
93721,0,0,147.21
93722,6.98,2.21,20.56
93723,10.67,0.27,73.37
93725,4.43,0.11,32.31
93726,6.34,0.71,24.83
93727,14.23,6.37,28.56
93728,17.6,3.63,60.41
93730,10.56,0.27,77
93741,0,0,0
95043,0,0,0
California,4.02,3.82,4.22
Fresno,7.82,6.09,9.96
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
