Imperial Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
92227,0,0,0
92231,0,0,12.46
92233,0,0,0
92243,1.96,0.05,13.42
92249,0,0,0
92250,0,0,0
92251,0,0,44.69
92257,0,0,419.61
92259,0,0,0
92274,0,0,61.52
92281,0,0,0
92283,0,0,0
California,4.02,3.82,4.22
Imperial,0.57,0.62,3.65
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
