Monterey Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
93426,0,0,0
93450,0,0,0
93451,0,0,164.55
93901,0,0,18.81
93905,0,0,0
93906,3.83,0.46,16.37
93907,0,0,26.28
93908,0,0,54.83
93920,0,0,0
93923,0,0,102.78
93924,0,0,0
93925,0,0,0
93926,0,0,0
93927,0,0,58.58
93930,12.26,1.38,68.7
93932,0,0,0
93933,9.62,1.16,41.91
93940,3.68,0.09,26.92
93943,0,0,0
93944,0,0,0
93950,0,0,0
93953,11.19,0.28,297.14
93955,2.24,0.06,20.97
93960,0,0,0
95012,7.16,0.18,99.48
95039,127.72,15.29,871.15
California,4.02,3.82,4.22
Monterey,3.04,1.67,5.34
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
