Nevada Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
95728,0,0,0
95945,8.17,0.92,37.26
95946,0,0,84.88
95949,9.06,0.23,53.91
95959,3.7,0.09,45.57
95975,0,0,425.08
96111,0,0,0
96161,0,0,69.77
96162,0,0,0
California,4.02,3.82,4.22
Nevada,4.29,3.69,12.2
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
