San Diego Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
91901,7.02,0.18,45.3
91902,0,0,0
91905,0,0,0
91906,0,0,0
91910,0,0,5.85
91911,4.86,1.32,13.14
91913,0,0,25.2
91914,0,0,0
91915,0,0,0
91916,0,0,0
91917,0,0,0
91932,6.62,0.76,31.82
91934,0,0,0
91935,0,0,91.32
91941,2.05,0.05,18.24
91942,5.29,0.6,23.33
91945,6.49,0.78,29.49
91950,3.93,0.46,15.02
91962,0,0,0
91963,0,0,0
91977,5.11,1.05,16.56
91978,0,0,0
91980,0,0,0
92003,19.28,0.49,147.55
92004,0,0,252.48
92007,0,0,0
92008,3.03,0.08,24.41
92009,3.77,0.46,22.63
92010,12.55,1.38,56.64
92011,6.3,0.16,42.38
92014,0,0,55.2
92019,1.6,0.04,14.53
92020,6.73,1.77,18.64
92021,16.62,8.18,30.88
92024,11.45,3.91,27.72
92025,0,0,13.66
92026,17.62,7.5,35.62
92027,1.77,0.04,13.19
92028,5.27,0.55,21.53
92029,5.65,0.14,37.23
92036,0,0,238.34
92037,2.73,0.07,19.88
92040,16.29,6.37,36.12
92054,16.37,6.49,36.78
92055,5.2,0.26,17876.98
92056,2.92,0.35,14.06
92057,3.9,0.47,14.88
92058,3.87,0.1,26.93
92059,0,0,474.25
92061,0,0,0
92064,4.49,0.9,17.69
92065,3.45,0.09,20.99
92066,0,0,0
92067,0,0,0
92069,12.74,3.93,33.04
92070,0,0,0
92071,10.35,3.76,24.43
92075,0,0,48.66
92078,10.07,2.73,26.49
92081,7.37,0.85,30.5
92082,3.67,0.09,35.03
92083,4.77,0.53,27.8
92084,8.02,2.11,22.46
92086,0,0,0
92091,0,0,0
92096,0,0,0
92101,29.84,15.63,107.44
92102,7.78,1.6,27.78
92103,2.04,0.05,46.27
92104,8.52,2.31,29.41
92105,4.57,0.94,16.85
92106,0,0,32.97
92107,9.33,2.44,38.59
92108,7.53,0.19,135.03
92109,2.18,0.06,30.72
92110,14.85,3.92,51.34
92111,4.66,0.56,17.85
92113,2.5,0.06,20.82
92114,3.23,0.35,13.13
92115,13.56,5.43,30.99
92116,11.29,3.06,38.55
92117,9.66,3.53,24.2
92118,5.07,0.13,36.15
92119,11.29,2.28,38.86
92120,12.56,2.45,40.82
92121,0,0,0
92122,8.13,1.49,33.14
92123,3.46,0.09,25.26
92124,4.05,0.1,31.05
92126,2.81,0.28,13.43
92127,6.54,0.69,31.54
92128,2.35,0.06,15.59
92129,5.21,1,21.75
92130,4.41,0.11,28.21
92131,2.79,0.07,32.29
92134,0,0,0
92135,0,0,0
92136,0,0,0
92139,6.77,0.81,25.49
92140,0,0,0
92145,0,0,0
92152,0,0,0
92154,0.96,0.02,9.12
92155,0,0,0
92173,0,0,18.94
92182,0,0,0
92672,14.19,4.48,35.77
California,4.02,3.82,4.22
San Diego,6.03,5.2,6.96
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
