Tehama Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
00037,0,0,0
00038,0,0,0
95428,0,0,0
96021,0,0,0
96022,4.82,0.12,42.24
96035,0,0,0
96055,0,0,162.4
96059,0,0,0
96063,0,0,0
96075,0,0,0
96080,0,0,0
California,4.02,3.82,4.22
Tehama,0,0,8.39
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
