Geography,Total population,Hispanic or Latino (of any race),Mexican,Puerto Rican,Cuban,Other Hispanic or Latino,Not Hispanic or Latino
89010,31,18,18,0,0,0,13
89019,69,11,8,0,2,1,58
89060,30,3,3,0,0,0,27
89061,51,13,12,1,0,0,38
89439,80,4,1,1,0,2,76
90001,"57,110","50,544","41,830",152,45,"8,517","6,566"
90002,"51,223","37,598","28,835",112,55,"8,596","13,625"
90003,"66,266","49,386","34,317",133,55,"14,881","16,880"
90004,"62,180","31,987","11,201",171,277,"20,338","30,193"
90005,"37,681","19,578","10,034",101,56,"9,387","18,103"
90006,"59,185","44,074","21,609",120,127,"22,218","15,111"
90007,"40,920","22,167","12,725",133,107,"9,202","18,753"
90008,"32,327","7,561","3,838",133,76,"3,514","24,766"
90010,"3,800",343,161,8,10,164,"3,457"
90011,"103,892","92,879","73,012",143,80,"19,644","11,013"
90012,"31,103","8,426","6,298",109,73,"1,946","22,677"
90013,"11,772","2,409","1,617",115,85,592,"9,363"
90014,"7,005","1,379",949,56,49,325,"5,626"
90015,"18,986","12,875","7,965",77,51,"4,782","6,111"
90016,"47,596","25,462","15,764",177,131,"9,390","22,134"
90017,"23,768","16,526","8,460",75,77,"7,914","7,242"
90018,"49,310","29,312","13,456",136,66,"15,654","19,998"
90019,"64,458","29,701","16,587",249,212,"12,653","34,757"
90020,"38,967","13,638","6,272",84,58,"7,224","25,329"
90021,"3,951","1,631","1,328",38,36,229,"2,320"
90022,"67,179","65,152","59,089",128,69,"5,866","2,027"
90023,"45,903","44,854","39,724",84,32,"5,014","1,049"
90024,"47,452","4,314","2,752",117,87,"1,358","43,138"
90025,"42,147","6,354","4,615",124,94,"1,521","35,793"
90026,"67,869","38,701","21,316",297,539,"16,549","29,168"
90027,"45,151","9,567","4,400",180,238,"4,749","35,584"
90028,"28,714","9,229","4,532",240,150,"4,307","19,485"
90029,"38,617","22,660","8,858",119,141,"13,542","15,957"
90031,"39,316","26,643","21,720",120,83,"4,720","12,673"
90032,"45,786","37,372","31,585",190,113,"5,484","8,414"
90033,"48,852","44,703","37,904",169,68,"6,562","4,149"
90034,"57,964","17,228","11,396",288,237,"5,307","40,736"
90035,"28,418","2,428","1,156",111,85,"1,076","25,990"
90036,"36,865","2,991","1,412",184,162,"1,233","33,874"
90037,"62,276","46,954","26,100",142,57,"20,655","15,322"
90038,"28,917","17,056","7,208",169,94,"9,585","11,861"
90039,"28,514","11,674","7,208",166,347,"3,953","16,840"
90040,"12,520","11,809","10,506",26,57,"1,220",711
90041,"27,425","9,869","6,701",168,261,"2,739","17,556"
90042,"62,430","43,697","31,887",350,329,"11,131","18,733"
90043,"44,789","13,049","6,747",154,63,"6,085","31,740"
90044,"89,779","54,351","32,755",324,95,"21,177","35,428"
90045,"39,480","7,203","4,481",241,337,"2,144","32,277"
90046,"48,581","4,787","2,257",343,254,"1,933","43,794"
90047,"48,606","15,393","8,179",153,57,"7,004","33,213"
90048,"21,397","1,579",725,101,86,667,"19,818"
90049,"35,482","1,934","1,030",77,78,749,"33,548"
90056,"7,827",455,245,46,16,148,"7,372"
90057,"44,998","31,147","12,676",132,114,"18,225","13,851"
90058,"3,223","2,618","2,065",6,4,543,605
90059,"40,952","26,242","19,917",91,35,"6,199","14,710"
90061,"26,872","16,379","12,226",104,34,"4,015","10,493"
90062,"32,821","19,373","8,430",75,61,"10,807","13,448"
90063,"55,758","53,975","49,117",118,64,"4,676","1,783"
90064,"25,403","3,825","2,649",85,106,985,"21,578"
90065,"45,527","29,101","22,767",222,246,"5,866","16,426"
90066,"55,277","16,768","12,954",246,299,"3,269","38,509"
90067,"2,424",88,41,1,3,43,"2,336"
90068,"22,286","2,199","1,039",161,139,860,"20,087"
90069,"20,483","1,831",948,130,98,655,"18,652"
90071,15,5,4,0,0,1,10
90073,539,55,41,3,0,11,484
90077,"9,377",458,216,24,16,202,"8,919"
90079,0,0,0,0,0,0,0
90089,"3,217",355,198,14,20,123,"2,862"
90090,0,0,0,0,0,0,0
90094,"5,464",549,254,40,17,238,"4,915"
90095,3,0,0,0,0,0,3
90201,"101,279","96,083","79,129",353,"1,120","15,481","5,196"
90210,"21,741","1,092",497,38,48,509,"20,649"
90211,"8,434",541,226,14,18,283,"7,893"
90212,"11,555",681,294,35,34,318,"10,874"
90220,"49,328","27,720","23,645",134,38,"3,903","21,608"
90221,"53,704","40,462","35,365",137,39,"4,921","13,242"
90222,"31,869","21,741","18,893",77,24,"2,747","10,128"
90230,"31,766","10,325","7,341",120,262,"2,602","21,441"
90232,"15,149","3,932","2,549",66,160,"1,157","11,217"
90240,"25,876","17,702","13,460",150,712,"3,380","8,174"
90241,"42,399","29,716","22,340",295,"1,048","6,033","12,683"
90242,"43,497","31,578","24,531",300,523,"6,224","11,919"
90245,"16,654","2,609","1,613",110,100,786,"14,045"
90247,"47,487","22,553","17,518",281,171,"4,583","24,934"
90248,"9,947","3,949","3,074",87,47,741,"5,998"
90249,"26,669","10,048","7,325",155,106,"2,462","16,621"
90250,"93,193","49,305","32,498",783,926,"15,098","43,888"
90254,"19,506","1,632",933,77,64,558,"17,874"
90255,"75,066","72,962","60,433",254,550,"11,725","2,104"
90260,"34,924","20,365","13,523",321,289,"6,232","14,559"
90262,"69,745","60,451","51,026",192,110,"9,123","9,294"
90263,"1,612",214,127,12,7,68,"1,398"
90265,"18,116","1,299",816,41,39,403,"16,817"
90266,"35,135","2,440","1,363",126,118,833,"32,695"
90270,"27,372","26,676","22,699",65,193,"3,719",696
90272,"22,986","1,039",533,44,66,396,"21,947"
90274,"25,209","1,433",830,43,70,490,"23,776"
90275,"41,804","3,562","2,258",117,125,"1,062","38,242"
90277,"35,293","4,118","2,406",186,164,"1,362","31,175"
90278,"40,071","7,004","4,313",267,228,"2,196","33,067"
90280,"94,396","89,442","73,677",464,754,"14,547","4,954"
90290,"6,368",412,200,25,17,170,"5,956"
90291,"28,341","5,668","4,134",142,104,"1,288","22,673"
90292,"21,576","1,769",908,105,81,675,"19,807"
90293,"12,132","1,284",709,63,65,447,"10,848"
90301,"36,568","22,553","17,589",196,196,"4,572","14,015"
90302,"29,415","12,615","9,525",184,76,"2,830","16,800"
90303,"26,176","16,196","11,946",121,67,"4,062","9,980"
90304,"28,210","25,500","20,239",91,183,"4,987","2,710"
90305,"14,853","1,725",953,56,13,703,"13,128"
90401,"6,722",673,390,34,31,218,"6,049"
90402,"12,250",548,267,19,23,239,"11,702"
90403,"24,525","1,790",908,110,70,702,"22,735"
90404,"21,360","5,334","3,928",104,82,"1,220","16,026"
90405,"27,186","3,468","2,239",102,67,"1,060","23,718"
90501,"43,180","18,175","14,171",255,307,"3,442","25,005"
90502,"18,010","6,441","4,845",107,114,"1,375","11,569"
90503,"44,383","5,122","3,071",171,202,"1,678","39,261"
90504,"32,102","7,075","4,419",235,237,"2,184","25,027"
90505,"36,678","4,093","2,487",123,219,"1,264","32,585"
90506,0,0,0,0,0,0,0
90601,"31,974","22,587","19,799",221,163,"2,404","9,387"
90602,"25,777","19,274","16,517",151,68,"2,538","6,503"
90603,"20,063","10,091","8,651",127,126,"1,187","9,972"
90604,"39,407","25,542","21,874",314,225,"3,129","13,865"
90605,"40,331","31,156","27,772",195,149,"3,040","9,175"
90606,"32,396","28,159","24,948",183,99,"2,929","4,237"
90620,"45,113","14,915","12,247",239,174,"2,255","30,198"
