Zip Code,Rates,95% LCL,95% UCL
96129,403.31,10.21,6110.5
96105,273.25,6.92,1979.76
94963,221.22,5.6,3083.07
95251,195.54,4.95,1145.83
95039,127.72,15.29,871.15
96121,118.18,2.99,3379.97
94104,117.67,2.98,3887.93
94937,117.38,2.97,1418.0
95947,114.63,11.33,514.24
96118,91.08,2.31,588.26
96025,75.48,1.91,420.54
96027,71.05,1.8,498.91
95460,67.4,1.71,480.15
95454,66.48,1.68,370.39
96020,65.33,7.91,343.42
92676,62.42,1.58,781.52
95665,60.76,6.82,264.05
95306,60.11,1.52,1016.24
95310,59.6,1.51,511.36
95422,55.07,26.17,110.12
95202,53.66,14.42,159.33
95004,50.06,4.7,236.42
94102,48.33,29.24,97.03
93675,45.8,4.47,256.23
92347,45.71,1.16,568.87
95641,44.52,1.13,431.99
95423,44.24,1.12,293.54
95423,44.24,1.12,293.54
94111,44.03,1.11,635.14
95458,43.47,1.1,313.94
94103,43.36,23.68,92.65
96064,43.34,4.69,203.11
95542,43.19,1.09,331.28
96047,42.17,1.07,938.32
95570,41.45,1.05,300.17
95449,39.39,1.0,402.22
96109,38.57,0.98,516.35
96122,36.62,0.93,214.53
96137,36.58,4.2,242.74
95709,36.43,0.92,214.79
95215,35.97,15.31,74.17
92655,35.82,7.36,111.36
93460,32.92,0.83,194.5
95638,32.07,0.81,375.74
95540,31.5,9.67,88.29
92673,30.5,11.59,67.73
92101,29.84,15.63,107.44
95457,29.32,3.51,248.46
95379,28.78,0.73,191.21
95327,27.54,5.63,123.06
92629,27.42,10.41,62.07
95501,27.4,10.61,62.34
95485,26.58,0.67,253.77
95311,26.58,0.67,444.14
96130,26.23,10.52,66.95
93710,26.18,9.45,61.15
95006,25.53,3.07,135.37
94130,25.28,0.64,9972.76
95370,25.27,7.72,63.48
95405,25.23,7.91,61.95
92320,24.04,0.61,133.92
95252,24.0,4.03,84.82
93643,23.49,0.59,251.3
92677,23.31,12.43,40.73
95425,23.3,2.82,87.85
92382,23.25,0.59,247.16
94065,23.24,0.59,129.51
94951,22.48,0.57,191.56
95436,22.37,0.57,162.32
92675,21.74,8.23,47.76
92675,21.74,8.23,47.76
95605,21.55,4.44,67.49
94124,21.08,8.35,45.47
96003,21.0,9.27,42.89
94005,20.92,0.53,193.02
93701,20.72,2.51,141.77
95953,20.41,2.42,77.34
95437,19.94,5.11,62.9
93001,19.91,7.9,43.74
96067,19.67,0.5,127.53
93614,19.51,2.03,87.26
92003,19.28,0.49,147.55
95249,18.78,0.48,178.52
95351,18.46,7.41,42.19
93433,18.29,2.22,66.72
95815,18.15,4.81,51.7
94123,18.0,4.71,116.14
92026,17.62,7.5,35.62
93728,17.6,3.63,60.41
95204,17.52,5.33,45.73
95988,17.18,0.44,95.74
95626,16.66,0.42,115.39
92021,16.62,8.18,30.88
95490,16.41,1.99,66.0
95519,16.4,4.42,53.42
93465,16.38,0.41,96.09
92054,16.37,6.49,36.78
93445,16.32,0.41,95.23
