Geography,Total Population,Total Population of One Race,White,Black or African American
89010,31,31,18,0
89019,69,64,55,6
89060,30,28,27,0
89061,51,44,42,0
89439,80,79,78,0
90001,"57,110","54,985","20,509","6,133"
90002,"51,223","49,284","14,392","13,101"
90003,"66,266","63,750","19,878","16,181"
90004,"62,180","59,402","23,205","2,187"
90005,"37,681","35,997","10,953","2,007"
90006,"59,185","56,411","18,869","2,179"
90007,"40,920","38,741","15,849","4,547"
90008,"32,327","31,069","2,747","22,581"
90010,"3,800","3,709",884,167
90011,"103,892","99,508","35,138","9,764"
90012,"31,103","30,233","8,432","4,260"
90013,"11,772","11,263","4,386","3,810"
90014,"7,005","6,656","2,813","2,058"
90015,"18,986","18,116","6,711","1,334"
90016,"47,596","45,221","11,653","17,829"
90017,"23,768","22,477","8,266","1,430"
90018,"49,310","46,984","12,825","15,663"
90019,"64,458","61,350","19,321","15,249"
90020,"38,967","37,565","9,486","2,270"
90021,"3,951","3,806","1,620","1,242"
90022,"67,179","64,909","35,177",387
90023,"45,903","44,448","22,777",308
90024,"47,452","44,844","29,232","1,018"
90025,"42,147","39,862","27,257","1,185"
90026,"67,869","64,516","31,713","2,001"
90027,"45,151","43,095","31,535","1,412"
90028,"28,714","27,292","18,132","2,282"
90029,"38,617","36,719","16,947","1,232"
90031,"39,316","37,841","14,012",525
90032,"45,786","43,908","20,608","1,050"
90033,"48,852","46,914","22,458",926
90034,"57,964","54,813","28,752","6,105"
90035,"28,418","27,050","21,614","2,568"
90036,"36,865","35,481","24,801","2,148"
90037,"62,276","59,755","16,395","13,893"
90038,"28,917","27,452","14,888","1,224"
90039,"28,514","27,042","16,118",647
90040,"12,520","11,944","6,886",93
90041,"27,425","25,978","13,477",612
90042,"62,430","59,108","29,742","1,601"
90043,"44,789","42,867","4,923","29,500"
90044,"89,779","86,213","20,135","33,656"
90045,"39,480","37,084","24,136","5,605"
90046,"48,581","46,768","40,807","1,708"
90047,"48,606","46,950","5,734","31,915"
90048,"21,397","20,598","17,978",652
90049,"35,482","34,084","29,864",514
90056,"7,827","7,416","1,050","5,931"
90057,"44,998","42,609","12,924","2,087"
90058,"3,223","3,082","1,149",300
90059,"40,952","39,485","8,900","14,047"
90061,"26,872","25,893","5,794","10,026"
90062,"32,821","31,348","6,955","12,420"
90063,"55,758","53,895","27,064",398
90064,"25,403","24,106","17,703",670
90065,"45,527","43,207","22,180",917
90066,"55,277","52,383","34,522","2,120"
90067,"2,424","2,366","2,077",23
90068,"22,286","21,333","18,045","1,018"
90069,"20,483","19,790","17,482",612
90071,15,15,9,5
90073,539,533,257,240
90077,"9,377","8,986","7,929",142
90079,0,0,0,0
90089,"3,217","2,985","1,618",147
90090,0,0,0,0
90094,"5,464","5,114","3,124",621
90095,3,3,1,0
90201,"101,279","97,397","51,581","1,047"
90210,"21,741","20,789","18,845",378
90211,"8,434","7,957","6,551",204
90212,"11,555","10,989","9,354",308
90220,"49,328","47,634","11,333","19,621"
90221,"53,704","51,794","15,694","12,029"
90222,"31,869","30,933","9,260","9,727"
90230,"31,766","29,960","17,175","3,299"
90232,"15,149","14,185","9,201",981
90240,"25,876","24,902","15,311",659
90241,"42,399","40,697","24,320","1,357"
90242,"43,497","41,627","23,624","2,313"
90245,"16,654","15,697","12,997",337
90247,"47,487","45,330","12,027","8,935"
90248,"9,947","9,469","2,801","1,500"
90249,"26,669","25,478","7,866","8,082"
90250,"93,193","88,731","33,074","23,705"
90254,"19,506","18,688","16,928",229
90255,"75,066","72,293","39,323",512
90260,"34,924","32,947","15,696","3,205"
90262,"69,745","67,368","27,425","7,141"
90263,"1,612","1,509","1,125",98
90265,"18,116","17,532","16,145",322
90266,"35,135","33,516","29,686",290
90270,"27,372","26,206","14,234",162
90272,"22,986","22,295","20,682",173
90274,"25,209","24,234","18,527",347
90275,"41,804","39,815","25,803","1,016"
90277,"35,293","33,570","28,052",735
90278,"40,071","37,519","28,590","1,270"
90280,"94,396","90,868","47,645",890
90290,"6,368","6,103","5,692",84
90291,"28,341","27,048","21,817","1,491"
90292,"21,576","20,648","17,049","1,053"
90293,"12,132","11,479","9,220",692
90301,"36,568","35,055","11,201","11,826"
90302,"29,415","28,099","5,991","14,706"
90303,"26,176","25,111","6,449","9,097"
90304,"28,210","27,001","10,751","1,218"
90305,"14,853","14,357",817,"12,436"
90401,"6,722","6,420","5,085",383
90402,"12,250","11,857","10,714",125
90403,"24,525","23,453","20,398",461
90404,"21,360","20,272","13,956","1,689"
90405,"27,186","25,993","21,603",884
90501,"43,180","40,984","18,660","2,301"
90502,"18,010","17,125","6,223","1,269"
90503,"44,383","42,256","21,370","1,113"
90504,"32,102","29,843","13,272","1,247"
90505,"36,678","34,763","20,709",792
90506,0,0,0,0
90601,"31,974","30,332","19,625",426
90602,"25,777","24,695","15,216",388
90603,"20,063","19,230","14,889",180
90604,"39,407","37,683","25,098",714
90605,"40,331","38,670","24,171",496
90606,"32,396","31,188","18,956",338
90620,"45,113","42,643","23,395","1,419"
90621,"35,153","33,491","12,929","1,617"
90623,"15,554","14,897","5,747",796
90630,"47,993","45,616","26,056","1,458"
90631,"67,619","64,765","40,590","1,092"
90638,"49,012","46,883","29,785","1,105"
90640,"62,549","60,223","33,662",567
90650,"105,549","100,980","52,089","4,593"
90660,"62,928","60,594","37,403",601
90670,"14,866","14,261","8,805",334
90680,"29,945","28,661","13,576",714
90701,"16,591","15,995","6,462",592
90703,"49,399","47,533","11,463","3,428"
90704,"4,090","3,902","2,608",24
90706,"76,615","73,040","32,337","10,760"
90710,"25,457","24,035","10,657","3,390"
90712,"31,499","29,593","17,476","3,399"
90713,"27,925","26,293","19,351","1,293"
90715,"20,388","19,356","7,921","2,187"
90716,"14,184","13,630","6,413",542
90717,"21,318","19,992","12,598","1,116"
90720,"21,751","20,669","16,921",408
90723,"54,099","51,833","22,988","6,334"
90731,"59,662","55,710","34,816","4,369"
90732,"21,115","19,860","15,401",931
90740,"23,729","22,888","19,740",283
90742,831,799,738,4
90743,456,441,408,0
90744,"53,815","51,114","23,800","1,716"
90745,"57,251","54,385","15,234","4,454"
90746,"25,990","24,915","3,405","16,833"
90747,0,0,0,0
90755,"11,074","10,447","4,662","1,502"
90802,"39,347","37,014","19,727","6,656"
90803,"32,031","30,694","26,407",954
90804,"40,311","37,894","16,345","5,888"
