Humboldt Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
00050,0,0,0
00054,0,0,0
95501,27.4,10.61,62.34
95503,4.65,0.12,30.81
95511,0,0,0
95514,0,0,0
95519,16.4,4.42,53.42
95521,13.76,1.59,60.65
95524,0,0,0
95525,0,0,365.67
95526,0,0,0
95528,0,0,0
95536,0,0,202.67
95540,31.5,9.67,88.29
95542,43.19,1.09,331.28
95546,0,0,211.89
95547,0,0,0
95549,0,0,0
95550,0,0,0
95551,0,0,0
95554,0,0,0
95555,0,0,0
95556,0,0,0
95558,0,0,0
95560,0,0,0
95562,0,0,164.1
95563,0,0,0
95564,0,0,0
95565,0,0,0
95569,0,0,0
95570,41.45,1.05,300.17
95573,0,0,484.03
95589,0,0,0
California,4.02,3.82,4.22
Humboldt,15.21,9.59,23.81
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
