Los Angeles Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
90001,2.23,0.06,21.01
90002,0,0,18.97
90003,4.07,0.48,21.61
90004,0,0,0
90005,2.64,0.07,18.31
90006,0,0,12.54
90007,0,0,0
90008,0,0,14.57
90010,0,0,0
90011,0,0,12.25
90012,3.46,0.09,37.71
90013,10.28,1.19,305.99
90014,0,0,546.05
90015,0,0,36.21
90016,3.72,0.45,17.21
90017,2.93,0.07,34.32
90018,0,0,10.78
90019,1.54,0.04,10.83
90020,0,0,23.26
90021,12.92,0.33,447.99
90022,3.4,0.41,13.92
90023,5.66,0.69,24.11
90024,0,0,0
90025,2.84,0.07,29.26
90026,0,0,8.68
90027,1.2,0.03,20.67
90028,1.53,0.04,40.08
90029,2,0.05,15.78
90031,2.59,0.07,17.58
90032,2.44,0.06,14.77
90033,4.64,0.56,19.83
90034,0,0,12.93
90035,2.17,0.06,25.66
90036,1.25,0.03,23.84
90037,1.73,0.04,16.94
90038,2.38,0.06,27.84
90039,0,0,20.5
90040,0,0,0
90041,0,0,0
90042,1.23,0.03,10.93
90043,2.55,0.06,15.51
90044,1.11,0.03,9.73
90045,3,0.08,19.3
90046,0,0,32.34
90047,0,0,10
90048,4.93,0.12,73.08
90049,0,0,17.85
90056,0,0,85.87
90057,0,0,13.97
90058,0,0,387.18
90059,6.39,0.77,32.77
90061,0,0,0
90062,6.38,0.76,27.31
90063,2.24,0.06,14.6
90064,0,0,23.15
90065,0,0,10.46
90066,0,0,10.97
90067,0,0,0
90068,4.9,0.12,62.83
90069,0,0,135.38
90071,0,0,0
90073,0,0,0
90077,0,0,85.65
90089,0,0,0
90094,0,0,0
90095,0,0,0
90201,0,0,9.9
90210,0,0,29.68
90211,0,0,80.2
90212,0,0,55.08
90220,2.49,0.06,16.14
90221,0,0,0
90222,0,0,22.84
90230,3.71,0.09,21.47
90232,5.64,0.14,44.65
90240,0,0,0
90241,0,0,12
90242,2.65,0.07,19.25
90245,4.52,0.11,38.05
90247,0,0,9.18
90248,0,0,51.45
90249,0,0,0
90250,2.26,0.27,10.76
90254,0,0,0
90255,0,0,12.28
90260,0,0,23.22
90262,0,0,16.91
90263,0,0,0
90265,0,0,0
90266,5.36,0.14,29.85
90270,0,0,0
90272,0,0,45
90274,0,0,51.9
90275,0,0,23.17
90277,4.42,0.5,23.97
90278,10.6,2.19,32
90280,0,0,8.92
90290,0,0,137
90291,0,0,32.65
90292,0,0,85.25
90293,0,0,116.76
90301,0,0,0
90302,0,0,29
90303,0,0,33.26
90304,2.7,0.07,45.5
90305,4.92,0.12,41.57
90401,0,0,0
90402,0,0,75.46
90403,0,0,37.44
90404,0,0,36.16
90405,0,0,28.02
90501,2.03,0.05,15.8
90502,0,0,30.3
90503,5.53,0.66,20.69
90504,0,0,0
90505,0,0,15.1
90506,0,0,0
90601,6.27,0.76,24.76
90602,0,0,0
90603,3.69,0.09,28.25
90604,0,0,12.95
90605,0,0,15.2
90606,0,0,0
90623,0,0,0
90630,1.54,0.04,12.95
90631,4.04,0.83,13.07
90638,0,0,10.24
90639,0,0,0
90640,1.94,0.05,10.79
90650,1.12,0.03,7.1
90660,3.24,0.37,12.51
90670,7.9,0.2,45.08
90701,0,0,0
90703,0,0,12.94
90704,0,0,0
90706,0,0,9.03
90710,0,0,17.38
90712,0,0,15.14
90713,3.72,0.09,23.82
90715,0,0,0
90716,0,0,0
90717,13.46,2.76,42.57
