Mariposa Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
00058,0,0,0
93623,0,0,0
93653,0,0,0
95306,60.11,1.52,1016.24
95311,26.58,0.67,444.14
95318,0,0,0
95325,0,0,0
95338,0,0,66.86
95345,0,0,0
95389,0,0,0
California,4.02,3.82,4.22
Mariposa,6.19,3.38,42.48
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
