Sacramento Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
94561,4.85,0.59,29.5
94571,0,0,0
95608,13.86,6.55,28.14
95610,9.36,2.48,25.5
95615,0,0,0
95621,11.53,3.65,29.38
95624,0,0,9.33
95626,16.66,0.42,115.39
95628,1.28,0.03,15.32
95630,3.42,0.71,12.53
95632,0,0,17.23
95638,32.07,0.81,375.74
95641,44.52,1.13,431.99
95652,0,0,0
95655,0,0,0
95660,12.24,3.32,34.67
95662,3.56,0.09,21.96
95670,5.05,1.04,16.63
95673,7.49,0.19,50.57
95683,0,0,0
95690,0,0,189.91
95693,8.52,0.22,110.47
95742,0,0,0
95757,0,0,25.77
95758,5.33,1.07,18.97
95811,9.81,0.25,161.32
95814,0,0,274.9
95815,18.15,4.81,51.7
95816,9.65,0.76,92.35
95817,7.09,0.18,49.33
95818,0,0,28.87
95819,12.93,1.53,57.66
95820,3.5,0.09,22.4
95821,0,0,14.72
95822,3.32,0.08,18.5
95823,5.96,1.58,17.06
95824,0,0,20.92
95825,2.75,0.07,24.73
95826,0,0,14.07
95827,7.84,0.94,37.21
95828,0,0,8.83
95829,4.88,0.12,40.34
95830,0,0,0
95831,1.77,0.04,16.93
95832,0,0,67.3
95833,1.96,0.05,25.53
95834,0,0,47.67
95835,0,0,0
95836,0,0,0
95837,0,0,0
95838,8.07,1.63,30.56
95841,3.69,0.09,29.66
95842,6.68,0.81,33.61
95843,2.32,0.06,27.94
95864,0,0,25.67
California,4.02,3.82,4.22
Sacramento,4.71,3.66,5.98
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
