San Mateo Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
94002,3.37,0.09,26.02
94005,20.92,0.53,193.02
94010,1.92,0.05,19.27
94014,3.36,0.4,15.37
94015,0,0,0
94019,0,0,27.53
94020,0,0,0
94021,0,0,0
94025,3.66,0.09,21.25
94027,0,0,175.89
94028,0,0,0
94030,3.02,0.08,29.09
94038,0,0,0
94044,0,0,12.9
94060,0,0,0
94061,0,0,14.8
94062,2.96,0.08,28.71
94063,0,0,27.09
94065,23.24,0.59,129.51
94066,2.18,0.06,15.48
94070,2.95,0.07,33.05
94074,0,0,0
94080,3.56,0.73,12.27
94128,0,0,0
94303,0,0,0
94401,0,0,0
94402,0,0,27.55
94403,0,0,13.4
94404,0,0,20.3
California,4.02,3.82,4.22
San Mateo,1.75,1,3
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
