Sonoma Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
94922,0,0,0
94923,0,0,0
94928,6.81,1.32,25.41
94931,0,0,0
94951,22.48,0.57,191.56
94954,10.03,2.6,27.89
94972,0,0,0
95401,7.04,1.44,24.62
95403,14.17,5.54,31.58
95404,13.41,4.31,32.97
95405,25.23,7.91,61.95
95407,12.89,4.16,41.28
95409,0,0,22.72
95412,0,0,0
95421,0,0,0
95425,23.3,2.82,87.85
95436,22.37,0.57,162.32
95439,0,0,0
95441,0,0,0
95442,0,0,0
95444,0,0,0
95446,0,0,155.56
95448,0,0,31
95450,0,0,4367.95
95452,0,0,0
95462,0,0,743.23
95465,0,0,0
95472,10.83,1.92,39.76
95476,3.83,0.1,22.11
95480,0,0,0
95492,7.2,0.83,29.6
95497,0,0,0
California,4.02,3.82,4.22
Sonoma,9.27,6.72,12.56
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
