Yolo Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
95605,21.55,4.44,67.49
95606,0,0,0
95607,0,0,0
95612,0,0,0
95616,4.06,0.1,25.19
95618,11.03,2.25,42.44
95620,10.56,1.28,45.97
95627,0,0,0
95637,0,0,0
95645,0,0,0
95653,0,0,0
95679,0,0,0
95691,0,0,17.98
95694,0,0,59.64
95695,0,0,13.47
95698,0,0,0
95776,0,0,0
95937,0,0,0
California,4.02,3.82,4.22
Yolo,3.64,1.55,7.95
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
