Yuba Deaths - 2010,,,
Prescription Opioid-Related Overdose : Age-Adjusted Rate per 100k Residents,,,
Zip Code,Rates,95% LCL,95% UCL
00029,0,0,0
95692,0,0,0
95901,0,0,17.08
95903,0,0,0
95918,0,0,0
95919,0,0,534.85
95925,0,0,0
95935,0,0,0
95961,0,0,0
95962,0,0,0
95972,0,0,0
95977,0,0,0
California,4.02,3.82,4.22
Yuba,0,0,7.39
Source: CDPH Vital Statistics Multiple Cause of Death and California Comprehensive Death Files,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,
