Zip Code,City,Pills,Tax Returns,AGI thousands,Population,Death Rate
94550,LIVERMORE,52022690,21341,2066480,46896,1.63
90242,DOWNEY,21791650,17767,726095,43497,2.65
92010,CARLSBAD,10548200,6737,495599,14382,12.55
95350,MODESTO,6547370,20938,891634,51046,2.19
95825,SACRAMENTO,6087880,13817,591794,31084,2.75
95926,CHICO,5944440,13839,620908,37725,0.92
95661,ROSEVILLE,5261460,13848,1050733,29791,2.78
95823,SACRAMENTO,5053810,28636,916081,73985,5.96
96001,REDDING,5023560,13168,726119,33865,10.7
93534,LANCASTER,4847680,14494,524824,39341,6.05
95991,YUBA CITY,4621400,15010,617743,40593,8.61
93277,VISALIA,4593910,19749,981517,50607,2.14
95966,OROVILLE,4537740,10608,442017,30643,11.28
95210,STOCKTON,4371250,14439,446869,39009,4.7
93257,PORTERVILLE,4290130,25213,917804,75004,1.86
95603,AUBURN,4190440,11779,733160,27844,5.85
92021,EL CAJON,4166740,27636,1245759,65068,16.62
92307,APPLE VALLEY,4091210,15179,734985,37630,3.99
95370,SONORA,3907560,11079,559316,26803,25.27
93720,FRESNO,3795260,19913,1443051,45191,12.17
95351,MODESTO,3788920,15842,445908,46458,18.46
92345,HESPERIA,3774260,27825,1020245,78715,2.35
93454,SANTA MARIA,3766630,14711,616562,36448,6.56
93003,VENTURA,3765418,23090,1451349,50474,4.65
95630,FOLSOM,3726540,28622,2462372,72180,3.42
95240,LODI,3698940,17110,731133,47172,12.47
96002,REDDING,3695690,13047,579246,33298,11.02
92324,COLTON,3673930,22721,811581,56505,1.76
95667,PLACERVILLE,3612340,15501,889238,36726,5.1
94538,FREMONT,3610145,27739,1786401,61148,1.57
93726,FRESNO,3581150,15162,457983,40705,6.34
94587,UNION CITY,3547370,31225,2000197,69516,1.45
92404,SAN BERNARDINO,3533210,21586,713513,58271,1.8
92553,MORENO VALLEY,3509720,26525,836418,73722,5.58
95422,CLEARLAKE,3453660,4353,124682,15585,55.07
93230,HANFORD,3404350,23758,1128525,65264,4.14
95945,GRASS VALLEY,3356880,10871,515328,25199,8.17
95969,PARADISE,3349940,10859,501106,27549,15.24
94531,ANTIOCH,3334010,17137,1063586,40290,6.75
91786,UPLAND,3314220,21900,971703,51165,3.79
91786,UPLAND,3314220,21900,971703,51165,3.79
92262,PALM SPRINGS,3280060,11685,558155,26179,16.25
93308,BAKERFIELD,3264940,19324,956745,52447,5.2
96007,ANDERSON,3203970,8680,333280,22841,5.44
92395,VICTORVILLE,3186350,15228,820131,42400,4.49
95501,EUREKA,3181200,8755,336472,23976,27.4
95758,ELK GROVE,3148350,26197,1571710,60435,5.33
94080,SOUTH SAN FRANCISCO,3144370,31377,1923437,63975,3.56
95670,RANCHO CORDOVA,3124258,23488,1252340,52973,5.05
92708,FOUNTAIN VALLEY,3123260,26057,1748688,56004,4.86
93065,SIMI VALLEY,3120070,32737,2328459,72508,3.76
93274,TULARE,3112470,24207,1019884,69721,3.34
94533,FAIRFIELD,3062240,29433,1351775,69277,3.26
94114,SAN FRANCISCO,3035400,20931,2652889,31124,11.78
95204,STOCKTON,3032960,11652,537801,27786,17.52
95356,MODESTO,2971020,13082,1011182,30918,2.75
96003,REDDING,2957830,17387,804941,44461,21.0
95621,CITRUS HEIGHTS,2862250,18785,805107,39819,11.53
90806,LONG BEACH,2829690,17456,604359,42399,2.51
92335,FONTANA,2827200,35859,1051696,95397,1.25
94590,VALLEJO,2809270,15727,624255,35420,5.56
96130,SUSANVILLE,2798790,5858,295806,23150,26.23
95928,CHICO,2793620,13135,740983,36511,8.59
92103,SAN DIEGO,2756910,18951,1441733,31066,2.04
95380,TURLOCK,2712560,15161,569379,41201,3.43
92648,HUNTINGTON BEACH,2676007,22684,2292516,45317,5.65
95205,STOCKTON,2670320,14235,368709,38069,12.41
92284,YUCCA VALLEY,2653150,8766,356435,25095,4.23
95816,SACRAMENTO,2637370,10214,570357,15579,9.65
92543,HEMET,2607790,11163,334384,33555,11.23
94558,NAPA,2607600,30763,2144066,66830,3.35
93612,CLOVIS,2601030,13720,500368,35351,9.46
95207,STOCKTON,2593680,19130,785963,47965,6.77
93536,LANCASTER,2588080,26042,1538812,70918,3.72
93536,LANCASTER,2588080,26042,1538812,70918,3.72
94611,OAKLAND,2563650,19662,2798444,36565,3.96
94553,MARTINEZ,2539910,22866,1572723,47065,5.92
91355,SANTA CLARITA,2521140,14888,1219953,32605,3.11
93727,FRESNO,2507640,25512,1014608,71820,14.23
91016,MONROVIA,2485300,18274,1103314,40598,4.84
92705,SANTA ANA,2470307,20073,1978433,44706,4.69
95687,VACAVILLE,2467020,26170,1503322,65096,3.45
93611,CLOVIS,2465840,18803,1194195,45614,4.59
93030,OXNARD,2456982,26765,1117966,59372,6.5
93710,FRESNO,2448640,11496,467798,30202,26.18
92392,VICTORVILLE,2435740,20081,828178,54858,4.24
95531,CRESCENT CITY,2429440,7649,330225,24528,6.46
95340,MERCED,2422990,13775,676036,33931,15.52
93306,BAKERSFIELD,2381150,24605,1156945,64587,7.39
94115,SAN FRANCISCO,2369640,18078,3022054,33021,3.7
93551,PALMDALE,2363590,21334,1379214,50798,3.55
91706,BALDWIN PARK,2335640,31128,1011768,76571,1.37
95993,YUBA CITY,2319820,14417,768220,36067,5.8
94565,PITTSBURG,2297190,36595,1591081,84641,2.07
92071,SANTEE,2284140,24116,1372288,53422,10.35
95401,SANTA ROSA,2278580,15641,788844,36981,7.04
91942,LA MESA,2277298,18295,904339,38069,5.29
92530,LAKE ELSINORE,2274180,18051,721228,50216,1.92
92530,LAKE ELSINORE,2274180,18051,721228,50216,1.92
92201,INDIO,2273590,22431,805827,61827,1.37
92562,MURRIETA,2236650,24669,1691220,62079,1.34
95376,TRACY,2225350,20888,1036074,49859,11.53
90027,LOS ANGELES,2205580,23657,1402853,45151,1.2
95688,VACAVILLE,2191521,15278,1048068,34379,8.84
94546,CASTRO VALLEY,2189455,20695,1337503,42209,2.13
92111,SAN DIEGO,2176910,21021,1010719,45096,4.66
95336,MANTECA,2162500,18163,889691,42675,11.07
91710,CHINO,2146540,30916,1506983,80358,3.46
91710,CHINO,2146540,30916,1506983,80358,3.46
92020,EL CAJON,2131810,23107,1117501,57767,6.73
92373,REDLANDS,2115730,15108,1216806,33423,2.37
