Zip Code,City,Pills
94550,LIVERMORE,52022690
90242,DOWNEY,21791650
92010,CARLSBAD,10548200
95350,MODESTO,6547370
95825,SACRAMENTO,6087880
92880,EASTVALE,6073560
95926,CHICO,5944440
95355,MODESTO,5795360
95661,ROSEVILLE,5261460
95823,SACRAMENTO,5053810
96001,REDDING,5023560
93534,LANCASTER,4847680
95991,YUBA CITY,4621400
93277,VISALIA,4593910
95966,OROVILLE,4537740
95210,STOCKTON,4371250
93257,PORTERVILLE,4290130
95603,AUBURN,4190440
92021,EL CAJON,4166740
92307,APPLE VALLEY,4091210
95370,SONORA,3907560
93720,FRESNO,3795260
95351,MODESTO,3788920
92345,HESPERIA,3774260
93454,SANTA MARIA,3766630
93003,VENTURA,3765418
95630,FOLSOM,3726540
95240,LODI,3698940
96002,REDDING,3695690
92324,COLTON,3673930
95667,PLACERVILLE,3612340
94538,FREMONT,3610145
95821,SACRAMENTO,3602130
93726,FRESNO,3581150
93301,BAKERSFIELD,3561730
94587,UNION CITY,3547370
92404,SAN BERNARDINO,3533210
92553,MORENO VALLEY,3509720
95422,CLEARLAKE,3453660
93230,HANFORD,3404350
95945,GRASS VALLEY,3356880
95969,PARADISE,3349940
94531,ANTIOCH,3334010
91786,UPLAND,3314220
92262,PALM SPRINGS,3280060
94598,WALNUT CREEK,3276210
93308,BAKERFIELD,3264940
96007,ANDERSON,3203970
92395,VICTORVILLE,3186350
95501,EUREKA,3181200
95758,ELK GROVE,3148350
94080,SOUTH SAN FRANCISCO,3144370
95670,RANCHO CORDOVA,3124258
92708,FOUNTAIN VALLEY,3123260
93065,SIMI VALLEY,3120070
93274,TULARE,3112470
94533,FAIRFIELD,3062240
94114,SAN FRANCISCO,3035400
95204,STOCKTON,3032960
96080,RED BLUFF,2985930
95356,MODESTO,2971020
96003,REDDING,2957830
95621,CITRUS HEIGHTS,2862250
90806,LONG BEACH,2829690
92335,FONTANA,2827200
92506,RIVERSIDE,2822120
94590,VALLEJO,2809270
96130,SUSANVILLE,2798790
95928,CHICO,2793620
92103,SAN DIEGO,2756910
95453,LAKEPORT,2747400
95380,TURLOCK,2712560
91505,BURBANK,2697725
95051,SANTA CLARA,2683320
95901,MARYSVILLE,2682900
92648,HUNTINGTON BEACH,2676007
95205,STOCKTON,2670320
92284,YUCCA VALLEY,2653150
95816,SACRAMENTO,2637370
92543,HEMET,2607790
94558,NAPA,2607600
93612,CLOVIS,2601030
95207,STOCKTON,2593680
93536,LANCASTER,2588080
95482,UKIAH,2583530
94611,OAKLAND,2563650
94553,MARTINEZ,2539910
93309,BAKERSFIELD,2522829
91355,SANTA CLARITA,2521140
93727,FRESNO,2507640
91016,MONROVIA,2485300
94596,WALNUT CREEK,2479580
92705,SANTA ANA,2470307
95687,VACAVILLE,2467020
93611,CLOVIS,2465840
93030,OXNARD,2456982
93710,FRESNO,2448640
92392,VICTORVILLE,2435740
95531,CRESCENT CITY,2429440
95340,MERCED,2422990
93306,BAKERSFIELD,2381150
94115,SAN FRANCISCO,2369640
93551,PALMDALE,2363590
93901,SALINAS,2351680
91706,BALDWIN PARK,2335640
95993,YUBA CITY,2319820
94565,PITTSBURG,2297190
92071,SANTEE,2284140
95401,SANTA ROSA,2278580
91942,LA MESA,2277298
92530,LAKE ELSINORE,2274180
95695,WOODLAND,2274116
92201,INDIO,2273590
92025,ESCONDIDO,2253940
92562,MURRIETA,2236650
95376,TRACY,2225350
93436,LOMPOC,2207300
90027,LOS ANGELES,2205580
95688,VACAVILLE,2191521
94546,CASTRO VALLEY,2189455
92111,SAN DIEGO,2176910
95336,MANTECA,2162500
91710,CHINO,2146540
94545,HAYWARD,2141850
92020,EL CAJON,2131810
92373,REDLANDS,2115730
92083,VISTA,2114440
93446,PASO ROBLES,2112230
93555,RIDGECREST,2108740
93940,MONTEREY,2101120
95361,OAKDALE,2096310
92120,SAN DIEGO,2088390
91745,HACIENDA HEIGHTS,2081660
92024,ENCINITAS,2072940
92835,FULLERTON,2072200
95608,CARMICHAEL,2054784
93711,FRESNO,2053290
91403,SHERMAN OAKS,2042340
95815,SACRAMENTO,2041560
95678,ROSEVILLE,2030360
95307,CERES,2021530
95301,ATWATER,2009370
94928,ROHNERT PARK,2004470
92123,SAN DIEGO,1992920
92399,YUCAIPA,1991570
91730,RANCHO CUCAMONGA,1983946
91335,RESEDA,1982590
95628,FAIR OAKS,1982400
94509,ANTIOCH,1979350
95691,WEST SACRAMENTO,1979320
90630,CYPRESS,1966300
92626,COSTA MESA,1957670
95648,LINCOLN,1952170
93722,FRESNO,1941210
93637,MADERA,1920440
95405,SANTA ROSA,1918660
91910,CHULA VISTA,1909260
95822,SACRAMENTO,1903260
94583,SAN RAMON,1898430
92647,HUNTINGTON BEACH,1897760
95403,SANTA ROSA,1891690
92691,MISSION VIEJO,1884980
91402,PANORAMA CITY,1882200
94063,REDWOOD CITY,1882000
92544,HEMET,1879460
91436,ENCINO,1877835
92376,RIALTO,1872710
92507,RIVERSIDE,1867110
91790,W COVINA,1867104
92243,EL CENTRO,1854570
93906,SALINAS,1853280
95820,SACRAMENTO,1851920
94954,PETALUMA,1849680
92069,SAN MARCOS,1849590
90807,LONG BEACH,1849380
90731,SAN PEDRO,1844670
92591,TEMECULA,1835130
96150,SOUTH LAKE TAHOE,1835100
95540,FORTUNA,1833390
95242,LODI,1832360
92683,WESTMINSTER,1831470
92504,RIVERSIDE,1807280
93422,ATASCADERO,1794480
90505,TORRANCE,1789780
95476,SONOMA,1789730
92804,ANAHEIM,1784180
90045,LOS ANGELES,1782398
94513,BRENTWOOD,1782180
95382,TURLOCK,1776360
90706,BELLFLOWER,1772880
94903,SAN RAFAEL,1771990
93312,BAKERSFIELD,1771460
90404,SANTA MONICA,1755140
91360,THOUSAND OAKS,1753465
95062,SANTA CRUZ,1747670
92128,RANCHO BERNARDO,1741990
93010,CAMARILLO,1733534
90250,HAWTHORNE,1730270
93105,SANTA BARBARA,1725360
96097,YREKA,1719735
92840,GARDEN GROVE,1706270
92660,NEWPORT BEACH,1704165
92807,ANAHEIM,1699250
90802,LONG BEACH,1698740
93313,BAKERSFIELD,1696760
92677,LAGUNA NIGUEL,1692090
92374,REDLANDS,1691340
93552,PALMDALE,1682570
91304,CANOGA PARK,1676900
95624,ELK GROVE,1671900
94110,SAN FRANCISCO,1671100
93420,ARROYO GRANDE,1670440
94588,PLEASANTON,1663030
95819,SACRAMENTO,1660230
90660,PICO RIVERA,1658170
94102,SAN FRANCISCO,1653160
91351,CANYON COUNTRY,1652920
95642,JACKSON,1652700
92583,SAN JACINTO,1630880
92220,BANNING,1630260
95961,OLIVEHURST,1626320
94109,SAN FRANCISCO,1620330
90048,LOS ANGELES,1615450
93644,OAKHURST,1606660
92545,HEMET,1600250
94609,OAKLAND,1596300
92407,SAN BERNARDINO,1594330
92056,OCEANSIDE,1592615
90631,LA HABRA,1588710
94520,CONCORD,1587870
90720,LOS ALAMITOS,1586650
92346,HIGHLAND,1586300
92879,CORONA,1580260
92121,SAN DIEGO,1577005
95843,ANTELOPE,1571730
92646,HUNTINGTON BEACH,1570160
91325,NORTHRIDGE,1567930
91356,TARZANA,1561970
93291,VISALIA,1552640
94501,ALAMEDA,1552100
90712,LAKEWOOD,1549660
93635,LOS BANOS,1548070
90703,CERRITOS,1524045
95610,CITRUSHEIGHTS,1514790
95008,CAMPBELL,1497680
95337,MANTECA,1487810
95503,EUREKA,1480190
95660,NORTH HIGHLANDS,1477480
94015,DALY CITY,1474950
92503,RIVERSIDE,1463210
95833,SACRAMENTO,1448800
92311,BARSTOW,1447560
94806,SAN PABLO,1446870
95747,ROSEVILLE,1439220
92704,SANTA ANA,1434890
93101,SANTA BARBARA,1432625
95076,WATSONVILLE,1429670
94578,SAN LEANDRO,1429240
95677,ROCKLIN,1425520
90277,REDONDO BEACH,1425350
90211,BEVERLY HILLS,1417472
90815,LONG BEACH,1416660
92054,OCEANSIDE,1412990
92260,PALM DESERT,1411980
92234,CATHEDRAL CITY,1411040
92110,SAN DIEGO,1409200
94041,MOUNTAIN VIEW,1408920
93311,BAKERSFIELD,1406041
93444,NIPOMO,1404120
92101,SAN DIEGO,1403480
92592,TEMECULA,1401830
92037,LA JOLLA,1397390
92586,SUN CITY,1397380
95020,GILROY,1397120
92027,ESCONDIDO,1396800
94040,MOUNTAIN VIEW,1394810
95060,SANTA CRUZ,1393750
90713,LAKEWOOD,1392400
93662,SELMA,1389960
93535,LANCASTER,1387400
90650,NORWALK,1386790
92154,SAN DIEGO,1386300
92126,SAN DIEGO,1386300
94589,VALLEJO,1382080
90620,BUENA PARK,1374560
95817,SACRAMENTO,1369900
92882,CORONA,1364960
95834,SACRAMENTO,1357150
91324,NORTHRIDGE,1356230
90732,SAN PEDRO,1352450
90503,TORRANCE,1346520
95019,FREEDOM,1345940
92870,PLACENTIA,1338930
92354,LOMA LINDA,1337590
90033,LOS ANGELES,1334520
95811,SACRAMENTO,1333430
95682,CAMERON PARK,1332190
90638,LA MIRADA,1331940
93561,TEHACHAPI,1326460
95437,FORT BRAGG,1325200
92584,MENIFEE,1323630
91767,POMONA,1323590
92801,ANAHEIM,1312080
92270,RANCHO MIRAGE,1301600
95124,SAN JOSE,1298800
94564,PINOLE,1294510
90301,INGLEWOOD,1294490
95119,SAN JOSE,1294330
90710,HARBOR CITY,1290970
95010,CAPITOLA,1289740
92505,RIVERSIDE,1284860
93304,BAKERSFIELD,1281660
91405,VAN NUYS,1278974
92780,TUSTIN,1270670
90292,MARINA DEL REY,1269180
92408,SAN BERNARDINO,1265620
94401,SAN MATEO,1260500
94066,SAN BRUNO,1257700
94523,PLEASANT HILL,1242450
95023,HOLLISTER,1237390
92211,PALM DESERT,1237070
93033,OXNARD,1236390
93703,FRESNO,1234220
91911,CHULA VISTA,1232320
92065,RAMONA,1225050
92253,LA QUINTA,1222400
92117,SAN DIEGO,1222100
90740,SEAL BEACH,1221270
90036,LOS ANGELES,1221270
95128,SAN JOSE,1220660
92315,BIG BEAR LAKE,1219900
93063,SIMI VALLEY,1217460
94118,SAN FRANCISCO,1212500
93955,SAND CITY,1209400
92630,LAKE FOREST,1206300
92806,ANAHEIM,1204780
94087,SUNNYVALE,1199890
90035,LOS ANGELES,1191840
91950,NATIONAL CITY,1191680
91364,WOODLAND HILLS,1187950
92026,ESCONDIDO,1185250
93401,SAN LUIS OBISPO,1177100
94801,POINT RICHMOND,1176860
91709,CHINO HILLS,1176290
92104,SAN DIEGO,1175400
91316,ENCINO,1172850
92028,FALLBROOK,1168460
90241,DOWNEY,1168005
92040,LAKESIDE,1165730
92115,SAN DIEGO,1163630
91761,ONTARIO,1160485
94579,SAN LEANDRO,1160200
93292,VISALIA,1158610
90007,LOS ANGELES,1158400
93907,SALINAS,1157260
92649,HUNTINGTON BEACH,1153800
92225,BLYTHE,1144500
95032,LOS GATOS,1141220
91401,VAN NUYS,1138010
94510,BENICIA,1137708
90640,MONTEBELLO,1136320
90247,GARDENA,1134260
93060,SANTA PAULA,1131720
95490,WILLITS,1130730
96021,CORNING,1129730
92868,ORANGE,1129396
94941,MILL VALLEY,1125530
94608,OAKLAND,1123580
92627,COSTA MESA,1122110
91342,SYLMAR,1121740
94945,NOVATO,1117190
92064,POWAY,1116325
95519,MCKINLEYVILLE,1114210
95765,ROCKLIN,1112670
95521,ARCATA,1112090
91702,AZUSA,1110560
94544,HAYWARD,1109800
95824,SACRAMENTO,1107900
95035,MILPITAS,1107720
92563,MURRIETA,1104820
92008,CARLSBAD,1101170
94103,SAN FRANCISCO,1093800
90501,TORRANCE,1093658
94619,OAKLAND,1091800
91367,WOODLAND HILLS,1091800
91344,GRANADA HILLS,1090760
95965,OROVILLE,1089350
92308,APPLE VALLEY,1082000
93705,FRESNO,1080000
92595,WILDOMAR,1079610
95949,GRASS VALLEY,1078400
91701,ALTA LOMA,1076590
92336,FONTANA,1075740
93215,DELANO,1075290
92604,IRVINE,1074900
91941,LA MESA,1073040
91773,SAN DIMAS,1071440
90804,LONG BEACH,1068570
92509,RIVERSIDE,1067520
94901,SAN RAFAEL,1067220
92618,IRVINE,1055650
94566,PLEASANTON,1055140
91307,WEST HILLS,1051410
91350,SAUGUS,1049600
93455,ORCUTT,1047790
92869,ORANGE,1043200
95472,SEBASTOPOL,1040180
94559,NAPA,1038050
93618,DINUBA,1036180
95123,SAN JOSE,1034300
92653,LAGUNA HILLS,1033869
90602,WHITTIER,1031210
91320,NEWBURY PARK,1029410
92692,MISSION VIEJO,1020000
95831,SACRAMENTO,1016160
94530,EL CERRITO,1013000
92673,SAN CLEMENTE,1011475
92411,SAN BERNARDINO,1010990
95963,ORLAND,1010000
